display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2014 Bentley Continental GT 6.0 W12 Coupe,I am interested in your car on Mobil123.com - 2014 Bentley Continental GT 6.0 W12 Coupe (Rp 4.700.000.000). https://www.mobil123.com/dijual/bentley-continental-gt-w12-dki-jakarta-sunter/10244091.,https://www.mobil123.com/dijual/bentley-continental-gt-w12-dki-jakarta-sunter/10244091,Bentley,Continental GT,W12,7500,Automatic,626,5998 cc,2,4,Pertamax,Hitam,2014,DKI Jakarta,Sunter
2013 Bentley Continental GT 6.0 W12 Coupe,I am interested in your car on Mobil123.com - 2013 Bentley Continental GT 6.0 W12 Coupe (Rp 3.650.000.000). https://www.mobil123.com/dijual/bentley-continental-gt-w12-dki-jakarta-cilandak/10411890.,https://www.mobil123.com/dijual/bentley-continental-gt-w12-dki-jakarta-cilandak/10411890,Bentley,Continental GT,W12,8000,Automatic,626,5998 cc,2,4,Pertamax,Hitam,2013,DKI Jakarta,Cilandak
2014 Bentley Flying Spur 6.0 W12 Sedan,I am interested in your car on Mobil123.com - 2014 Bentley Flying Spur 6.0 W12 Sedan (Rp 4.300.000.000). https://www.mobil123.com/dijual/bentley-flying-spur-w12-dki-jakarta-kebayoran-baru/10341893.,https://www.mobil123.com/dijual/bentley-flying-spur-w12-dki-jakarta-kebayoran-baru/10341893,Bentley,Flying Spur,W12,7500,Automatic,616,5998 cc,4,5,Pertamax,Lainnya,2014,DKI Jakarta,Kebayoran Baru
2011 Bentley Continental 6.0 Flying Spur Sedan,I am interested in your car on Mobil123.com - 2011 Bentley Continental Flying Spur Sedan (Rp 1.875.000.000). https://www.mobil123.com/dijual/bentley-continental-flying-spur-dki-jakarta-kembangan/10320093.,https://www.mobil123.com/dijual/bentley-continental-flying-spur-dki-jakarta-kembangan/10320093,Bentley,Continental,Flying Spur,7500,Automatic,552,5998 cc,4,5,Pertamax,Hitam,2011,DKI Jakarta,Kembangan
2013 Bentley Continental GT 6.0 W12 Coupe,I am interested in your car on Mobil123.com - 2013 Bentley Continental GT 6.0 W12 Coupe wrap hitam (Rp 3.650.000.000). https://www.mobil123.com/dijual/bentley-continental-gt-w12-dki-jakarta-fatmawati/10441115.,https://www.mobil123.com/dijual/bentley-continental-gt-w12-dki-jakarta-fatmawati/10441115,Bentley,Continental GT,W12,7500,Automatic,626,5998 cc,2,4,Pertamax,Abu-abu,2013,DKI Jakarta,Fatmawati
2013 Bentley Continental GT 4.0 V8 Coupe,I am interested in your car on Mobil123.com - 2013 Bentley Continental GT V8 Coupe (Rp 3.388.000.000). https://www.mobil123.com/dijual/bentley-continental-gt-v8-sumatera-utara-medan/10365456.,https://www.mobil123.com/dijual/bentley-continental-gt-v8-sumatera-utara-medan/10365456,Bentley,Continental GT,V8,2500,Automatic,500,3993 cc,2,4,Pertamax,Putih,2013,Sumatera Utara,Medan
2010 Bentley Continental 6.0 Flying Spur Sedan,I am interested in your car on Mobil123.com -  Bentley Continental Flying Spur (Rp 1.739.000.000). https://www.mobil123.com/dijual/bentley-continental-flying-spur-dki-jakarta-kembangan/9943761.,https://www.mobil123.com/dijual/bentley-continental-flying-spur-dki-jakarta-kembangan/9943761,Bentley,Continental,Flying Spur,47500,Automatic,552,5998 cc,4,5,Pertamax,Hitam,2010,DKI Jakarta,Kembangan
2011 Bentley Continental GT 6.0 W12 Coupe,I am interested in your car on Mobil123.com - 2011 Bentley Continental GT 6.0 W12 Coupe SPESIAL PRICE (Rp 3.800.000.000). https://www.mobil123.com/dijual/bentley-continental-gt-w12-dki-jakarta-pluit/7971128.,https://www.mobil123.com/dijual/bentley-continental-gt-w12-dki-jakarta-pluit/7971128,Bentley,Continental GT,W12,7500,Automatic,626,5998 cc,2,4,Pertamax,Putih,2011,DKI Jakarta,Pluit
2013 Bentley Continental GT 4.0 V8 Coupe,I am interested in your car on Mobil123.com - 2013 Bentley Continental GT 4.0 V8 Coupe White on Red Full Original (Rp 3.600.000.000). https://www.mobil123.com/dijual/bentley-continental-gt-v8-dki-jakarta-pluit/9398784.,https://www.mobil123.com/dijual/bentley-continental-gt-v8-dki-jakarta-pluit/9398784,Bentley,Continental GT,V8,2500,Automatic,500,3993 cc,2,4,Pertamax,Putih,2013,DKI Jakarta,Pluit
2013 Bentley Continental GT 4.0 V8 Coupe,I am interested in your car on Mobil123.com - 2013 Bentley Continental GT 4.0 V8 Coupe Black On Full Ivory White (Rp 3.300.000.000). https://www.mobil123.com/dijual/bentley-continental-gt-v8-dki-jakarta-pluit/9330341.,https://www.mobil123.com/dijual/bentley-continental-gt-v8-dki-jakarta-pluit/9330341,Bentley,Continental GT,V8,17500,Automatic,500,3993 cc,2,4,Pertamax,Hitam,2013,DKI Jakarta,Pluit
2013 Bentley Continental GT 4.0 V8 Coupe,I am interested in your car on Mobil123.com - 2013 Bentley Continental GT 4.0 V8 Coupe (Rp 3.700.000.000). https://www.mobil123.com/dijual/bentley-continental-gt-v8-dki-jakarta-pluit/9644118.,https://www.mobil123.com/dijual/bentley-continental-gt-v8-dki-jakarta-pluit/9644118,Bentley,Continental GT,V8,2500,Automatic,500,3993 cc,2,4,Pertamax,Putih,2013,DKI Jakarta,Pluit
2013 Bentley Continental GT 4.0 V8 Coupe,I am interested in your car on Mobil123.com - 2013 Bentley Continental GT 4.0 V8 Coupe (Rp 3.350.000.000). https://www.mobil123.com/dijual/bentley-continental-gt-v8-dki-jakarta-pluit/9644198.,https://www.mobil123.com/dijual/bentley-continental-gt-v8-dki-jakarta-pluit/9644198,Bentley,Continental GT,V8,22500,Automatic,500,3993 cc,2,4,Pertamax,Hitam,2013,DKI Jakarta,Pluit
