display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2013 Chevrolet Spin 1.5 LTZ SUV,I am interested in your car on Mobil123.com - 2013 Chevrolet Spin 1.5 LTZ SUV. Ganjil. Pajak Panjang September 2023. Mulus dan terawat. Siap gas. Irit dan bertenaga (Rp 88.000.000). https://www.mobil123.com/dijual/chevrolet-spin-ltz-dki-jakarta-cengkareng/10605415.,https://www.mobil123.com/dijual/chevrolet-spin-ltz-dki-jakarta-cengkareng/10605415,Chevrolet,Spin,LTZ,92500,Automatic,107,1485 cc,5,7,Pertamax,Hitam,2013,DKI Jakarta,Cengkareng
2018 Chevrolet Trax 1.4 Premier SUV,I am interested in your car on Mobil123.com - 2018 Chevrolet Trax 1.4 Premier SUV (Rp 216.000.000). https://www.mobil123.com/dijual/chevrolet-trax-premier-banten-pondok-aren/10475643?carsome=true.,https://www.mobil123.com/dijual/chevrolet-trax-premier-banten-pondok-aren/10475643?carsome=true,Chevrolet,Trax,Premier,82500,Automatic,138,1364 cc,5,5,Pertamax,Orange,2018,Banten,Pondok Aren
2018 Chevrolet Trailblazer 2.5 LTZ SUV,"I am interested in your car on Mobil123.com - 2018 Chevrolet Trailblazer 2,5 LTZ SUV (Rp 305.000.000). https://www.mobil123.com/dijual/chevrolet-trailblazer-ltz-dki-jakarta-bintaro/10637122.",https://www.mobil123.com/dijual/chevrolet-trailblazer-ltz-dki-jakarta-bintaro/10637122,Chevrolet,Trailblazer,LTZ,55000,Automatic,178,2499 cc,5,7,Solar,Hitam,2018,DKI Jakarta,Bintaro
2019 Chevrolet Trax 1.4 Premier SUV,I am interested in your car on Mobil123.com - 2019 Chevrolet Trax 1.4 Premier SUV (Rp 233.000.000). https://www.mobil123.com/dijual/chevrolet-trax-premier-dki-jakarta-pondok-gede/10126171?carsome=true.,https://www.mobil123.com/dijual/chevrolet-trax-premier-dki-jakarta-pondok-gede/10126171?carsome=true,Chevrolet,Trax,Premier,42500,Automatic,138,1364 cc,5,5,Pertamax,Merah,2019,DKI Jakarta,Pondok Gede
2018 Chevrolet Trax 1.4 Premier SUV,I am interested in your car on Mobil123.com - 2018 Chevrolet Trax 1.4 Premier SUV (Rp 223.000.000). https://www.mobil123.com/dijual/chevrolet-trax-premier-banten-bintaro/10697533.,https://www.mobil123.com/dijual/chevrolet-trax-premier-banten-bintaro/10697533,Chevrolet,Trax,Premier,45597,Automatic,138,1364 cc,5,5,Pertamax,Abu-abu,2018,Banten,Bintaro
2018 Chevrolet Trax 1.4 Premier SUV,I am interested in your car on Mobil123.com - 2018 Chevrolet Trax 1.4 Premier SUV (Rp 223.000.000). https://www.mobil123.com/dijual/chevrolet-trax-premier-banten-permata-medang/10697531.,https://www.mobil123.com/dijual/chevrolet-trax-premier-banten-permata-medang/10697531,Chevrolet,Trax,Premier,45597,Automatic,138,1364 cc,5,5,Pertamax,Abu-abu,2018,Banten,Permata Medang
2018 Chevrolet Trax 1.4 Premier SUV,I am interested in your car on Mobil123.com - 2018 Chevrolet Trax 1.4 Premier SUV (Rp 223.000.000). https://www.mobil123.com/dijual/chevrolet-trax-premier-banten-bsd-city/10697530.,https://www.mobil123.com/dijual/chevrolet-trax-premier-banten-bsd-city/10697530,Chevrolet,Trax,Premier,45597,Automatic,138,1364 cc,5,5,Pertamax,Abu-abu,2018,Banten,BSD City
2019 Chevrolet Trax 1.4 Premier SUV,I am interested in your car on Mobil123.com -  2019 Chevrolet Trax Premier Turbo AT - 12.226 km (Rp 230.000.000). https://www.mobil123.com/dijual/chevrolet-trax-premier-dki-jakarta-cengkareng/10646723.,https://www.mobil123.com/dijual/chevrolet-trax-premier-dki-jakarta-cengkareng/10646723,Chevrolet,Trax,Premier,12500,Automatic,138,1364 cc,5,5,Pertamax,Hitam,2019,DKI Jakarta,Cengkareng
2017 Chevrolet Trax 1.4 LTZ SUV,I am interested in your car on Mobil123.com - 2017 Chevrolet Trax 1.4 TURBO LTZ SUV (Rp 192.000.000). https://www.mobil123.com/dijual/chevrolet-trax-ltz-banten-villa-melati-mas/10565700.,https://www.mobil123.com/dijual/chevrolet-trax-ltz-banten-villa-melati-mas/10565700,Chevrolet,Trax,LTZ,62561,Automatic,138,1364 cc,5,5,Pertamax,Putih,2017,Banten,Villa Melati Mas
2013 Chevrolet Captiva 2.0 Pearl White SUV,"I am interested in your car on Mobil123.com - 2013 Chevrolet Captiva 2,0 Pearl White SUV (Rp 155.000.000). https://www.mobil123.com/dijual/chevrolet-captiva-pearl-white-dki-jakarta-ancol/10690063.",https://www.mobil123.com/dijual/chevrolet-captiva-pearl-white-dki-jakarta-ancol/10690063,Chevrolet,Captiva,Pearl White,84000,Automatic,161,1998 cc,5,7,Solar,Putih,2013,DKI Jakarta,Ancol
2016 Chevrolet Captiva 2.0 SUV,"I am interested in your car on Mobil123.com - 2016 Chevrolet Captiva 2,0 C140 SUV (Rp 235.000.000). https://www.mobil123.com/dijual/chevrolet-captiva-dki-jakarta-ancol/10024592.",https://www.mobil123.com/dijual/chevrolet-captiva-dki-jakarta-ancol/10024592,Chevrolet,Captiva,,84000,Automatic,163,1998 cc,5,7,Solar,Silver,2016,DKI Jakarta,Ancol
2017 Chevrolet Trax 1.4 LT SUV,I am interested in your car on Mobil123.com - Chevrolet Trax 1.4 Turbo Premier LTZ 2017 Antik KM40rb (Rp 193.000.000). https://www.mobil123.com/dijual/chevrolet-trax-lt-dki-jakarta-mangga-dua/10633356.,https://www.mobil123.com/dijual/chevrolet-trax-lt-dki-jakarta-mangga-dua/10633356,Chevrolet,Trax,LT,41000,Automatic,138,1364 cc,5,5,Pertamax,Hitam,2017,DKI Jakarta,Mangga Dua
2017 Chevrolet Trax 1.4 LTZ SUV,I am interested in your car on Mobil123.com - 2017 Chevrolet Trax LTZ SUV (Rp 189.500.000). https://www.mobil123.com/dijual/chevrolet-trax-ltz-dki-jakarta-jakarta-utara/10657609.,https://www.mobil123.com/dijual/chevrolet-trax-ltz-dki-jakarta-jakarta-utara/10657609,Chevrolet,Trax,LTZ,122500,Automatic,138,1364 cc,5,5,Pertamax,Hitam,2017,DKI Jakarta,
2011 Chevrolet Captiva 2.0 Pearl White SUV,"I am interested in your car on Mobil123.com - 2011 Chevrolet Captiva 2.0 Pearl White SUV FWD, DIESEL / SOLAR (Rp 132.000.000). https://www.mobil123.com/dijual/chevrolet-captiva-pearl-white-jawa-timur-surabaya/10688762.",https://www.mobil123.com/dijual/chevrolet-captiva-pearl-white-jawa-timur-surabaya/10688762,Chevrolet,Captiva,Pearl White,107500,Automatic,161,1998 cc,5,7,Solar,Putih,2011,Jawa Timur,Surabaya
2019 Chevrolet Trax 1.4 LTZ SUV,I am interested in your car on Mobil123.com - 2019 Chevrolet Trax 1.4 LTZ SUV TDO 49JT SERVIS REACORD (Rp 213.000.000). https://www.mobil123.com/dijual/chevrolet-trax-ltz-dki-jakarta-duren-tiga/10686011.,https://www.mobil123.com/dijual/chevrolet-trax-ltz-dki-jakarta-duren-tiga/10686011,Chevrolet,Trax,LTZ,47500,Automatic,138,1364 cc,5,5,Pertamax,Hitam,2019,DKI Jakarta,Duren Tiga
2011 Chevrolet Captiva 2.4 SUV,"I am interested in your car on Mobil123.com - 2011 Chevrolet Captiva 2,4 Base Spec SUV Nego (Rp 120.000.000). https://www.mobil123.com/dijual/chevrolet-captiva-jawa-timur-malang-kota/10695886.",https://www.mobil123.com/dijual/chevrolet-captiva-jawa-timur-malang-kota/10695886,Chevrolet,Captiva,,33000,Manual,139,2405 cc,5,7,Pertamax,Hitam,2011,Jawa Timur,Malang Kota
2019 Chevrolet Trax 1.4 Premier SUV,"I am interested in your car on Mobil123.com - Chevrolet Trax 1,4 Premier 2019 (Rp 210.000.000). https://www.mobil123.com/dijual/chevrolet-trax-premier-dki-jakarta-permata-hijau/10657424.",https://www.mobil123.com/dijual/chevrolet-trax-premier-dki-jakarta-permata-hijau/10657424,Chevrolet,Trax,Premier,39000,Automatic,138,1364 cc,5,5,Pertamax,Hitam,2019,DKI Jakarta,Permata Hijau
2013 Chevrolet Spin 1.5 LTZ SUV,I am interested in your car on Mobil123.com - DP CUMA 8JT CHEVROLET SPIN 1.5 LTZ 2013 AT PJK SUPER PANJANG AN PRIBADI JOS (Rp 89.000.000). https://www.mobil123.com/dijual/chevrolet-spin-ltz-jawa-barat-bekasi-barat/10566661.,https://www.mobil123.com/dijual/chevrolet-spin-ltz-jawa-barat-bekasi-barat/10566661,Chevrolet,Spin,LTZ,100000,Automatic,107,1485 cc,5,7,Pertamax,Abu-abu,2013,Jawa Barat,Bekasi Barat
2013 Chevrolet Spin 1.2 LT SUV,I am interested in your car on Mobil123.com - 2013 Chevrolet Spin 1.2 LT SUV (Rp 96.000.000). https://www.mobil123.com/dijual/chevrolet-spin-lt-dki-jakarta-gandaria/10695569.,https://www.mobil123.com/dijual/chevrolet-spin-lt-dki-jakarta-gandaria/10695569,Chevrolet,Spin,LT,97500,Manual,74,1248 cc,5,7,Solar,Abu-abu,2013,DKI Jakarta,Gandaria
2013 Chevrolet Captiva 2.0 SUV,"I am interested in your car on Mobil123.com - 2013 Chevrolet Captiva 2,0 Base Spec SUV (Rp 140.000.000). https://www.mobil123.com/dijual/chevrolet-captiva-dki-jakarta-duren-sawit/10688488.",https://www.mobil123.com/dijual/chevrolet-captiva-dki-jakarta-duren-sawit/10688488,Chevrolet,Captiva,,120000,Automatic,161,1998 cc,5,7,Solar,Coklat,2013,DKI Jakarta,Duren Sawit
