display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2021 Daihatsu Terios 1.5 X Deluxe SUV,I am interested in your car on Mobil123.com - 2021 Daihatsu Terios 1.5 X Deluxe SUV ( DP RINGAN ) (Rp 227.000.000). https://www.mobil123.com/dijual/daihatsu-terios-x-deluxe-jawa-barat-bogor/10750890.,https://www.mobil123.com/dijual/daihatsu-terios-x-deluxe-jawa-barat-bogor/10750890,Daihatsu,Terios,X Deluxe,12500,Automatic,103,1496 cc,5,7,Pertamax,Merah,2021,Jawa Barat,Bogor
2012 Daihatsu Xenia 1.0 M MPV,I am interested in your car on Mobil123.com - 2012 Daihatsu Xenia 1.0 M MPV (Rp 89.500.000). https://www.mobil123.com/dijual/daihatsu-xenia-m-banten-bsd-city/10750869.,https://www.mobil123.com/dijual/daihatsu-xenia-m-banten-bsd-city/10750869,Daihatsu,Xenia,M,297500,Manual,62,989 cc,5,7,Pertamax,Silver,2012,Banten,BSD City
2017 Daihatsu Xenia 1.3 X X MPV,"I am interested in your car on Mobil123.com - 2017 Daihatsu Xenia 1.3 X X MPV,TDP 15JTAN ,GARANSI MESIN ,MOBIL BERKUALITAS (Rp 136.000.000). https://www.mobil123.com/dijual/daihatsu-xenia-x-x-dki-jakarta-mangga-dua/10750858.",https://www.mobil123.com/dijual/daihatsu-xenia-x-x-dki-jakarta-mangga-dua/10750858,Daihatsu,Xenia,X X,112500,Manual,95,1329 cc,5,7,Pertamax,Merah,2017,DKI Jakarta,Mangga Dua
2022 Daihatsu Gran Max 1.3 AC Van,I am interested in your car on Mobil123.com - 2022 Daihatsu Gran Max 1.3 AC Promo Akhir Tahun (Rp 148.000.000). https://www.mobil123.com/dijual/daihatsu-gran-max-ac-dki-jakarta-cengkareng/10631873.,https://www.mobil123.com/dijual/daihatsu-gran-max-ac-dki-jakarta-cengkareng/10631873,Daihatsu,Gran Max,AC,0,Manual,87,1298 cc,5,2,Pertamax,Putih,2022,DKI Jakarta,Cengkareng
2019 Daihatsu Terios 1.5 R SUV,I am interested in your car on Mobil123.com - 2019 Daihatsu Terios 1.5 R SUV (Rp 224.000.000). https://www.mobil123.com/dijual/daihatsu-terios-r-dki-jakarta-cipinang/10635163?carsome=true.,https://www.mobil123.com/dijual/daihatsu-terios-r-dki-jakarta-cipinang/10635163?carsome=true,Daihatsu,Terios,R,22500,Automatic,103,1496 cc,5,7,Pertamax,Ungu,2019,DKI Jakarta,Cipinang
2020 Daihatsu Ayla 1.2 R Hatchback,I am interested in your car on Mobil123.com - 2020 Daihatsu Ayla 1.2 R Hatchback (Rp 130.000.000). https://www.mobil123.com/dijual/daihatsu-ayla-r-banten-larangan/10750770.,https://www.mobil123.com/dijual/daihatsu-ayla-r-banten-larangan/10750770,Daihatsu,Ayla,R,22500,Manual,87,1197 cc,5,5,Pertamax,Hitam,2020,Banten,Larangan
2018 Daihatsu Terios 1.5 R SUV,I am interested in your car on Mobil123.com - 2018 Daihatsu Terios 1.5 R SUV (Rp 223.000.000). https://www.mobil123.com/dijual/daihatsu-terios-r-dki-jakarta-pluit/10750745.,https://www.mobil123.com/dijual/daihatsu-terios-r-dki-jakarta-pluit/10750745,Daihatsu,Terios,R,57500,Automatic,103,1496 cc,5,7,Pertamax,Silver,2018,DKI Jakarta,Pluit
2012 Daihatsu Xenia 1.3 X MPV,"I am interested in your car on Mobil123.com - 2012 Daihatsu Xenia 1,3X 89jt Otr Kredit (Rp 89.000.000). https://www.mobil123.com/dijual/daihatsu-xenia-x-dki-jakarta-tangerang/10575143.",https://www.mobil123.com/dijual/daihatsu-xenia-x-dki-jakarta-tangerang/10575143,Daihatsu,Xenia,X,122000,Manual,91,1298 cc,5,7,Pertamax,Silver,2012,DKI Jakarta,Tangerang
2015 Daihatsu Ayla 1.0 X Elegant Hatchback,I am interested in your car on Mobil123.com - 2015 Daihatsu Ayla 1.0 X Elegant Hatchback (Rp 100.000.000). https://www.mobil123.com/dijual/daihatsu-ayla-x-elegant-jawa-barat-cinere/10750687.,https://www.mobil123.com/dijual/daihatsu-ayla-x-elegant-jawa-barat-cinere/10750687,Daihatsu,Ayla,X Elegant,72500,Automatic,64,998 cc,5,5,Pertamax,Hitam,2015,Jawa Barat,Cinere
2019 Daihatsu Sigra 1.2 R MPV,I am interested in your car on Mobil123.com - 2019 Daihatsu Sigra 1.2 R MPV (Rp 127.000.000). https://www.mobil123.com/dijual/daihatsu-sigra-r-dki-jakarta-cakung/10634808?carsome=true.,https://www.mobil123.com/dijual/daihatsu-sigra-r-dki-jakarta-cakung/10634808?carsome=true,Daihatsu,Sigra,R,37500,Manual,87,1197 cc,5,7,Pertamax,Abu-abu,2019,DKI Jakarta,Cakung
