display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2017 Ford Mustang 5.0 GT Convertible,I am interested in your car on Mobil123.com - Ford Mustang 5.0 V8 GT Convertible LOW ODO 2017 / 2018 (Rp 2.149.999.999). https://www.mobil123.com/dijual/ford-mustang-gt-dki-jakarta-cbd/10142940.,https://www.mobil123.com/dijual/ford-mustang-gt-dki-jakarta-cbd/10142940,Ford,Mustang,GT,2999,Automatic,460,5038 cc,2,4,Pertamax,Putih,2017,DKI Jakarta,CBD
2014 Ford Everest 2.5 LTD SUV,I am interested in your car on Mobil123.com - 2014 Ford Everest 2.5 LTD SUV Matic (Rp 215.000.000). https://www.mobil123.com/dijual/ford-everest-ltd-dki-jakarta-pejaten/10650929.,https://www.mobil123.com/dijual/ford-everest-ltd-dki-jakarta-pejaten/10650929,Ford,Everest,LTD,107500,Automatic,141,2499 cc,5,7,Solar,Putih,2014,DKI Jakarta,Pejaten
2012 Ford Fiesta 1.4 Trend Hatchback,I am interested in your car on Mobil123.com - Ford Fiesta Trandy th 2012 1.4 At  (Rp 97.000.000). https://www.mobil123.com/dijual/ford-fiesta-trend-dki-jakarta-kebayoran-baru/10696414.,https://www.mobil123.com/dijual/ford-fiesta-trend-dki-jakarta-kebayoran-baru/10696414,Ford,Fiesta,Trend,100000,Automatic,94,1388 cc,5,5,Pertamax,Ungu,2012,DKI Jakarta,Kebayoran Baru
2015 Ford EcoSport 1.5 Titanium SUV,I am interested in your car on Mobil123.com - 2015 Ford EcoSport 1.5 Titanium SUV Matic Odometer 79 Ribuan Tinggal Pakai Saja (Rp 135.000.000). https://www.mobil123.com/dijual/ford-ecosport-titanium-jawa-timur-darmo/10694871.,https://www.mobil123.com/dijual/ford-ecosport-titanium-jawa-timur-darmo/10694871,Ford,EcoSport,Titanium,77500,Automatic,108,1499 cc,5,5,Pertamax,Hitam,2015,Jawa Timur,Darmo
2012 Ford Ranger 2.2 Base Plus Pick-up,I am interested in your car on Mobil123.com - 2012 Ford Ranger 2.2 Base Plus Pick-up 4x4 DBL CAB KM 36RB (Rp 199.000.000). https://www.mobil123.com/dijual/ford-ranger-base-plus-jawa-barat-pungkur/10119682.,https://www.mobil123.com/dijual/ford-ranger-base-plus-jawa-barat-pungkur/10119682,Ford,Ranger,Base Plus,32500,Manual,125,2198 cc,4,5,Solar,Putih,2012,Jawa Barat,Pungkur
2017 Ford Mustang 5.0 GT Fastback,I am interested in your car on Mobil123.com - 2017 Ford Mustang 5.0 GT Fastback (Rp 2.150.000.000). https://www.mobil123.com/dijual/ford-mustang-gt-dki-jakarta-bintaro/9976650.,https://www.mobil123.com/dijual/ford-mustang-gt-dki-jakarta-bintaro/9976650,Ford,Mustang,GT,2500,Automatic,460,5038 cc,2,4,Pertamax,Putih,2017,DKI Jakarta,Bintaro
2019 Ford Mustang 5.0 GT Fastback,"I am interested in your car on Mobil123.com - 2019 Ford Mustang 5,0 GT Fastback (Rp 2.900.000.000). https://www.mobil123.com/dijual/ford-mustang-gt-dki-jakarta-pondok-indah/10621466.",https://www.mobil123.com/dijual/ford-mustang-gt-dki-jakarta-pondok-indah/10621466,Ford,Mustang,GT,5000,Automatic,460,5038 cc,2,4,Pertamax,Hijau,2019,DKI Jakarta,Pondok Indah
2014 Ford EcoSport 1.5 Titanium SUV,I am interested in your car on Mobil123.com - 2014 Ford EcoSport 1.5 Titanium SUV LIMITED (Rp 129.000.000). https://www.mobil123.com/dijual/ford-ecosport-titanium-dki-jakarta-fatmawati/9379286.,https://www.mobil123.com/dijual/ford-ecosport-titanium-dki-jakarta-fatmawati/9379286,Ford,EcoSport,Titanium,77500,Automatic,108,1499 cc,5,5,Pertamax,Silver,2014,DKI Jakarta,Fatmawati
2014 Ford Fiesta 1.5 Sport Hatchback,I am interested in your car on Mobil123.com - Ford Fiesta 1.5 S AT 2014 Hitam Cash 128jt Kondisi mobil istimewa bergaransi dan dijamin siap pakai  (Rp 128.000.000). https://www.mobil123.com/dijual/ford-fiesta-sport-banten-bintaro/10688417.,https://www.mobil123.com/dijual/ford-fiesta-sport-banten-bintaro/10688417,Ford,Fiesta,Sport,100000,Automatic,110,1498 cc,5,5,Pertamax,Hitam,2014,Banten,Bintaro
2012 Ford Fiesta 1.6 Sport Hatchback,"I am interested in your car on Mobil123.com - 2012 Ford Fiesta 1,6 Sport Hatchback (Rp 99.000.000). https://www.mobil123.com/dijual/ford-fiesta-sport-jawa-timur-kediri/10688134.",https://www.mobil123.com/dijual/ford-fiesta-sport-jawa-timur-kediri/10688134,Ford,Fiesta,Sport,12345,Automatic,118,1596 cc,5,5,Pertamax,Biru,2012,Jawa Timur,Kediri
2014 Ford EcoSport 1.5 Titanium SUV,"I am interested in your car on Mobil123.com - 2014 Ford EcoSport 1,5 Titanium SUV (Rp 117.000.000). https://www.mobil123.com/dijual/ford-ecosport-titanium-dki-jakarta-kemayoran/10428542.",https://www.mobil123.com/dijual/ford-ecosport-titanium-dki-jakarta-kemayoran/10428542,Ford,EcoSport,Titanium,93000,Automatic,108,1499 cc,5,5,Pertamax,Hitam,2014,DKI Jakarta,Kemayoran
2014 Ford EcoSport 1.5 Titanium SUV,I am interested in your car on Mobil123.com - 2014 Ford EcoSport 1.5 Titanium SUV [KREDIT TDP CUMA 20JT] LSUV ANTI MAINSTREAM Register 2015 Superb Condition Sangat Terawat Tinggal Pakai (Rp 128.000.000). https://www.mobil123.com/dijual/ford-ecosport-titanium-jawa-barat-pondok-gede/10680324.,https://www.mobil123.com/dijual/ford-ecosport-titanium-jawa-barat-pondok-gede/10680324,Ford,EcoSport,Titanium,67500,Automatic,108,1499 cc,5,5,Pertamax,Coklat,2014,Jawa Barat,Pondok Gede
2012 Ford Ranger 2.2 Base Pick-up,"I am interested in your car on Mobil123.com - 2012 Ford Ranger 2,2 Base Pick-up (Rp 165.000.000). https://www.mobil123.com/dijual/ford-ranger-base-jawa-timur-malang-kota/9597067.",https://www.mobil123.com/dijual/ford-ranger-base-jawa-timur-malang-kota/9597067,Ford,Ranger,Base,50000,Manual,125,2198 cc,2,2,Solar,Putih,2012,Jawa Timur,Malang Kota
