display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2022 Hyundai Santa Fe 2.2 CRDi Signature SUV,I am interested in your car on Mobil123.com - 2022 Hyundai Santa Fe 2.2 CRDi Signature SUV Nik2022 Black On Saddle Tan Panoramic Sunroof PBD 4Camera #AUTOHIGH #BEST OFFER (Rp 685.000.000). https://www.mobil123.com/dijual/hyundai-santa-fe-crdi-signature-dki-jakarta-pondok-indah/10629996.,https://www.mobil123.com/dijual/hyundai-santa-fe-crdi-signature-dki-jakarta-pondok-indah/10629996,Hyundai,Santa Fe,CRDi Signature,12500,Automatic,200,2151 cc,5,7,Solar,Hitam,2022,DKI Jakarta,Pondok Indah
2022 Hyundai Palisade 2.2 Signature Wagon,I am interested in your car on Mobil123.com - 2022 Hyundai Palisade 2.2 Signature Wagon KM 10.000 Hyundai Palisade Signature 2.2 CRD-i NIK 2022 Black On Red Pjk Pnjng Gress Like New (Rp 865.000.000). https://www.mobil123.com/dijual/hyundai-palisade-signature-dki-jakarta-cibubur/10511037.,https://www.mobil123.com/dijual/hyundai-palisade-signature-dki-jakarta-cibubur/10511037,Hyundai,Palisade,Signature,7500,Automatic,198,2199 cc,5,7,Solar,Hitam,2022,DKI Jakarta,Cibubur
2021 Hyundai Staria 2.2 Signature 7 Wagon,I am interested in your car on Mobil123.com - 2021 Hyundai Staria 2.2 Signature 7 Wagon TOTAL DP 260JT Black On Black Km 3Rb Super Antik Speedometer Digital Cooler Seat HARGA NEGO BANYAK LIKE NEW (Rp 930.000.000). https://www.mobil123.com/dijual/hyundai-staria-signature-7-dki-jakarta-pondok-indah/10644187.,https://www.mobil123.com/dijual/hyundai-staria-signature-7-dki-jakarta-pondok-indah/10644187,Hyundai,Staria,Signature 7,2500,Automatic,175,2199 cc,5,7,Solar,Hitam,2021,DKI Jakarta,Pondok Indah
2022 Hyundai Santa Fe 2.2 CRDi Signature SUV,I am interested in your car on Mobil123.com - 2022 Hyundai Santa Fe 2.2 CRDi Signature SUV TOTAL DP 200JT Blind Spot Camera 4 Camera 360 Windows Curtain Wireless Charging HARGA NEGO LIKE NEW (Rp 685.000.000). https://www.mobil123.com/dijual/hyundai-santa-fe-crdi-signature-dki-jakarta-pondok-indah/10636663.,https://www.mobil123.com/dijual/hyundai-santa-fe-crdi-signature-dki-jakarta-pondok-indah/10636663,Hyundai,Santa Fe,CRDi Signature,12500,Automatic,200,2151 cc,5,7,Solar,Hitam,2022,DKI Jakarta,Pondok Indah
2022 Hyundai Santa Fe 2.2 CRDi Signature SUV,I am interested in your car on Mobil123.com - 2022 Hyundai Santa Fe 2.2 CRDi Signature SUV Nik2022 Black On Saddle Tan Panoramic Sunroof PBD 4Camera #AUTOHIGH #BEST OFFER (Rp 685.000.000). https://www.mobil123.com/dijual/hyundai-santa-fe-crdi-signature-dki-jakarta-pondok-indah/10628764.,https://www.mobil123.com/dijual/hyundai-santa-fe-crdi-signature-dki-jakarta-pondok-indah/10628764,Hyundai,Santa Fe,CRDi Signature,12500,Automatic,200,2151 cc,5,7,Solar,Hitam,2022,DKI Jakarta,Pondok Indah
2015 Hyundai Santa Fe 2.4 SUV,"I am interested in your car on Mobil123.com - 2015 Hyundai Santa Fe 2,4 DM SUV (Rp 239.000.000). https://www.mobil123.com/dijual/hyundai-santa-fe-jawa-barat-pondok-gede/10153699.",https://www.mobil123.com/dijual/hyundai-santa-fe-jawa-barat-pondok-gede/10153699,Hyundai,Santa Fe,,110000,Automatic,174,2359 cc,5,7,Pertamax,Hitam,2015,Jawa Barat,Pondok Gede
2013 Hyundai Santa Fe 2.2 CRDi SUV,I am interested in your car on Mobil123.com - 2013 Hyundai Santa Fe 2.4 bensin (Rp 220.000.000). https://www.mobil123.com/dijual/hyundai-santa-fe-crdi-dki-jakarta-kebayoran-lama/10609086.,https://www.mobil123.com/dijual/hyundai-santa-fe-crdi-dki-jakarta-kebayoran-lama/10609086,Hyundai,Santa Fe,CRDi,62500,Automatic,194,2199 cc,5,7,Solar,Abu-abu,2013,DKI Jakarta,Kebayoran Lama
2021 Hyundai Staria 2.2 Signature 7 Wagon,I am interested in your car on Mobil123.com - 2021 Hyundai Staria 2.2 Signature 7 Wagon Reg.2022 Black On Black Km3000 Perfect Captain Seat Panoramic Sunroof #AUTOHIGH #BEST VALUE (Rp 930.000.000). https://www.mobil123.com/dijual/hyundai-staria-signature-7-dki-jakarta-pondok-indah/10387001.,https://www.mobil123.com/dijual/hyundai-staria-signature-7-dki-jakarta-pondok-indah/10387001,Hyundai,Staria,Signature 7,2500,Automatic,175,2199 cc,5,7,Solar,Hitam,2021,DKI Jakarta,Pondok Indah
2019 Hyundai Kona 2.0 Wagon,"I am interested in your car on Mobil123.com - 2019 Hyundai Kona 2,0 Base Spec Wagon (Rp 260.000.000). https://www.mobil123.com/dijual/hyundai-kona-dki-jakarta-sunter/10696266.",https://www.mobil123.com/dijual/hyundai-kona-dki-jakarta-sunter/10696266,Hyundai,Kona,,32000,Automatic,147,1999 cc,5,5,Pertamax,Kuning,2019,DKI Jakarta,Sunter
2021 Hyundai Palisade 2.2 Signature Wagon,"I am interested in your car on Mobil123.com - 2021 Hyundai Palisade 2,2 Signature Wagon (Rp 799.000.000). https://www.mobil123.com/dijual/hyundai-palisade-signature-dki-jakarta-harmoni/10696182.",https://www.mobil123.com/dijual/hyundai-palisade-signature-dki-jakarta-harmoni/10696182,Hyundai,Palisade,Signature,4000,Automatic,198,2199 cc,5,7,Solar,Hitam,2021,DKI Jakarta,Harmoni
