display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2000 Jaguar S-Type 3.0 Sedan,"I am interested in your car on Mobil123.com - 2000 Jaguar S-Type 3,0 X200 Sedan (Rp 119.000.000). https://www.mobil123.com/dijual/jaguar-s-type-banten-pusat-kota-tangerang/10153636.",https://www.mobil123.com/dijual/jaguar-s-type-banten-pusat-kota-tangerang/10153636,Jaguar,S-Type,,160000,Automatic,235,2967 cc,4,5,Pertamax,Silver,2000,Banten,Pusat Kota Tangerang
2010 Jaguar XF 3.0 Sedan,I am interested in your car on Mobil123.com - 2011 Jaguar XF 3.0 JAGUAR XF 3.0 AT 2011 BLACK ON BEIGE SUNROOF LOW KM EXCELLENT CONDITION JARANG ADA (Rp 329.000.000). https://www.mobil123.com/dijual/jaguar-xf-dki-jakarta-kemayoran/9846053.,https://www.mobil123.com/dijual/jaguar-xf-dki-jakarta-kemayoran/9846053,Jaguar,XF,,30000,Automatic,235,2967 cc,4,5,Pertamax,Hitam,2010,DKI Jakarta,Kemayoran
2000 Jaguar S-Type 3.0 Sedan,I am interested in your car on Mobil123.com - 2000 Jaguar S-Type 3.0 X200 Sedan (Rp 119.000.000). https://www.mobil123.com/dijual/jaguar-s-type-jawa-barat-pondok-gede/10153651.,https://www.mobil123.com/dijual/jaguar-s-type-jawa-barat-pondok-gede/10153651,Jaguar,S-Type,,160000,Automatic,235,2967 cc,4,5,Pertamax,Silver,2000,Jawa Barat,Pondok Gede
2013 Jaguar XF 3.0 Premium Luxury Sedan,"I am interested in your car on Mobil123.com - 2013 Faktur dan Pemakaian 2015 Jaguar XF 3,0 Premium Luxury Sedan (Nopol Genap)  (Rp 525.000.000). https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-cirendeu/10686869.",https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-cirendeu/10686869,Jaguar,XF,Premium Luxury,30000,Automatic,335,2995 cc,4,5,Pertamax,Putih,2013,DKI Jakarta,Cirendeu
2012 Jaguar XF 3.0 Premium Luxury Sedan,I am interested in your car on Mobil123.com - 2012 Jaguar XF 3.0 Premium Luxury Sedan (Nopol Genap) (Rp 466.000.000). https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-cirendeu/9484680.,https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-cirendeu/9484680,Jaguar,XF,Premium Luxury,34000,Automatic,335,2995 cc,4,5,Pertamax,Coklat,2012,DKI Jakarta,Cirendeu
2015 Jaguar XF 2.0 Premium Luxury Sedan,I am interested in your car on Mobil123.com - 2015 Jaguar XF 2.0 Premium Luxury FREE GIFT EDISI NEW YEAR (Rp 528.000.000). https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-cipete/8321103.,https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-cipete/8321103,Jaguar,XF,Premium Luxury,27500,Automatic,237,1999 cc,4,5,Pertamax,Marun,2015,DKI Jakarta,Cipete
2015 Jaguar XF 2.0 Premium Luxury Sedan,I am interested in your car on Mobil123.com - 2015 Jaguar XF 2.0 Premium Luxury Sedan [KREDIT TDP CUMA 30JT] ODO 30RB KM VERY LOW EXECUTIVE SEDAN PARA BOSS Very Mint and Special Condition (Rp 495.000.000). https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-jawa-barat-pondok-gede/10681387.,https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-jawa-barat-pondok-gede/10681387,Jaguar,XF,Premium Luxury,27500,Automatic,237,1999 cc,4,5,Pertamax,Marun,2015,Jawa Barat,Pondok Gede
2012 Jaguar XF 3.0 Premium Luxury Sedan,I am interested in your car on Mobil123.com - 2012 Jaguar XF 3.0 Premium Luxury Sedan (Rp 439.000.000). https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-cilandak/10002251.,https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-cilandak/10002251,Jaguar,XF,Premium Luxury,32500,Automatic,335,2995 cc,4,5,Pertamax,Coklat,2012,DKI Jakarta,Cilandak
2013 Jaguar XF 3.0 Premium Luxury Sedan,I am interested in your car on Mobil123.com - 2013 Jaguar XF 3.0 Premium Luxury Sedan (Rp 529.000.000). https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-cilandak/9285685.,https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-cilandak/9285685,Jaguar,XF,Premium Luxury,27500,Automatic,335,2995 cc,4,5,Pertamax,Putih,2013,DKI Jakarta,Cilandak
2000 Jaguar S-Type 3.0 Sedan,I am interested in your car on Mobil123.com - 2000 Jaguar S-Type 3.0 X200 Sedan (Rp 119.000.000). https://www.mobil123.com/dijual/jaguar-s-type-dki-jakarta-kebayoran-baru/10145690.,https://www.mobil123.com/dijual/jaguar-s-type-dki-jakarta-kebayoran-baru/10145690,Jaguar,S-Type,,162500,Automatic,235,2967 cc,4,5,Pertamax,Silver,2000,DKI Jakarta,Kebayoran Baru
2015 Jaguar XF 2.0 Premium Luxury Sedan,I am interested in your car on Mobil123.com - 2015 Jaguar XF 2.0 Premium Luxury Sedan [KREDIT TDP CUMA 30JT] ODO 30RB KM VERY LOW EXECUTIVE SEDAN PARA BOSS Very Mint and Special Condition (Rp 495.000.000). https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-jawa-barat-pondok-labu/10676584.,https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-jawa-barat-pondok-labu/10676584,Jaguar,XF,Premium Luxury,27500,Automatic,237,1999 cc,4,5,Pertamax,Marun,2015,Jawa Barat,Pondok Labu
2015 Jaguar XF 2.0 Premium Luxury Sedan,I am interested in your car on Mobil123.com - 2015 Jaguar XF 2.0 Premium Luxury Sedan Sedan [KREDIT TDP CUMA 30JT] ODO 30RB KM VERY LOW EXECUTIVE SEDAN PARA BOSS Very Mint and Special Condition (Rp 495.000.000). https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-banten-bintaro/10660066.,https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-banten-bintaro/10660066,Jaguar,XF,Premium Luxury,27500,Automatic,237,1999 cc,4,5,Pertamax,Marun,2015,Banten,Bintaro
2011 Jaguar XF 3.0 Sedan,I am interested in your car on Mobil123.com - 2011 Jaguar XF 3.0 X250 Sedan (Rp 300.000.000). https://www.mobil123.com/dijual/jaguar-xf-dki-jakarta-fatmawati/9998384.,https://www.mobil123.com/dijual/jaguar-xf-dki-jakarta-fatmawati/9998384,Jaguar,XF,,27500,Automatic,235,2967 cc,4,5,Pertamax,Silver,2011,DKI Jakarta,Fatmawati
2013 Jaguar XF 3.0 Premium Luxury Sedan,I am interested in your car on Mobil123.com - 2013 Jaguar XF 3.0 Premium Luxury DP 30JT Kredit KTP daerah/Ngontrak data dibantu Bergaransi (Rp 455.000.000). https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-banten-bumi-bintaro-permai/10307565.,https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-banten-bumi-bintaro-permai/10307565,Jaguar,XF,Premium Luxury,27500,Automatic,335,2995 cc,4,5,Pertamax,Putih,2013,Banten,Bumi Bintaro Permai
2015 Jaguar XF 2.0 Premium Luxury Sedan,I am interested in your car on Mobil123.com - 2015 Jaguar XF 2.0 Premium Luxury Sedan (Rp 595.000.000). https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-kemayoran/10655729.,https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-kemayoran/10655729,Jaguar,XF,Premium Luxury,17500,Automatic,237,1999 cc,4,5,Pertamax,Hitam,2015,DKI Jakarta,Kemayoran
2013 Jaguar XF 3.0 Premium Luxury Sedan,I am interested in your car on Mobil123.com - Jaguar XF 3.0 Premium Luxury AT 2013 Putih TDP 17jt Kondisi mobil istimewa bergaransi dan dijamin siap pakai (Rp 455.000.000). https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-meruya/10600059.,https://www.mobil123.com/dijual/jaguar-xf-premium-luxury-dki-jakarta-meruya/10600059,Jaguar,XF,Premium Luxury,30000,Automatic,335,2995 cc,4,5,Pertamax,Putih,2013,DKI Jakarta,Meruya
2000 Jaguar S-Type 3.0 Sedan,I am interested in your car on Mobil123.com - JAGUAR S-TYPE V6 3.0L CHARCOAL INTERIOR 2000 TOP CONDITION (Rp 135.000.000). https://www.mobil123.com/dijual/jaguar-s-type-banten-gading-serpong/10536359.,https://www.mobil123.com/dijual/jaguar-s-type-banten-gading-serpong/10536359,Jaguar,S-Type,,75000,Automatic,235,2967 cc,4,5,Pertamax,Silver,2000,Banten,Gading Serpong
