display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2013 Jeep Wrangler 2.8 Sport CRD Unlimited SUV,"I am interested in your car on Mobil123.com - 2013 Jeep Wrangler 2,8 Sport CRD Unlimited SUV,HARGA KHUSUS KREDIT, DEPE PAKET ,TENOR 4TH ATAU 5TH (Rp 955.000.000). https://www.mobil123.com/dijual/jeep-wrangler-sport-crd-unlimited-jawa-barat-bekasi/10014702.",https://www.mobil123.com/dijual/jeep-wrangler-sport-crd-unlimited-jawa-barat-bekasi/10014702,Jeep,Wrangler,Sport CRD Unlimited,61000,Automatic,160,2766 cc,4,5,Solar,Orange,2013,Jawa Barat,Bekasi
2011 Jeep Wrangler 3.8 Unlimited Sport SUV,I am interested in your car on Mobil123.com - 2011 Jeep Wrangler 3.8 Unlimited Sport SUV (Rp 709.000.000). https://www.mobil123.com/dijual/jeep-wrangler-unlimited-sport-banten-gading-serpong/10492889.,https://www.mobil123.com/dijual/jeep-wrangler-unlimited-sport-banten-gading-serpong/10492889,Jeep,Wrangler,Unlimited Sport,17500,Automatic,196,3778 cc,4,5,Pertamax,Hitam,2011,Banten,Gading Serpong
2013 Jeep Compass 2.4 Limited SUV,I am interested in your car on Mobil123.com - 2013 Jeep Compass 2.4 Limited SUV (Rp 270.000.000). https://www.mobil123.com/dijual/jeep-compass-limited-jawa-timur-bratang-binangun/9405412.,https://www.mobil123.com/dijual/jeep-compass-limited-jawa-timur-bratang-binangun/9405412,Jeep,Compass,Limited,62500,Automatic,172,2359 cc,5,5,Pertamax,Hitam,2013,Jawa Timur,Bratang Binangun
2011 Jeep Grand Cherokee 5.7 Overland SUV,I am interested in your car on Mobil123.com - 2011 Jeep Grand Cherokee 5.7 Overland SUV (Rp 460.000.000). https://www.mobil123.com/dijual/jeep-grand-cherokee-overland-jawa-timur-bratang-binangun/9709675.,https://www.mobil123.com/dijual/jeep-grand-cherokee-overland-jawa-timur-bratang-binangun/9709675,Jeep,Grand Cherokee,Overland,47500,Automatic,347,5654 cc,5,5,Pertamax,Hitam,2011,Jawa Timur,Bratang Binangun
2012 Jeep Wrangler 3.6 Sport Unlimited SUV,I am interested in your car on Mobil123.com - 2012 Jeep Wrangler 3.6 Sport Unlimited SUV (Rp 795.000.000). https://www.mobil123.com/dijual/jeep-wrangler-sport-unlimited-jawa-barat-soekarno-hatta/10488260.,https://www.mobil123.com/dijual/jeep-wrangler-sport-unlimited-jawa-barat-soekarno-hatta/10488260,Jeep,Wrangler,Sport Unlimited,40000,Automatic,284,3604 cc,4,5,Pertamax,Merah,2012,Jawa Barat,Soekarno Hatta
2012 Jeep Wrangler 3.6 Sport Unlimited SUV,I am interested in your car on Mobil123.com - 2012 Jeep Wrangler 3.6 Sport Unlimited SUV Service Record Very Well Maintained (Rp 950.000.000). https://www.mobil123.com/dijual/jeep-wrangler-sport-unlimited-dki-jakarta-kebayoran-baru/10389877.,https://www.mobil123.com/dijual/jeep-wrangler-sport-unlimited-dki-jakarta-kebayoran-baru/10389877,Jeep,Wrangler,Sport Unlimited,37500,Automatic,284,3604 cc,4,5,Pertamax,Orange,2012,DKI Jakarta,Kebayoran Baru
2014 Jeep Wrangler 3.0 Sport X SUV,"I am interested in your car on Mobil123.com - 2014 Jeep Wrangler 3,0 Sport X Registrasi 2020 Modif 400JUTA (Rp 1.188.000.000). https://www.mobil123.com/dijual/jeep-wrangler-sport-x-dki-jakarta-harmoni/10483551.",https://www.mobil123.com/dijual/jeep-wrangler-sport-x-dki-jakarta-harmoni/10483551,Jeep,Wrangler,Sport X,24000,Automatic,230,2985 cc,4,5,Pertamax,Abu-abu,2014,DKI Jakarta,Harmoni
2015 Jeep Wrangler 3.0 Sport Renegade SUV,I am interested in your car on Mobil123.com - 2015 Jeep Wrangler 3.0 Sport Renegade SUV TOTAL DP 300JT Black On Black 4Doors 4WD Soft Top Original Km Super Antik Service Record HARGA NEGO LIKE NEW (Rp 1.095.000.000). https://www.mobil123.com/dijual/jeep-wrangler-sport-renegade-dki-jakarta-pondok-indah/10345866.,https://www.mobil123.com/dijual/jeep-wrangler-sport-renegade-dki-jakarta-pondok-indah/10345866,Jeep,Wrangler,Sport Renegade,37500,Automatic,230,2985 cc,4,5,Pertamax,Hitam,2015,DKI Jakarta,Pondok Indah
2012 Jeep Wrangler 3.6 Rubicon Unlimited SUV,"I am interested in your car on Mobil123.com - 2012 Jeep Wrangler 3,6 Rubicon Unlimited SUV (Rp 950.000.000). https://www.mobil123.com/dijual/jeep-wrangler-rubicon-unlimited-jawa-barat-bandung/10479485.",https://www.mobil123.com/dijual/jeep-wrangler-rubicon-unlimited-jawa-barat-bandung/10479485,Jeep,Wrangler,Rubicon Unlimited,20000,Automatic,284,3604 cc,4,5,Pertamax,Hitam,2012,Jawa Barat,Bandung
2011 Jeep Wrangler 3.8 Unlimited Sport SUV,I am interested in your car on Mobil123.com - 2011 Jeep Wrangler 3.8 Unlimited Sport SUV (Rp 705.000.000). https://www.mobil123.com/dijual/jeep-wrangler-unlimited-sport-dki-jakarta-mangga-dua/8767635.,https://www.mobil123.com/dijual/jeep-wrangler-unlimited-sport-dki-jakarta-mangga-dua/8767635,Jeep,Wrangler,Unlimited Sport,57000,Automatic,196,3778 cc,4,5,Pertamax,Hijau,2011,DKI Jakarta,Mangga Dua
