display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2013 KIA Rio 1.4 Hatchback,I am interested in your car on Mobil123.com - 2013 KIA Rio 1.4 Hatchback DP.18JT (Rp 120.000.000). https://www.mobil123.com/dijual/kia-rio-jawa-barat-bandung/10505893.,https://www.mobil123.com/dijual/kia-rio-jawa-barat-bandung/10505893,KIA,Rio,,102500,Automatic,106,1396 cc,5,5,Pertamax,Putih,2013,Jawa Barat,Bandung
2020 KIA Seltos 1.4 EX+ Wagon,"I am interested in your car on Mobil123.com - 2020 KIA Seltos 1,4 EX+  (Rp 315.000.000). https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-harmoni/10503079.",https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-harmoni/10503079,KIA,Seltos,EX+,13000,Automatic,138,1353 cc,5,5,Pertamax,Putih,2020,DKI Jakarta,Harmoni
2021 KIA Seltos 1.4 EX+ Wagon,I am interested in your car on Mobil123.com - 2021 KIA Seltos 1.4 EX+ Wagon - HJ - c653000 (Rp 324.000.000). https://www.mobil123.com/dijual/kia-seltos-ex-plus-jawa-barat-cikarang-baru/10501818.,https://www.mobil123.com/dijual/kia-seltos-ex-plus-jawa-barat-cikarang-baru/10501818,KIA,Seltos,EX+,17500,Automatic,138,1353 cc,5,5,Pertamax,Orange,2021,Jawa Barat,Cikarang Baru
2013 KIA Picanto 1.2 SE 3 Hatchback,I am interested in your car on Mobil123.com - 2013 KIA Picanto 1.2 SE 3 Hatchback (Rp 89.000.000). https://www.mobil123.com/dijual/kia-picanto-se-3-dki-jakarta-pondok-indah/10497316.,https://www.mobil123.com/dijual/kia-picanto-se-3-dki-jakarta-pondok-indah/10497316,KIA,Picanto,SE 3,82500,Manual,86,1248 cc,5,5,Pertamax,Merah,2013,DKI Jakarta,Pondok Indah
2020 KIA Seltos 1.4 EX+ Wagon,I am interested in your car on Mobil123.com - 2020 KIA Seltos 1.4 EX+ Wagon (Rp 329.000.000). https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-pondok-indah/10497156.,https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-pondok-indah/10497156,KIA,Seltos,EX+,17500,Automatic,138,1353 cc,5,5,Pertamax,Orange,2020,DKI Jakarta,Pondok Indah
2020 KIA Seltos 1.4 EX+ Wagon,I am interested in your car on Mobil123.com - 2020 KIA Seltos 1.4 EX+ Wagon (Rp 329.000.000). https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-halim-perdana-kusuma/10495704.,https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-halim-perdana-kusuma/10495704,KIA,Seltos,EX+,22500,Automatic,138,1353 cc,5,5,Pertamax,Orange,2020,DKI Jakarta,Halim Perdana Kusuma
2018 KIA Grand Sedona 3.3 MPV,I am interested in your car on Mobil123.com - 2018 KIA Grand Sedona 3.3 MPV (Rp 400.000.000). https://www.mobil123.com/dijual/kia-grand-sedona-dki-jakarta-kemayoran/10494762.,https://www.mobil123.com/dijual/kia-grand-sedona-dki-jakarta-kemayoran/10494762,KIA,Grand Sedona,,2500,Automatic,266,3342 cc,5,8,Pertamax,Putih,2018,DKI Jakarta,Kemayoran
2022 KIA Seltos 1.4 EX+ Wagon,"I am interested in your car on Mobil123.com - 2022 KIA Seltos 1,4 EX+ EX Plus AT  (Rp 325.000.000). https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-harmoni/10462709.",https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-harmoni/10462709,KIA,Seltos,EX+,12000,Automatic,138,1353 cc,5,5,Pertamax,Hitam,2022,DKI Jakarta,Harmoni
2014 KIA Rio 1.4 Hatchback,"I am interested in your car on Mobil123.com - 2014 KIA Rio 1,4 UB Hatchback mulus siap pakai (Rp 124.500.000). https://www.mobil123.com/dijual/kia-rio-jawa-barat-soreang/10250675.",https://www.mobil123.com/dijual/kia-rio-jawa-barat-soreang/10250675,KIA,Rio,,36000,Manual,106,1396 cc,5,5,Pertamax,Abu-abu,2014,Jawa Barat,Soreang
2021 KIA Sonet 1.5 Dynamic Wagon,I am interested in your car on Mobil123.com - 2021 KIA Sonet 1.5 Dynamic Wagon hitam km 20rb (Rp 235.000.000). https://www.mobil123.com/dijual/kia-sonet-dynamic-dki-jakarta-mangga-dua/10457800.,https://www.mobil123.com/dijual/kia-sonet-dynamic-dki-jakarta-mangga-dua/10457800,KIA,Sonet,Dynamic,22500,Automatic,113,1497 cc,5,5,Pertamax,Hitam,2021,DKI Jakarta,Mangga Dua
