display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2012 Lamborghini Aventador 6.5 LP700-4 Coupe,"I am interested in your car on Mobil123.com - 2012 Lamborghini Aventador 6,5 LP700-4 Coupe (Rp 6.500.000.000). https://www.mobil123.com/dijual/lamborghini-aventador-lp700-4-dki-jakarta-sudirman/10682632.",https://www.mobil123.com/dijual/lamborghini-aventador-lp700-4-dki-jakarta-sudirman/10682632,Lamborghini,Aventador,LP700-4,20000,Automatic,700,6498 cc,2,2,Pertamax,Orange,2012,DKI Jakarta,Sudirman
2017 Lamborghini Aventador 6.5 LP700-4 Coupe,I am interested in your car on Mobil123.com - 2017 Lamborghini Aventador 6.5 LP700-4 Coupe (Rp 6.500.000.000). https://www.mobil123.com/dijual/lamborghini-aventador-lp700-4-dki-jakarta-kebon-jeruk/10682466.,https://www.mobil123.com/dijual/lamborghini-aventador-lp700-4-dki-jakarta-kebon-jeruk/10682466,Lamborghini,Aventador,LP700-4,17500,Automatic,700,6498 cc,2,2,Pertamax,Orange,2017,DKI Jakarta,Kebon Jeruk
2013 Lamborghini Gallardo 5.2 LP550-2 Coupe,I am interested in your car on Mobil123.com - 2013 Lamborghini Gallardo 5.2 LP550-2 Coupe (Rp 3.650.000.000). https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-kelapa-gading/10535681.,https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-kelapa-gading/10535681,Lamborghini,Gallardo,LP550-2,7200,Automatic,543,5204 cc,2,2,Pertamax,Orange,2013,DKI Jakarta,Kelapa Gading
2013 Lamborghini Aventador 6.5 LP700-4 Convertible,"I am interested in your car on Mobil123.com - 2013 Lamborghini Aventador 6,5 LP700-4 Convertible (Rp 7.000.000.000). https://www.mobil123.com/dijual/lamborghini-aventador-lp700-4-dki-jakarta-pondok-indah/10562406.",https://www.mobil123.com/dijual/lamborghini-aventador-lp700-4-dki-jakarta-pondok-indah/10562406,Lamborghini,Aventador,LP700-4,16000,Automatic,700,6498 cc,2,2,Pertamax,Orange,2013,DKI Jakarta,Pondok Indah
2011 Lamborghini Gallardo 5.2 LP 570-4 Superleggera Coupe,I am interested in your car on Mobil123.com - 2011 Lamborghini Gallardo 5.2 LP 570-4 Superleggera Coupe SPECIAL PRICE (Rp 4.100.000.000). https://www.mobil123.com/dijual/lamborghini-gallardo-lp-570-4-superleggera-dki-jakarta-pluit/10632537.,https://www.mobil123.com/dijual/lamborghini-gallardo-lp-570-4-superleggera-dki-jakarta-pluit/10632537,Lamborghini,Gallardo,LP 570-4 Superleggera,27500,Automatic,562,5204 cc,2,2,Pertamax,Hijau,2011,DKI Jakarta,Pluit
2013 Lamborghini Gallardo 5.2 LP 560-4 Coupe,I am interested in your car on Mobil123.com - 2013 Lamborghini Gallardo 5.2 LP 560-4 Coupe (Rp 3.750.000.000). https://www.mobil123.com/dijual/lamborghini-gallardo-lp-560-4-dki-jakarta-kebayoran-baru/9763423.,https://www.mobil123.com/dijual/lamborghini-gallardo-lp-560-4-dki-jakarta-kebayoran-baru/9763423,Lamborghini,Gallardo,LP 560-4,17500,Automatic,552,5204 cc,2,2,Pertamax,Putih,2013,DKI Jakarta,Kebayoran Baru
2012 Lamborghini Aventador 6.5 LP700-4 Coupe,I am interested in your car on Mobil123.com - 2012 Lamborghini Aventador 6.5 LP700-4 Coupe (Rp 6.900.000.000). https://www.mobil123.com/dijual/lamborghini-aventador-lp700-4-dki-jakarta-cipete/10237648.,https://www.mobil123.com/dijual/lamborghini-aventador-lp700-4-dki-jakarta-cipete/10237648,Lamborghini,Aventador,LP700-4,22500,Automatic,700,6498 cc,2,2,Pertamax,Orange,2012,DKI Jakarta,Cipete
2011 Lamborghini Gallardo 5.2 LP 570-4 Superleggera Coupe,I am interested in your car on Mobil123.com - 2011 Lamborghini Gallardo 5.2 LP 570-4 Superleggera Coupe (Rp 4.500.000.000). https://www.mobil123.com/dijual/lamborghini-gallardo-lp-570-4-superleggera-dki-jakarta-kebayoran-baru/9643613.,https://www.mobil123.com/dijual/lamborghini-gallardo-lp-570-4-superleggera-dki-jakarta-kebayoran-baru/9643613,Lamborghini,Gallardo,LP 570-4 Superleggera,12500,Automatic,562,5204 cc,2,2,Pertamax,Putih,2011,DKI Jakarta,Kebayoran Baru
2013 Lamborghini Gallardo 5.2 LP550-2 Coupe,I am interested in your car on Mobil123.com - 2013 Lamborghini Gallardo 5.2 LP550-2 Coupe (Rp 3.400.000.000). https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-kelapa-gading/9871332.,https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-kelapa-gading/9871332,Lamborghini,Gallardo,LP550-2,12000,Automatic,543,5204 cc,2,2,Pertamax,Hijau,2013,DKI Jakarta,Kelapa Gading
2012 Lamborghini Aventador 6.5 LP700-4 Coupe,I am interested in your car on Mobil123.com - 2012 Lamborghini Aventador 6.5 LP700-4 Coupe (Rp 6.500.000.000). https://www.mobil123.com/dijual/lamborghini-aventador-lp700-4-dki-jakarta-fatmawati/10143013.,https://www.mobil123.com/dijual/lamborghini-aventador-lp700-4-dki-jakarta-fatmawati/10143013,Lamborghini,Aventador,LP700-4,17500,Automatic,700,6498 cc,2,2,Pertamax,Orange,2012,DKI Jakarta,Fatmawati
