display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2015 Land Rover Range Rover Evoque 2.0 Dynamic Si4 SUV,"I am interested in your car on Mobil123.com - 2015 Land Rover Range Rover Evoque 2,0 Dynamic Si4 SUV (Rp 800.000.000). https://www.mobil123.com/dijual/land-rover-range-rover-evoque-dynamic-si4-dki-jakarta-sunter/10117699.",https://www.mobil123.com/dijual/land-rover-range-rover-evoque-dynamic-si4-dki-jakarta-sunter/10117699,Land Rover,Range Rover Evoque,Dynamic Si4,23000,Automatic,237,1999 cc,5,5,Pertamax,Merah,2015,DKI Jakarta,Sunter
2021 Land Rover Defender 2.0 110 P300 SE SUV,I am interested in your car on Mobil123.com - 2021 Land Rover Defender 2.0 110 P300 SE SUV (Rp 3.050.000.000). https://www.mobil123.com/dijual/land-rover-defender-110-p300-se-dki-jakarta-kelapa-gading/10599867.,https://www.mobil123.com/dijual/land-rover-defender-110-p300-se-dki-jakarta-kelapa-gading/10599867,Land Rover,Defender,110 P300 SE,2500,Automatic,296,1997 cc,5,5,Pertamax,Coklat,2021,DKI Jakarta,Kelapa Gading
2013 Land Rover Range Rover 3.0 Vogue SUV,I am interested in your car on Mobil123.com - 2013 Land Rover Range Rover 3.0 Vogue SUV (Rp 545.000.000). https://www.mobil123.com/dijual/land-rover-range-rover-vogue-dki-jakarta-kelapa-gading/10116244.,https://www.mobil123.com/dijual/land-rover-range-rover-vogue-dki-jakarta-kelapa-gading/10116244,Land Rover,Range Rover,Vogue,33000,Automatic,335,2995 cc,5,5,Pertamax,Putih,2013,DKI Jakarta,Kelapa Gading
2012 Land Rover Range Rover Evoque 2.0 Dynamic Luxury Si4 SUV,"I am interested in your car on Mobil123.com - 2012 Land Rover Range Rover Evoque 2,0 Dynamic Luxury Si4 SUV (Rp 440.000.000). https://www.mobil123.com/dijual/land-rover-range-rover-evoque-dynamic-luxury-si4-dki-jakarta-batu-tulis/10573363.",https://www.mobil123.com/dijual/land-rover-range-rover-evoque-dynamic-luxury-si4-dki-jakarta-batu-tulis/10573363,Land Rover,Range Rover Evoque,Dynamic Luxury Si4,55000,Automatic,237,1999 cc,5,5,Pertamax,Hitam,2012,DKI Jakarta,Batu Tulis
2012 Land Rover Range Rover Evoque 2.0 Dynamic Luxury Si4 Coupe,"I am interested in your car on Mobil123.com - 2012 Land Rover Range Rover Evoque 2,0 Dynamic Luxury Si4 Coupe (Rp 495.000.000). https://www.mobil123.com/dijual/land-rover-range-rover-evoque-dynamic-luxury-si4-dki-jakarta-sunter/10540150.",https://www.mobil123.com/dijual/land-rover-range-rover-evoque-dynamic-luxury-si4-dki-jakarta-sunter/10540150,Land Rover,Range Rover Evoque,Dynamic Luxury Si4,37000,Automatic,237,1999 cc,3,5,Pertamax,Putih,2012,DKI Jakarta,Sunter
2011 Land Rover Defender 2.2 110 SUV,I am interested in your car on Mobil123.com - 2011 Land Rover Defender 2.2 110 SUV (Rp 1.650.000.000). https://www.mobil123.com/dijual/land-rover-defender-110-dki-jakarta-fatmawati/10537997.,https://www.mobil123.com/dijual/land-rover-defender-110-dki-jakarta-fatmawati/10537997,Land Rover,Defender,110,60000,Manual,121,2198 cc,5,7,Solar,Putih,2011,DKI Jakarta,Fatmawati
2018 Land Rover Range Rover 3.0 Vogue SUV,I am interested in your car on Mobil123.com - 2018 Land Rover Range Rover 3.0 Vogue SUV (Rp 3.350.000.000). https://www.mobil123.com/dijual/land-rover-range-rover-vogue-dki-jakarta-menteng/10534209.,https://www.mobil123.com/dijual/land-rover-range-rover-vogue-dki-jakarta-menteng/10534209,Land Rover,Range Rover,Vogue,17500,Automatic,335,2995 cc,5,5,Pertamax,Hitam,2018,DKI Jakarta,Menteng
2013 Land Rover Range Rover Evoque 2.0 Dynamic Luxury Si4 SUV,I am interested in your car on Mobil123.com - 2013 Land Rover Range Rover Evoque 2.0 Dynamic Luxury Si4 SUV (Rp 595.000.000). https://www.mobil123.com/dijual/land-rover-range-rover-evoque-dynamic-luxury-si4-dki-jakarta-kelapa-gading/9236940.,https://www.mobil123.com/dijual/land-rover-range-rover-evoque-dynamic-luxury-si4-dki-jakarta-kelapa-gading/9236940,Land Rover,Range Rover Evoque,Dynamic Luxury Si4,48000,Automatic,237,1999 cc,5,5,Pertamax,Merah,2013,DKI Jakarta,Kelapa Gading
2013 Land Rover Range Rover Evoque 2.0 Dynamic Luxury Si4 SUV,I am interested in your car on Mobil123.com - 2013 Land Rover Range Rover Evoque 2.0 Dynamic Luxury Si4 SUV (Rp 515.000.000). https://www.mobil123.com/dijual/land-rover-range-rover-evoque-dynamic-luxury-si4-dki-jakarta-kelapa-gading/10510349.,https://www.mobil123.com/dijual/land-rover-range-rover-evoque-dynamic-luxury-si4-dki-jakarta-kelapa-gading/10510349,Land Rover,Range Rover Evoque,Dynamic Luxury Si4,27500,Automatic,237,1999 cc,5,5,Pertamax,Putih,2013,DKI Jakarta,Kelapa Gading
2013 Land Rover Range Rover Evoque 2.0 Dynamic Luxury Si4 SUV,I am interested in your car on Mobil123.com - 2013 Land Rover Range Rover Evoque 2.0 Dynamic Luxury Si4 SUV (Rp 565.000.000). https://www.mobil123.com/dijual/land-rover-range-rover-evoque-dynamic-luxury-si4-dki-jakarta-lebak-bulus/10471346.,https://www.mobil123.com/dijual/land-rover-range-rover-evoque-dynamic-luxury-si4-dki-jakarta-lebak-bulus/10471346,Land Rover,Range Rover Evoque,Dynamic Luxury Si4,30000,Automatic,237,1999 cc,5,5,Pertamax,Putih,2013,DKI Jakarta,Lebak Bulus
2014 Land Rover Range Rover 3.0 Vogue SUV,"I am interested in your car on Mobil123.com - 2014 Land Rover Range Rover 3,0 Vogue SUV (Nopol Genap) (Rp 1.775.000.000). https://www.mobil123.com/dijual/land-rover-range-rover-vogue-dki-jakarta-cirendeu/10188658.",https://www.mobil123.com/dijual/land-rover-range-rover-vogue-dki-jakarta-cirendeu/10188658,Land Rover,Range Rover,Vogue,20000,Automatic,335,2995 cc,5,5,Pertamax,Putih,2014,DKI Jakarta,Cirendeu
