display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2017 McLaren 570S 3.8 Coupe,I am interested in your car on Mobil123.com - 2017 McLaren 570S 3.8 Coupe SPECIAL PRICE (Rp 5.325.000.000). https://www.mobil123.com/dijual/mclaren-570s-dki-jakarta-pluit/10556516.,https://www.mobil123.com/dijual/mclaren-570s-dki-jakarta-pluit/10556516,McLaren,570S,,7500,Automatic,562,3799 cc,2,2,Pertamax,Merah,2017,DKI Jakarta,Pluit
2016 McLaren 570S 3.8 Coupe,I am interested in your car on Mobil123.com - 2016 McLaren 570S 3.8 Coupe (Rp 4.900.000.000). https://www.mobil123.com/dijual/mclaren-570s-dki-jakarta-kelapa-gading/10429798.,https://www.mobil123.com/dijual/mclaren-570s-dki-jakarta-kelapa-gading/10429798,McLaren,570S,,16000,Automatic,562,3799 cc,2,2,Pertamax,Abu-abu,2016,DKI Jakarta,Kelapa Gading
2015 McLaren 650S 3.8 Convertible,I am interested in your car on Mobil123.com - 2015 McLaren 650S 3.8 Convertible (Rp 5.500.000.000). https://www.mobil123.com/dijual/mclaren-650s-dki-jakarta-jalan-panjang/10406671.,https://www.mobil123.com/dijual/mclaren-650s-dki-jakarta-jalan-panjang/10406671,McLaren,650S,,7500,Automatic,641,3799 cc,2,2,Pertamax,Hijau,2015,DKI Jakarta,Jalan Panjang
2019 McLaren 600LT 3.8 Coupe,I am interested in your car on Mobil123.com - 2019 McLaren 600LT 3.8 Coupe Myan Orange on Black (Rp 8.800.000.000). https://www.mobil123.com/dijual/mclaren-600lt-dki-jakarta-pluit/7835045.,https://www.mobil123.com/dijual/mclaren-600lt-dki-jakarta-pluit/7835045,McLaren,600LT,,2500,Automatic,591,3799 cc,2,2,Pertamax,Orange,2019,DKI Jakarta,Pluit
2019 McLaren 600LT 3.8 Coupe,I am interested in your car on Mobil123.com - 2019 McLaren 600LT 3.8 Coupe SPECIAL PRICE (Rp 8.800.000.000). https://www.mobil123.com/dijual/mclaren-600lt-dki-jakarta-pluit/7074792.,https://www.mobil123.com/dijual/mclaren-600lt-dki-jakarta-pluit/7074792,McLaren,600LT,,2500,Automatic,591,3799 cc,2,2,Pertamax,Orange,2019,DKI Jakarta,Pluit
2018 McLaren 720S 4.0 Coupe,I am interested in your car on Mobil123.com - 2018 McLaren 720S 4.0 Coupe Yellow on Black (Rp 8.800.000.000). https://www.mobil123.com/dijual/mclaren-720s-dki-jakarta-pluit/9422132.,https://www.mobil123.com/dijual/mclaren-720s-dki-jakarta-pluit/9422132,McLaren,720S,,2500,Automatic,710,3994 cc,2,2,Pertamax,Kuning,2018,DKI Jakarta,Pluit
2015 McLaren 650S 3.8 Convertible,"I am interested in your car on Mobil123.com - 2015 McLaren 650S 3,8 F Convertible (Rp 4.990.000.000). https://www.mobil123.com/dijual/mclaren-650s-dki-jakarta-pantai-indah-kapuk/10001054.",https://www.mobil123.com/dijual/mclaren-650s-dki-jakarta-pantai-indah-kapuk/10001054,McLaren,650S,,4600,Automatic,641,3799 cc,2,2,Pertamax,Putih,2015,DKI Jakarta,Pantai Indah Kapuk
2013 McLaren MP4-12C 3.8 Coupe Coupe,"I am interested in your car on Mobil123.com - 2013 McLaren MP4-12C 3,8 Coupe Coupe (Rp 3.585.000.000). https://www.mobil123.com/dijual/mclaren-mp4-12c-coupe-dki-jakarta-sunter/9833537.",https://www.mobil123.com/dijual/mclaren-mp4-12c-coupe-dki-jakarta-sunter/9833537,McLaren,MP4-12C,Coupe,10000,Automatic,616,3800 cc,2,2,Pertamax,Kuning,2013,DKI Jakarta,Sunter
2015 McLaren 650S 3.8 Convertible,I am interested in your car on Mobil123.com - 2015 McLaren 650S 3.8 F Spider  (Rp 5.200.000.000). https://www.mobil123.com/dijual/mclaren-650s-dki-jakarta-cilandak/9839513.,https://www.mobil123.com/dijual/mclaren-650s-dki-jakarta-cilandak/9839513,McLaren,650S,,6500,Automatic,641,3799 cc,2,2,Pertamax,Putih,2015,DKI Jakarta,Cilandak
2018 McLaren 720S 4.0 Coupe,I am interested in your car on Mobil123.com - 2018 McLaren 720S 4.0 Coupe (Rp 8.795.000.000). https://www.mobil123.com/dijual/mclaren-720s-dki-jakarta-bintaro/9839564.,https://www.mobil123.com/dijual/mclaren-720s-dki-jakarta-bintaro/9839564,McLaren,720S,,4000,Automatic,710,3994 cc,2,2,Pertamax,Kuning,2018,DKI Jakarta,Bintaro
2016 McLaren 675LT 3.8 Coupe,I am interested in your car on Mobil123.com - 2016 McLaren 675LT Coupe (Rp 9.200.000.000). https://www.mobil123.com/dijual/mclaren-675lt-dki-jakarta-setiabudi/8885914.,https://www.mobil123.com/dijual/mclaren-675lt-dki-jakarta-setiabudi/8885914,McLaren,675LT,,2500,Automatic,666,3799 cc,2,2,Pertamax,Hitam,2016,DKI Jakarta,Setiabudi
