display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2018 MINI Cooper 2.0 S Hatchback,I am interested in your car on Mobil123.com - 2018 MINI Cooper 2.0 S Hatchback Nik2018 Red Oranye On Black 2Doors Km19rb Panoramic Sunroof Full Wrnty5Thn #AUTOHIGH #BEST OFFER (Rp 795.000.000). https://www.mobil123.com/dijual/mini-cooper-s-dki-jakarta-pondok-indah/9487175.,https://www.mobil123.com/dijual/mini-cooper-s-dki-jakarta-pondok-indah/9487175,MINI,Cooper,S,19000,Automatic,189,1998 cc,5,5,Pertamax,Orange,2018,DKI Jakarta,Pondok Indah
2020 MINI Cabrio 2.0 John Cooper Works Convertible,"I am interested in your car on Mobil123.com - MINI COOPER JCW CABRIOLET 2020 BLACK ON BLACK
Km.7.000 Antik!! , Stnk Bulan 08 ( NIK.2020 ) (Rp 1.100.000.000). https://www.mobil123.com/dijual/mini-cabrio-john-cooper-works-dki-jakarta-bintaro/10668905.",https://www.mobil123.com/dijual/mini-cabrio-john-cooper-works-dki-jakarta-bintaro/10668905,MINI,Cabrio,John Cooper Works,7000,Automatic,228,1998 cc,2,4,Pertamax,Hitam,2020,DKI Jakarta,Bintaro
2020 MINI Cabrio 2.0 John Cooper Works Convertible,I am interested in your car on Mobil123.com - 2020 MINI Cabrio 2.0 John Cooper Works Convertible Nik2020 Black On Black Km7000 Perfect Cabrio Soft Top Full Wrnty5Thn #AUTOHIGH #BEST OFFER (Rp 1.100.000.000). https://www.mobil123.com/dijual/mini-cabrio-john-cooper-works-dki-jakarta-pondok-indah/10671607.,https://www.mobil123.com/dijual/mini-cabrio-john-cooper-works-dki-jakarta-pondok-indah/10671607,MINI,Cabrio,John Cooper Works,7500,Automatic,228,1998 cc,2,4,Pertamax,Hitam,2020,DKI Jakarta,Pondok Indah
2018 MINI Cooper 2.0 S Hatchback,I am interested in your car on Mobil123.com - 2018 MINI Cooper 2.0 S Hatchback Nik2018 Red Oranye On Black 2Doors Km19rb Panoramic Sunroof Full Wrnty5Thn #AUTOHIGH #BEST OFFER (Rp 795.000.000). https://www.mobil123.com/dijual/mini-cooper-s-dki-jakarta-pondok-indah/9486920.,https://www.mobil123.com/dijual/mini-cooper-s-dki-jakarta-pondok-indah/9486920,MINI,Cooper,S,17500,Automatic,189,1998 cc,3,4,Pertamax,Orange,2018,DKI Jakarta,Pondok Indah
2015 MINI Cooper 2.0 S Hatchback,I am interested in your car on Mobil123.com - 2015 MINI Cooper 2.0 S TURBO 5doors Hatchback 18rb miles Like new Harman kardon 2016 (Rp 575.000.000). https://www.mobil123.com/dijual/mini-cooper-s-dki-jakarta-cengkareng/10649171.,https://www.mobil123.com/dijual/mini-cooper-s-dki-jakarta-cengkareng/10649171,MINI,Cooper,S,17500,Automatic,192,1998 cc,3,4,Pertamax,Orange,2015,DKI Jakarta,Cengkareng
2020 MINI Countryman 2.0 Cooper S SUV,I am interested in your car on Mobil123.com - 2020 MINI Countryman 2.0 Cooper S SUV Nik2020 Blue On Black JCW Package Km10rb Antik Panoramic Sunroof PBD #AUTOHIGH #BEST DEAL (Rp 865.000.000). https://www.mobil123.com/dijual/mini-countryman-cooper-s-dki-jakarta-pondok-indah/8597255.,https://www.mobil123.com/dijual/mini-countryman-cooper-s-dki-jakarta-pondok-indah/8597255,MINI,Countryman,Cooper S,7500,Automatic,192,1998 cc,5,5,Pertamax,Biru,2020,DKI Jakarta,Pondok Indah
2020 MINI Countryman 1.5 Cooper SUV,I am interested in your car on Mobil123.com - 2020 MINI Countryman 1.5 Cooper SUV SUPER LOW KM ANTIK 2 Ribu Perak .. LIKE NEW .. (Rp 680.000.000). https://www.mobil123.com/dijual/mini-countryman-cooper-dki-jakarta-pademangan/10583370.,https://www.mobil123.com/dijual/mini-countryman-cooper-dki-jakarta-pademangan/10583370,MINI,Countryman,Cooper,2500,Automatic,136,1499 cc,5,5,Pertamax,Biru,2020,DKI Jakarta,Pademangan
2010 MINI Cooper 1.6 Hatchback,I am interested in your car on Mobil123.com - 2010 MINI Cooper 1.6 R56 Hatchback (Rp 775.000.000). https://www.mobil123.com/dijual/mini-cooper-dki-jakarta-kebayoran-lama/10117991.,https://www.mobil123.com/dijual/mini-cooper-dki-jakarta-kebayoran-lama/10117991,MINI,Cooper,,22500,Automatic,122,1598 cc,3,4,Pertamax,Hijau,2010,DKI Jakarta,Kebayoran Lama
2009 MINI Cooper 1.6 S Hatchback,I am interested in your car on Mobil123.com - 2009 MINI Cooper 1.6 S Hatchback (Rp 330.000.000). https://www.mobil123.com/dijual/mini-cooper-s-dki-jakarta-kebayoran-lama/8647574.,https://www.mobil123.com/dijual/mini-cooper-s-dki-jakarta-kebayoran-lama/8647574,MINI,Cooper,S,32500,Automatic,184,1598 cc,3,4,Pertamax,Merah,2009,DKI Jakarta,Kebayoran Lama
2017 MINI Countryman 1.5 Cooper SUV,I am interested in your car on Mobil123.com - 2017 MINI Countryman 1.5 Cooper SUV Best Condition (Rp 555.000.000). https://www.mobil123.com/dijual/mini-countryman-cooper-jawa-barat-bekasi/10629206.,https://www.mobil123.com/dijual/mini-countryman-cooper-jawa-barat-bekasi/10629206,MINI,Countryman,Cooper,32500,Automatic,136,1499 cc,5,5,Pertamax,Putih,2017,Jawa Barat,Bekasi
