display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2013 Nissan Grand Livina 1.5 Highway Star MPV,I am interested in your car on Mobil123.com - 2013 Nissan Grand Livina 1.5 Highway Star MPV (Rp 129.000.000). https://www.mobil123.com/dijual/nissan-grand-livina-highway-star-dki-jakarta-kebayoran-baru/10652024.,https://www.mobil123.com/dijual/nissan-grand-livina-highway-star-dki-jakarta-kebayoran-baru/10652024,Nissan,Grand Livina,Highway Star,132500,Automatic,107,1498 cc,5,7,Pertamax,Biru,2013,DKI Jakarta,Kebayoran Baru
2005 Nissan Terrano 2.4 Spirit S3 SUV,"I am interested in your car on Mobil123.com - 2005 Nissan Terrano 2,4 Spirit S3 SUV (Rp 69.000.000). https://www.mobil123.com/dijual/nissan-terrano-spirit-s3-banten-pusat-kota-tangerang/10396560.",https://www.mobil123.com/dijual/nissan-terrano-spirit-s3-banten-pusat-kota-tangerang/10396560,Nissan,Terrano,Spirit S3,220000,Manual,116,2389 cc,5,5,Pertamax,Hitam,2005,Banten,Pusat Kota Tangerang
2012 Nissan Teana 2.5 250XV Sedan,"I am interested in your car on Mobil123.com - 2012 Nissan Teana 2,5 250XV Sedan (Rp 159.000.000). https://www.mobil123.com/dijual/nissan-teana-250xv-banten-pusat-kota-tangerang/10435959.",https://www.mobil123.com/dijual/nissan-teana-250xv-banten-pusat-kota-tangerang/10435959,Nissan,Teana,250XV,80000,Automatic,179,2496 cc,4,5,Pertamax,Hitam,2012,Banten,Pusat Kota Tangerang
2022 Nissan Livina 1.5 VL Wagon,I am interested in your car on Mobil123.com - 2022 Nissan Livina 1.5 VL Wagon Promo Dp Murah 12 juta an Proses Mudah & Cepat (Rp 308.500.000). https://www.mobil123.com/dijual/nissan-livina-vl-dki-jakarta-cengkareng/10648738.,https://www.mobil123.com/dijual/nissan-livina-vl-dki-jakarta-cengkareng/10648738,Nissan,Livina,VL,0,Automatic,103,1499 cc,5,7,Pertamax,Putih,2022,DKI Jakarta,Cengkareng
2010 Nissan Murano 2.5 SUV,I am interested in your car on Mobil123.com - 2010 Nissan Murano 2.5 SUV (Rp 184.000.000). https://www.mobil123.com/dijual/nissan-murano-dki-jakarta-kebayoran-baru/10259982.,https://www.mobil123.com/dijual/nissan-murano-dki-jakarta-kebayoran-baru/10259982,Nissan,Murano,,112500,Automatic,168,2488 cc,5,5,Pertamax,Silver,2010,DKI Jakarta,Kebayoran Baru
2010 Nissan Teana 2.5 250XV Sedan,I am interested in your car on Mobil123.com - 2010 Nissan Teana 2.5 250XV Sedan (Rp 134.000.000). https://www.mobil123.com/dijual/nissan-teana-250xv-dki-jakarta-kebayoran-baru/9626559.,https://www.mobil123.com/dijual/nissan-teana-250xv-dki-jakarta-kebayoran-baru/9626559,Nissan,Teana,250XV,132500,Automatic,179,2496 cc,4,5,Pertamax,Hitam,2010,DKI Jakarta,Kebayoran Baru
2017 Nissan Grand Livina 1.5 XV Highway Star MPV,I am interested in your car on Mobil123.com - 2017 Nissan Grand Livina 1.5 XV Highway Star MPV (Rp 149.000.000). https://www.mobil123.com/dijual/nissan-grand-livina-xv-highway-star-dki-jakarta-kelapa-gading/9605369.,https://www.mobil123.com/dijual/nissan-grand-livina-xv-highway-star-dki-jakarta-kelapa-gading/9605369,Nissan,Grand Livina,XV Highway Star,67500,Automatic,107,1498 cc,5,7,Pertamax,Silver,2017,DKI Jakarta,Kelapa Gading
2014 Nissan Serena 2.0 Highway Star MPV,I am interested in your car on Mobil123.com - 2014 Nissan Serena 2.0 Highway Star MPV Tinggal Pakai Saja (Rp 183.000.000). https://www.mobil123.com/dijual/nissan-serena-highway-star-jawa-timur-bubutan/10705020.,https://www.mobil123.com/dijual/nissan-serena-highway-star-jawa-timur-bubutan/10705020,Nissan,Serena,Highway Star,107500,Automatic,145,1997 cc,5,7,Pertamax,Hitam,2014,Jawa Timur,Bubutan
2018 Nissan March 1.2 Hatchback,I am interested in your car on Mobil123.com - 2018 Nissan March 1.2 Hatchback (Rp 107.000.000). https://www.mobil123.com/dijual/nissan-march-dki-jakarta-joglo/10704730.,https://www.mobil123.com/dijual/nissan-march-dki-jakarta-joglo/10704730,Nissan,March,,32500,Manual,75,1198 cc,5,5,Pertamax,Putih,2018,DKI Jakarta,Joglo
2019 Nissan Livina 1.5 VE Wagon,I am interested in your car on Mobil123.com - 2019 Nissan Livina 1.5 VE Wagon / SY / CKN4000 (Rp 210.000.000). https://www.mobil123.com/dijual/nissan-livina-ve-jawa-barat-lippo-cikarang/10704399.,https://www.mobil123.com/dijual/nissan-livina-ve-jawa-barat-lippo-cikarang/10704399,Nissan,Livina,VE,22500,Automatic,103,1499 cc,5,7,Pertamax,Putih,2019,Jawa Barat,Lippo Cikarang
