display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2002 Opel Blazer 2.2 DOHC SUV,I am interested in your car on Mobil123.com - Collector Item Opel Chevrolet Blazer Sport DOHC in Superr Condition (Rp 94.000.000). https://www.mobil123.com/dijual/opel-blazer-dohc-jawa-tengah-purwodadi/10649431.,https://www.mobil123.com/dijual/opel-blazer-dohc-jawa-tengah-purwodadi/10649431,Opel,Blazer,DOHC,177500,Manual,138,2198 cc,5,7,Pertamax,Hitam,2002,Jawa Tengah,Purwodadi
1997 Opel Blazer 2.2 SUV,I am interested in your car on Mobil123.com - 1997 Opel Blazer 2.2 SUV (Rp 67.000.000). https://www.mobil123.com/dijual/opel-blazer-dki-jakarta-duren-sawit/10558599.,https://www.mobil123.com/dijual/opel-blazer-dki-jakarta-duren-sawit/10558599,Opel,Blazer,,206000,Manual,138,2200 cc,5,7,Pertamax,Putih,1997,DKI Jakarta,Duren Sawit
2000 Opel Blazer 2.2 Montera LN SUV,I am interested in your car on Mobil123.com - 2000 Opel Blazer 2.2 Montera LN SUV (Rp 102.500.000). https://www.mobil123.com/dijual/opel-blazer-montera-ln-jawa-timur-graha-famili/10514197.,https://www.mobil123.com/dijual/opel-blazer-montera-ln-jawa-timur-graha-famili/10514197,Opel,Blazer,Montera LN,105000,Manual,114,2198 cc,5,5,Pertamax,Silver,2000,Jawa Timur,Graha Famili
2001 Opel Blazer 2.2 DOHC LT SUV,I am interested in your car on Mobil123.com - 2001 Opel Blazer 2.2 DOHC LT SUV (Rp 50.000.000). https://www.mobil123.com/dijual/opel-blazer-dohc-lt-jawa-barat-rancasari/10314233.,https://www.mobil123.com/dijual/opel-blazer-dohc-lt-jawa-barat-rancasari/10314233,Opel,Blazer,DOHC LT,270000,Manual,138,2198 cc,5,7,Pertamax,Hitam,2001,Jawa Barat,Rancasari
2000 Opel Blazer 2.2 DOHC SUV,I am interested in your car on Mobil123.com - 2000 Opel Blazer DOHC SUV (Rp 50.000.000). https://www.mobil123.com/dijual/opel-blazer-dohc-jawa-tengah-semarang-timur/10484931.,https://www.mobil123.com/dijual/opel-blazer-dohc-jawa-tengah-semarang-timur/10484931,Opel,Blazer,DOHC,22500,Manual,138,2198 cc,5,7,Pertamax,Silver,2000,Jawa Tengah,Semarang Timur
1996 Opel Blazer 2.2 SUV,I am interested in your car on Mobil123.com - 1996 Opel Blazer 2.2 SUV (Rp 32.000.000). https://www.mobil123.com/dijual/opel-blazer-jawa-barat-bogor-kota/10375147.,https://www.mobil123.com/dijual/opel-blazer-jawa-barat-bogor-kota/10375147,Opel,Blazer,,202500,Manual,138,2198 cc,5,5,Pertamax,Hitam,1996,Jawa Barat,Bogor Kota
1997 Opel Blazer 2.2 SUV,I am interested in your car on Mobil123.com - 1997 Opel Blazer 2.2 SUV (Rp 48.500.000). https://www.mobil123.com/dijual/opel-blazer-jawa-barat-buah-batu/10366387.,https://www.mobil123.com/dijual/opel-blazer-jawa-barat-buah-batu/10366387,Opel,Blazer,,72500,Manual,138,2200 cc,5,7,Pertamax,Silver,1997,Jawa Barat,Buah Batu
1996 Opel Blazer 2.2 SUV,I am interested in your car on Mobil123.com - 1996 Opel Blazer 2.2 SUV (Rp 32.000.000). https://www.mobil123.com/dijual/opel-blazer-jawa-tengah-tembalang/8713135.,https://www.mobil123.com/dijual/opel-blazer-jawa-tengah-tembalang/8713135,Opel,Blazer,,5000000,Manual,138,2198 cc,5,5,Pertamax,Hitam,1996,Jawa Tengah,Tembalang
2000 Opel Blazer 2.2 DOHC LT SUV,I am interested in your car on Mobil123.com - 2000 Opel Blazer DOHC LT SUV (Rp 62.500.000). https://www.mobil123.com/dijual/opel-blazer-dohc-lt-dki-jakarta-pulo-gadung/10264632.,https://www.mobil123.com/dijual/opel-blazer-dohc-lt-dki-jakarta-pulo-gadung/10264632,Opel,Blazer,DOHC LT,167500,Manual,138,2198 cc,5,7,Pertamax,Biru,2000,DKI Jakarta,Pulo Gadung
2002 Opel Blazer 2.2 DOHC LT SUV,I am interested in your car on Mobil123.com - 2002 Opel Blazer DOHC LT SUV (Rp 49.000.000). https://www.mobil123.com/dijual/opel-blazer-dohc-lt-dki-jakarta-cipayung/10248583.,https://www.mobil123.com/dijual/opel-blazer-dohc-lt-dki-jakarta-cipayung/10248583,Opel,Blazer,DOHC LT,122500,Manual,138,2198 cc,5,7,Pertamax,Abu-abu,2002,DKI Jakarta,Cipayung
2000 Opel Blazer 2.2 DOHC LT SUV,I am interested in your car on Mobil123.com - 2000 Opel Blazer 2.2 DOHC LT SUV (Rp 53.000.000). https://www.mobil123.com/dijual/opel-blazer-dohc-lt-banten-pamulang/10131394.,https://www.mobil123.com/dijual/opel-blazer-dohc-lt-banten-pamulang/10131394,Opel,Blazer,DOHC LT,200000,Manual,138,2198 cc,5,7,Pertamax,Coklat,2000,Banten,Pamulang
