display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2018 Peugeot 3008 1.6 GT Line SUV,I am interested in your car on Mobil123.com - Peugeot 3008 1.6 GT LINE AT 2018 Hitam (Rp 465.000.000). https://www.mobil123.com/dijual/peugeot-3008-gt-line-dki-jakarta-kebayoran-lama/10141471.,https://www.mobil123.com/dijual/peugeot-3008-gt-line-dki-jakarta-kebayoran-lama/10141471,Peugeot,3008,GT Line,31250,Automatic,165,1598 cc,5,5,Pertamax,Hitam,2018,DKI Jakarta,Kebayoran Lama
2021 Peugeot 3008 1.6 Allure Plus SUV,I am interested in your car on Mobil123.com - 2021 Peugeot 3008 1.6 Allure Plus SUV (Rp 580.000.000). https://www.mobil123.com/dijual/peugeot-3008-allure-plus-dki-jakarta-mangga-dua/10635752.,https://www.mobil123.com/dijual/peugeot-3008-allure-plus-dki-jakarta-mangga-dua/10635752,Peugeot,3008,Allure Plus,13000,Automatic,165,1598 cc,5,5,Pertamax,Putih,2021,DKI Jakarta,Mangga Dua
2018 Peugeot 3008 1.6 GT Line SUV,I am interested in your car on Mobil123.com - 2018 Peugeot 3008 1.6 GT Line SUV AT Black On Black - LOW MILES 30RIBUAN ASLI ANTIK - PERFECT CONDITION - TANGAN PERTAMA - READY TO USE (Rp 445.000.000). https://www.mobil123.com/dijual/peugeot-3008-gt-line-dki-jakarta-mangga-dua/10152167.,https://www.mobil123.com/dijual/peugeot-3008-gt-line-dki-jakarta-mangga-dua/10152167,Peugeot,3008,GT Line,47500,Automatic,165,1598 cc,5,5,Pertamax,Hitam,2018,DKI Jakarta,Mangga Dua
2018 Peugeot 3008 1.6 GT Line SUV,I am interested in your car on Mobil123.com - 2018 Peugeot 3008 1.6 GT Line SUV (Rp 455.000.000). https://www.mobil123.com/dijual/peugeot-3008-gt-line-dki-jakarta-kebayoran-baru/10636517.,https://www.mobil123.com/dijual/peugeot-3008-gt-line-dki-jakarta-kebayoran-baru/10636517,Peugeot,3008,GT Line,22500,Automatic,165,1598 cc,5,5,Pertamax,Coklat,2018,DKI Jakarta,Kebayoran Baru
2019 Peugeot 5008 1.6 Allure Plus MPV,"I am interested in your car on Mobil123.com - 2019 Peugeot 5008 1.6 Allure Plus MPV odo 20 ribu, kondisi perfect (Rp 580.000.000). https://www.mobil123.com/dijual/peugeot-5008-allure-plus-dki-jakarta-sudirman/10363743.",https://www.mobil123.com/dijual/peugeot-5008-allure-plus-dki-jakarta-sudirman/10363743,Peugeot,5008,Allure Plus,20000,Automatic,162,1598 cc,5,7,Pertamax,Putih,2019,DKI Jakarta,Sudirman
2018 Peugeot 3008 1.6 GT Line SUV,I am interested in your car on Mobil123.com - 2018 Peugeot 3008 1.6 GT Line SUV (Rp 475.000.000). https://www.mobil123.com/dijual/peugeot-3008-gt-line-dki-jakarta-fatmawati/9398165.,https://www.mobil123.com/dijual/peugeot-3008-gt-line-dki-jakarta-fatmawati/9398165,Peugeot,3008,GT Line,22500,Automatic,165,1598 cc,5,5,Pertamax,Coklat,2018,DKI Jakarta,Fatmawati
2018 Peugeot 3008 1.6 GT Line SUV,I am interested in your car on Mobil123.com - 2018 Peugeot 3008 1.6 GT Line SUV hitam 31rb mls pajak panjang tgn pertama dari baru (Rp 445.000.000). https://www.mobil123.com/dijual/peugeot-3008-gt-line-dki-jakarta-mangga-dua/10131676.,https://www.mobil123.com/dijual/peugeot-3008-gt-line-dki-jakarta-mangga-dua/10131676,Peugeot,3008,GT Line,52500,Automatic,165,1598 cc,5,5,Pertamax,Hitam,2018,DKI Jakarta,Mangga Dua
2018 Peugeot 3008 1.6 GT Line SUV,I am interested in your car on Mobil123.com - 2018 Peugeot 3008 1.6 GT Line SUV  AT Black On Black - LOW MILES 30RIBUAN ASLI ANTIK - PERFECT CONDITION - TANGAN PERTAMA - READY TO USE (Rp 445.000.000). https://www.mobil123.com/dijual/peugeot-3008-gt-line-dki-jakarta-pademangan/10143307.,https://www.mobil123.com/dijual/peugeot-3008-gt-line-dki-jakarta-pademangan/10143307,Peugeot,3008,GT Line,47500,Automatic,165,1598 cc,5,5,Pertamax,Hitam,2018,DKI Jakarta,Pademangan
2021 Peugeot 5008 1.6 Active MPV,"I am interested in your car on Mobil123.com - 2021 Peugeot 5008 1,6 Active MPV (Rp 575.000.000). https://www.mobil123.com/dijual/peugeot-5008-active-dki-jakarta-sunter/10006102.",https://www.mobil123.com/dijual/peugeot-5008-active-dki-jakarta-sunter/10006102,Peugeot,5008,Active,2000,Automatic,165,1598 cc,5,7,Pertamax,Putih,2021,DKI Jakarta,Sunter
2021 Peugeot 5008 1.6 Allure Plus MPV,I am interested in your car on Mobil123.com - 2021 Peugeot 5008 1.6 Allure Plus MPV (Rp 658.000.000). https://www.mobil123.com/dijual/peugeot-5008-allure-plus-dki-jakarta-menteng-dalam/10530612.,https://www.mobil123.com/dijual/peugeot-5008-allure-plus-dki-jakarta-menteng-dalam/10530612,Peugeot,5008,Allure Plus,11984,Automatic,165,1598 cc,5,7,Pertamax,Putih,2021,DKI Jakarta,Menteng Dalam
