display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2019 Renault Koleos 2.5 Signature SUV,I am interested in your car on Mobil123.com - 2019 Renault Koleos 2.5 Signature SUV (Rp 340.000.000). https://www.mobil123.com/dijual/renault-koleos-signature-dki-jakarta-kelapa-gading/10677878.,https://www.mobil123.com/dijual/renault-koleos-signature-dki-jakarta-kelapa-gading/10677878,Renault,Koleos,Signature,32500,Automatic,169,2488 cc,5,5,Pertamax,Putih,2019,DKI Jakarta,Kelapa Gading
2019 Renault Koleos 2.5 Signature SUV,I am interested in your car on Mobil123.com - 2019 Renault Koleos 2.5 Signature SUV Full Option Self Parking (Rp 358.000.000). https://www.mobil123.com/dijual/renault-koleos-signature-dki-jakarta-kebayoran-baru/10656746.,https://www.mobil123.com/dijual/renault-koleos-signature-dki-jakarta-kebayoran-baru/10656746,Renault,Koleos,Signature,52500,Automatic,169,2488 cc,5,5,Pertamax,Putih,2019,DKI Jakarta,Kebayoran Baru
2020 Renault Triber 1.0 RXZ Wagon,I am interested in your car on Mobil123.com - 2020 Renault Triber 1.0 RXZ Wagon AT Kuning - LOW KM 10RIBUAN ASLI ANTIK SERVICE RECORD - PREFECT CONDITION - LIKE NEW - TANGAN PERTAMA - READY TO USE (Rp 135.000.000). https://www.mobil123.com/dijual/renault-triber-rxz-dki-jakarta-pademangan/10616649.,https://www.mobil123.com/dijual/renault-triber-rxz-dki-jakarta-pademangan/10616649,Renault,Triber,RXZ,12500,Automatic,71,999 cc,5,7,Pertamax,Kuning,2020,DKI Jakarta,Pademangan
2020 Renault Triber 1.0 RXZ Wagon,I am interested in your car on Mobil123.com - 2020 Renault Triber 1.0 RXZ Wagon AT Kuning - LOW KM 10RIBUAN ASLI ANTIK SERVICE RECORD - PREFECT CONDITION - LIKE NEW - TANGAN PERTAMA - READY TO USE (Rp 135.000.000). https://www.mobil123.com/dijual/renault-triber-rxz-dki-jakarta-pantai-indah-kapuk/10609233.,https://www.mobil123.com/dijual/renault-triber-rxz-dki-jakarta-pantai-indah-kapuk/10609233,Renault,Triber,RXZ,12500,Automatic,71,999 cc,5,7,Pertamax,Kuning,2020,DKI Jakarta,Pantai Indah Kapuk
2020 Renault Triber 1.0 RXZ Wagon,I am interested in your car on Mobil123.com - 2020 Renault Triber 1.0 RXZ Wagon kuning km14rb pajak panjang cash kredit proses bisa dibantu (Rp 135.000.000). https://www.mobil123.com/dijual/renault-triber-rxz-dki-jakarta-mangga-dua/10588367.,https://www.mobil123.com/dijual/renault-triber-rxz-dki-jakarta-mangga-dua/10588367,Renault,Triber,RXZ,12500,Automatic,71,999 cc,5,7,Pertamax,Kuning,2020,DKI Jakarta,Mangga Dua
2019 Renault Koleos 2.5 Signature SUV,I am interested in your car on Mobil123.com - 2019 Renault Koleos 2.5 Signature SUV (Rp 348.000.000). https://www.mobil123.com/dijual/renault-koleos-signature-dki-jakarta-gambir/10552168.,https://www.mobil123.com/dijual/renault-koleos-signature-dki-jakarta-gambir/10552168,Renault,Koleos,Signature,44000,Automatic,169,2488 cc,5,5,Pertamax,Abu-abu,2019,DKI Jakarta,Gambir
2017 Renault Koleos 2.5 SUV,I am interested in your car on Mobil123.com - 2017 Renault Koleos 2.5 SUV Signature Panoramic Sunroof AT Abu - Low KM37rb - RECORD (Rp 289.000.000). https://www.mobil123.com/dijual/renault-koleos-dki-jakarta-mangga-dua/10538816.,https://www.mobil123.com/dijual/renault-koleos-dki-jakarta-mangga-dua/10538816,Renault,Koleos,,37500,Automatic,168,2488 cc,5,5,Pertamax,Abu-abu,2017,DKI Jakarta,Mangga Dua
2019 Renault Kwid 1.0 Climber Hatchback,"I am interested in your car on Mobil123.com - 2019 Renault Kwid 1,0 Climber Hatchback (Rp 128.000.000). https://www.mobil123.com/dijual/renault-kwid-climber-dki-jakarta-pesanggarahan/9990495.",https://www.mobil123.com/dijual/renault-kwid-climber-dki-jakarta-pesanggarahan/9990495,Renault,Kwid,Climber,36000,Automatic,67,999 cc,5,5,Pertamax,Coklat,2019,DKI Jakarta,Pesanggarahan
2019 Renault Koleos 2.5 Signature SUV,I am interested in your car on Mobil123.com - 2019 Renault Koleos 2.5 Signature SUV (Rp 353.000.000). https://www.mobil123.com/dijual/renault-koleos-signature-dki-jakarta-mangga-besar/10501776.,https://www.mobil123.com/dijual/renault-koleos-signature-dki-jakarta-mangga-besar/10501776,Renault,Koleos,Signature,44000,Automatic,169,2488 cc,5,5,Pertamax,Abu-abu,2019,DKI Jakarta,Mangga Besar
2017 Renault Koleos 2.5 SUV,I am interested in your car on Mobil123.com - 2017 Renault Koleos 2.5 SUV abu signature matic cash kredit bisa dibantu (Rp 289.000.000). https://www.mobil123.com/dijual/renault-koleos-dki-jakarta-mangga-dua/10450391.,https://www.mobil123.com/dijual/renault-koleos-dki-jakarta-mangga-dua/10450391,Renault,Koleos,,37500,Automatic,168,2488 cc,5,5,Pertamax,Abu-abu,2017,DKI Jakarta,Mangga Dua
