display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2010 Rolls-Royce Ghost 6.6 V12 6.6 Sedan,I am interested in your car on Mobil123.com - 2010 Rolls-Royce Ghost V12 6.6 Sedan Putih (Rp 5.000.000.000). https://www.mobil123.com/dijual/rolls-royce-ghost-v12-6-6-dki-jakarta-pantai-mutiara/10627823.,https://www.mobil123.com/dijual/rolls-royce-ghost-v12-6-6-dki-jakarta-pantai-mutiara/10627823,Rolls-Royce,Ghost,V12 6.6,47500,Automatic,296,6592 cc,4,4,Pertamax,Putih,2010,DKI Jakarta,Pantai Mutiara
2021 Rolls-Royce Ghost 6.7 Sedan,I am interested in your car on Mobil123.com - 2021 Rolls-Royce Ghost 6.7 Sedan SPECIAL PRICE (Rp 13.000.000.000). https://www.mobil123.com/dijual/rolls-royce-ghost-dki-jakarta-pluit/10556659.,https://www.mobil123.com/dijual/rolls-royce-ghost-dki-jakarta-pluit/10556659,Rolls-Royce,Ghost,,2500,Automatic,563,6749 cc,4,5,Pertamax,Hitam,2021,DKI Jakarta,Pluit
2011 Rolls-Royce Ghost 6.6 V12 Sedan,"I am interested in your car on Mobil123.com - 2011 Rolls-Royce Ghost 6,6 V12 Sedan (Rp 4.950.000.000). https://www.mobil123.com/dijual/rolls-royce-ghost-v12-dki-jakarta-sudirman/10682758.",https://www.mobil123.com/dijual/rolls-royce-ghost-v12-dki-jakarta-sudirman/10682758,Rolls-Royce,Ghost,V12,13000,Automatic,562,6592 cc,4,5,Pertamax,Hitam,2011,DKI Jakarta,Sudirman
2011 Rolls-Royce Ghost 6.6 V12 Sedan,I am interested in your car on Mobil123.com - 2011 Rolls-Royce Ghost 6.6 V12 Sedan (Rp 4.950.000.000). https://www.mobil123.com/dijual/rolls-royce-ghost-v12-dki-jakarta-kebon-jeruk/10623983.,https://www.mobil123.com/dijual/rolls-royce-ghost-v12-dki-jakarta-kebon-jeruk/10623983,Rolls-Royce,Ghost,V12,12500,Automatic,562,6592 cc,4,5,Pertamax,Hitam,2011,DKI Jakarta,Kebon Jeruk
2011 Rolls-Royce Ghost 6.6 V12 Sedan,I am interested in your car on Mobil123.com - 2011 Rolls-Royce Ghost 6.6 V12 Sedan (Rp 4.950.000.000). https://www.mobil123.com/dijual/rolls-royce-ghost-v12-dki-jakarta-cilandak/10115221.,https://www.mobil123.com/dijual/rolls-royce-ghost-v12-dki-jakarta-cilandak/10115221,Rolls-Royce,Ghost,V12,11000,Automatic,562,6592 cc,4,5,Pertamax,Hitam,2011,DKI Jakarta,Cilandak
2012 Rolls-Royce Ghost 6.6 V12 Sedan,I am interested in your car on Mobil123.com - 2012 Rolls-Royce Ghost 6.6 V12 Sedan limited edition 100th anniversary (Rp 5.500.000.000). https://www.mobil123.com/dijual/rolls-royce-ghost-v12-dki-jakarta-kebayoran-lama/10092085.,https://www.mobil123.com/dijual/rolls-royce-ghost-v12-dki-jakarta-kebayoran-lama/10092085,Rolls-Royce,Ghost,V12,17500,Automatic,562,6592 cc,4,5,Pertamax,Hitam,2012,DKI Jakarta,Kebayoran Lama
2011 Rolls-Royce Ghost 6.6 V12 Sedan,I am interested in your car on Mobil123.com - 2011 Rolls-Royce Ghost 6.6 V12 Sedan (Rp 4.950.000.000). https://www.mobil123.com/dijual/rolls-royce-ghost-v12-dki-jakarta-cipete/10108599.,https://www.mobil123.com/dijual/rolls-royce-ghost-v12-dki-jakarta-cipete/10108599,Rolls-Royce,Ghost,V12,12500,Automatic,562,6592 cc,4,5,Pertamax,Abu-abu,2011,DKI Jakarta,Cipete
2021 Rolls-Royce Phantom 6.8 Sedan,I am interested in your car on Mobil123.com - 2021 Rolls Royce Phantom 6.7 (Rp 19.500.000.000). https://www.mobil123.com/dijual/rolls-royce-phantom-dki-jakarta-kebayoran-baru/10044781.,https://www.mobil123.com/dijual/rolls-royce-phantom-dki-jakarta-kebayoran-baru/10044781,Rolls-Royce,Phantom,,2500,Automatic,563,6750 cc,4,5,Pertamax,Hitam,2021,DKI Jakarta,Kebayoran Baru
2011 Rolls-Royce Ghost 6.6 V12 Sedan,I am interested in your car on Mobil123.com - 2011 Rolls-Royce Ghost 6.6 V12 Sedan (Rp 4.950.000.000). https://www.mobil123.com/dijual/rolls-royce-ghost-v12-dki-jakarta-fatmawati/10120725.,https://www.mobil123.com/dijual/rolls-royce-ghost-v12-dki-jakarta-fatmawati/10120725,Rolls-Royce,Ghost,V12,12500,Automatic,562,6592 cc,4,5,Pertamax,Hitam,2011,DKI Jakarta,Fatmawati
2014 Rolls-Royce Phantom 6.7 V12 Sedan,I am interested in your car on Mobil123.com - 2014 Rolls-Royce Phantom 6.7 V12 Sedan Two Tone Color Black/Silver on Cream (Rp 11.000.000.000). https://www.mobil123.com/dijual/rolls-royce-phantom-v12-dki-jakarta-pluit/7835080.,https://www.mobil123.com/dijual/rolls-royce-phantom-v12-dki-jakarta-pluit/7835080,Rolls-Royce,Phantom,V12,2500,Automatic,454,6749 cc,4,5,Pertamax,Hitam,2014,DKI Jakarta,Pluit
