display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2012 Subaru Legacy 2.0 Sedan,I am interested in your car on Mobil123.com - 2012 Subaru Legacy 2.0 Sedan (Rp 195.000.000). https://www.mobil123.com/dijual/subaru-legacy-dki-jakarta-cilandak/10398776.,https://www.mobil123.com/dijual/subaru-legacy-dki-jakarta-cilandak/10398776,Subaru,Legacy,,27500,Automatic,149,1994 cc,4,5,Pertamax,Putih,2012,DKI Jakarta,Cilandak
2013 Subaru Forester 2.0 2.0XT SUV,I am interested in your car on Mobil123.com - Subaru Forester 2.0 XT CVT 2013 Hitam TDP 72jt Kondisi Mobil Istimewa Bergaransi dan Dijamin Siap Pakai (Rp 240.000.000). https://www.mobil123.com/dijual/subaru-forester-2-0xt-banten-gading-serpong/10676867.,https://www.mobil123.com/dijual/subaru-forester-2-0xt-banten-gading-serpong/10676867,Subaru,Forester,2.0XT,78000,Automatic,240,1998 cc,5,5,Pertamax,Hitam,2013,Banten,Gading Serpong
2013 Subaru XV 2.0 Sports SUV,I am interested in your car on Mobil123.com - KM40rb!! Subaru XV AWD 2013 Perfect Condition (Rp 175.000.000). https://www.mobil123.com/dijual/subaru-xv-sports-jawa-tengah-semarang/10505190.,https://www.mobil123.com/dijual/subaru-xv-sports-jawa-tengah-semarang/10505190,Subaru,XV,Sports,45000,Automatic,150,1995 cc,5,5,Pertamax,Abu-abu,2013,Jawa Tengah,Semarang
2012 Subaru Forester 2.0 X SUV,"I am interested in your car on Mobil123.com - 2012 Subaru Forester 2,0 X SUV (Rp 148.000.000). https://www.mobil123.com/dijual/subaru-forester-x-dki-jakarta-menteng/10607931.",https://www.mobil123.com/dijual/subaru-forester-x-dki-jakarta-menteng/10607931,Subaru,Forester,X,113000,Automatic,148,1994 cc,5,5,Pertamax,Silver,2012,DKI Jakarta,Menteng
2013 Subaru Impreza 2.0 2.0i-S Sedan,I am interested in your car on Mobil123.com - 2013 Subaru Impreza 2.0 2.0i-S Sedan (Rp 495.000.000). https://www.mobil123.com/dijual/subaru-impreza-2-0i-s-dki-jakarta-sunter/9393148.,https://www.mobil123.com/dijual/subaru-impreza-2-0i-s-dki-jakarta-sunter/9393148,Subaru,Impreza,2.0i-S,32500,Automatic,149,1995 cc,4,5,Pertamax,Putih,2013,DKI Jakarta,Sunter
2013 Subaru XV 2.0 Sports SUV,"I am interested in your car on Mobil123.com - 2013 Subaru XV 2,0 Sports SUV (Rp 164.000.000). https://www.mobil123.com/dijual/subaru-xv-sports-jawa-barat-sumurbandung/10451933.",https://www.mobil123.com/dijual/subaru-xv-sports-jawa-barat-sumurbandung/10451933,Subaru,XV,Sports,97000,Automatic,150,1995 cc,5,5,Pertamax,Putih,2013,Jawa Barat,Sumurbandung
2011 Subaru WRX STi 2.5 Sedan,I am interested in your car on Mobil123.com - 2011 Subaru WRX STi 2.5 Sedan Full Stock & Full Original with Mods and Coating (Rp 535.000.000). https://www.mobil123.com/dijual/subaru-wrx-sti-yogyakarta-yogyakarta/10418149.,https://www.mobil123.com/dijual/subaru-wrx-sti-yogyakarta-yogyakarta/10418149,Subaru,WRX STi,,32500,Manual,296,2457 cc,4,5,Pertamax,Abu-abu,2011,Yogyakarta,Yogyakarta
2010 Subaru Legacy 2.0 Sedan,I am interested in your car on Mobil123.com - 2010 Subaru Legacy 2.0 2.0 A/T Sedan (Rp 159.000.000). https://www.mobil123.com/dijual/subaru-legacy-dki-jakarta-mangga-dua/9637234.,https://www.mobil123.com/dijual/subaru-legacy-dki-jakarta-mangga-dua/9637234,Subaru,Legacy,,80000,Automatic,149,1994 cc,4,5,Pertamax,Biru,2010,DKI Jakarta,Mangga Dua
2013 Subaru XV 2.0 Premium SUV,I am interested in your car on Mobil123.com - 2013 Subaru XV 2.0 Premium SUV (Rp 157.000.000). https://www.mobil123.com/dijual/subaru-xv-premium-dki-jakarta-kelapa-gading-barat/10681071.,https://www.mobil123.com/dijual/subaru-xv-premium-dki-jakarta-kelapa-gading-barat/10681071,Subaru,XV,Premium,147260,Automatic,150,1995 cc,5,5,Pertamax,Hitam,2013,DKI Jakarta,Kelapa Gading Barat
2013 Subaru BRZ 2.0 A/T Coupe,"I am interested in your car on Mobil123.com - 2013/ 2014 Subaru BRZ 2.0 A/T Coupe, Garansi Mobil Sampai May 2023 (Rp 485.000.000). https://www.mobil123.com/dijual/subaru-brz-a-t-banten-alam-sutera/10612988.",https://www.mobil123.com/dijual/subaru-brz-a-t-banten-alam-sutera/10612988,Subaru,BRZ,A/T,36000,Automatic,200,1998 cc,2,4,Pertamax,Biru,2013,Banten,Alam Sutera
