display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2012 Volkswagen Golf 2.0 GTi Hatchback,I am interested in your car on Mobil123.com - 2012 Volkswagen Golf 2.0 GTi Hatchback AT Mk6 Low KM 70Rban PJK 09-23 Plat Ganjil Dp Minim NEGO (Rp 328.000.000). https://www.mobil123.com/dijual/volkswagen-golf-gti-dki-jakarta-sunter/10460980.,https://www.mobil123.com/dijual/volkswagen-golf-gti-dki-jakarta-sunter/10460980,Volkswagen,Golf,GTi,72500,Automatic,208,1984 cc,5,5,Pertamax,Putih,2012,DKI Jakarta,Sunter
2017 Volkswagen Polo 1.2 Highline TSI Hatchback,I am interested in your car on Mobil123.com - 2017 Volkswagen Polo 1.2 Highline TSI Hatchback TOTAL DP 85JT White On Black Km Super Low Jok Suede Original Service Record ATPM HARGA NEGO BANYAK (Rp 205.000.000). https://www.mobil123.com/dijual/volkswagen-polo-highline-tsi-dki-jakarta-pondok-indah/10461778.,https://www.mobil123.com/dijual/volkswagen-polo-highline-tsi-dki-jakarta-pondok-indah/10461778,Volkswagen,Polo,Highline TSI,37500,Automatic,105,1197 cc,5,5,Pertamax,Putih,2017,DKI Jakarta,Pondok Indah
2014 Volkswagen Golf 1.4 TSI Hatchback,I am interested in your car on Mobil123.com - 2014 Volkswagen Golf 1.4 TSI Hatchback (Rp 231.000.000). https://www.mobil123.com/dijual/volkswagen-golf-tsi-dki-jakarta-asemka/10482948.,https://www.mobil123.com/dijual/volkswagen-golf-tsi-dki-jakarta-asemka/10482948,Volkswagen,Golf,TSI,57500,Automatic,140,1395 cc,5,5,Pertamax,Silver,2014,DKI Jakarta,Asemka
2013 Volkswagen Tiguan 1.4 TSI SUV,"I am interested in your car on Mobil123.com - 2013 Volkswagen Tiguan 1,4 TSI SUV (Rp 185.000.000). https://www.mobil123.com/dijual/volkswagen-tiguan-tsi-dki-jakarta-pondok-indah/10477318.",https://www.mobil123.com/dijual/volkswagen-tiguan-tsi-dki-jakarta-pondok-indah/10477318,Volkswagen,Tiguan,TSI,52000,Automatic,150,1390 cc,5,5,Pertamax,Hitam,2013,DKI Jakarta,Pondok Indah
2017 Volkswagen Polo 1.2 Highline TSI Hatchback,I am interested in your car on Mobil123.com - 2017 Volkswagen Polo 1.2 Highline TSI Hatchback (Rp 195.000.000). https://www.mobil123.com/dijual/volkswagen-polo-highline-tsi-dki-jakarta-cilandak/10478715.,https://www.mobil123.com/dijual/volkswagen-polo-highline-tsi-dki-jakarta-cilandak/10478715,Volkswagen,Polo,Highline TSI,107500,Automatic,105,1197 cc,5,5,Pertamax,Hitam,2017,DKI Jakarta,Cilandak
2017 Volkswagen Polo 1.2 Highline TSI Hatchback,I am interested in your car on Mobil123.com - 2017 Volkswagen Polo 1.2 Highline TSI Hatchback (Rp 195.000.000). https://www.mobil123.com/dijual/volkswagen-polo-highline-tsi-dki-jakarta-grogol/10478677.,https://www.mobil123.com/dijual/volkswagen-polo-highline-tsi-dki-jakarta-grogol/10478677,Volkswagen,Polo,Highline TSI,107500,Automatic,105,1197 cc,5,5,Pertamax,Hitam,2017,DKI Jakarta,Grogol
2017 Volkswagen Polo 1.2 Highline TSI Hatchback,I am interested in your car on Mobil123.com - 2017 Volkswagen Polo 1.2 Highline TSI Hatchback (Rp 195.000.000). https://www.mobil123.com/dijual/volkswagen-polo-highline-tsi-dki-jakarta-karang-anyar/10478658.,https://www.mobil123.com/dijual/volkswagen-polo-highline-tsi-dki-jakarta-karang-anyar/10478658,Volkswagen,Polo,Highline TSI,107500,Automatic,105,1197 cc,5,5,Pertamax,Hitam,2017,DKI Jakarta,Karang Anyar
2012 Volkswagen Golf 2.0 GTi Hatchback,I am interested in your car on Mobil123.com - 2012 Volkswagen Golf 2.0 GTi Hatchback AT KM Low 70Rban PJK 09-23 Bisa DP Minim NEGO (Rp 328.000.000). https://www.mobil123.com/dijual/volkswagen-golf-gti-dki-jakarta-kalimalang/10461021.,https://www.mobil123.com/dijual/volkswagen-golf-gti-dki-jakarta-kalimalang/10461021,Volkswagen,Golf,GTi,72500,Automatic,208,1984 cc,5,5,Pertamax,Putih,2012,DKI Jakarta,Kalimalang
2017 Volkswagen Polo 1.2 Highline TSI Hatchback,I am interested in your car on Mobil123.com - 2017 Volkswagen Polo 1.2 Highline TSI Hatchback TOTAL DP 85JT White On Black Km Super Low Jok Suede Original Service Record ATPM HARGA NEGO BANYAK (Rp 205.000.000). https://www.mobil123.com/dijual/volkswagen-polo-highline-tsi-dki-jakarta-pondok-indah/10461779.,https://www.mobil123.com/dijual/volkswagen-polo-highline-tsi-dki-jakarta-pondok-indah/10461779,Volkswagen,Polo,Highline TSI,37500,Automatic,105,1197 cc,5,5,Pertamax,Putih,2017,DKI Jakarta,Pondok Indah
2017 Volkswagen Polo 1.2 Comfortline TSI Hatchback,I am interested in your car on Mobil123.com - 2017 Volkswagen Polo 1.2 Comfortline TSI Hatchback (Rp 195.000.000). https://www.mobil123.com/dijual/volkswagen-polo-comfortline-tsi-jawa-barat-bogor-kota/10181718.,https://www.mobil123.com/dijual/volkswagen-polo-comfortline-tsi-jawa-barat-bogor-kota/10181718,Volkswagen,Polo,Comfortline TSI,57500,Automatic,105,1197 cc,5,5,Pertamax,Hitam,2017,Jawa Barat,Bogor Kota
