display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2012 Audi Q3 2.0 2.0 TFSI SUV,I am interested in your car on Mobil123.com - 2012 Audi Q3 2.0 2.0 TFSI SUV Nik2012 Facelift Black On Black Panoramic Sunroof Km40rb Record #AUTOHIGH #BEST DEAL (Rp 325.000.000). https://www.mobil123.com/dijual/audi-q3-2-0-tfsi-dki-jakarta-pondok-indah/9002127.,https://www.mobil123.com/dijual/audi-q3-2-0-tfsi-dki-jakarta-pondok-indah/9002127,Audi,Q3,2.0 TFSI,40000,Automatic,208,1984 cc,5,5,Pertamax,Hitam,2012,DKI Jakarta,Pondok Indah
2015 Audi A4 1.8 1.8 TFSI PI Sedan,I am interested in your car on Mobil123.com - 2015 Audi A4 1.8 1.8 TFSI PI Sedan (Rp 298.000.000). https://www.mobil123.com/dijual/audi-a4-1-8-tfsi-pi-dki-jakarta-pademangan/10560534.,https://www.mobil123.com/dijual/audi-a4-1-8-tfsi-pi-dki-jakarta-pademangan/10560534,Audi,A4,1.8 TFSI PI,22500,Automatic,170,1798 cc,4,5,Pertamax,Putih,2015,DKI Jakarta,Pademangan
2008 Audi A4 1.8 Sedan,I am interested in your car on Mobil123.com - 2008 Audi A4 Sedan  (Rp 160.000.000). https://www.mobil123.com/dijual/audi-a4-jawa-barat-cinere/10615939.,https://www.mobil123.com/dijual/audi-a4-jawa-barat-cinere/10615939,Audi,A4,,107500,Automatic,158,1798 cc,4,5,Pertamax,Abu-abu,2008,Jawa Barat,Cinere
2013 Audi A4 1.8 1.8 TFSI PI Sedan,I am interested in your car on Mobil123.com - 2013 Audi A4 1.8 1.8 TFSI PI Sedan (Rp 229.000.000). https://www.mobil123.com/dijual/audi-a4-1-8-tfsi-pi-jawa-barat-bekasi/10527073.,https://www.mobil123.com/dijual/audi-a4-1-8-tfsi-pi-jawa-barat-bekasi/10527073,Audi,A4,1.8 TFSI PI,72500,Automatic,170,1798 cc,4,5,Pertamax,Putih,2013,Jawa Barat,Bekasi
2011 Audi A4 1.8 Sedan,"I am interested in your car on Mobil123.com - 2011 Audi A4 1,8 Base Spec Sedan (Rp 179.000.000). https://www.mobil123.com/dijual/audi-a4-jawa-barat-pondok-gede/10331323.",https://www.mobil123.com/dijual/audi-a4-jawa-barat-pondok-gede/10331323,Audi,A4,,130000,Automatic,158,1798 cc,4,5,Pertamax,Hitam,2011,Jawa Barat,Pondok Gede
2017 Audi A5 2.0 TFSI Coupe,I am interested in your car on Mobil123.com - KM 22 RIBU!! Audi A5 2.0 Quattro Coupe TFSI AT 2017 Hitam (Rp 925.000.000). https://www.mobil123.com/dijual/audi-a5-tfsi-dki-jakarta-tebet/10384522.,https://www.mobil123.com/dijual/audi-a5-tfsi-dki-jakarta-tebet/10384522,Audi,A5,TFSI,22857,Automatic,248,1984 cc,2,4,Pertamax,Hitam,2017,DKI Jakarta,Tebet
2013 Audi A4 1.8 1.8 TFSI PI Sedan,I am interested in your car on Mobil123.com - 2013 Audi A4 1.8 1.8 TFSI PI Sedan (Rp 229.000.000). https://www.mobil123.com/dijual/audi-a4-1-8-tfsi-pi-banten-tangerang/10527068.,https://www.mobil123.com/dijual/audi-a4-1-8-tfsi-pi-banten-tangerang/10527068,Audi,A4,1.8 TFSI PI,72500,Automatic,170,1798 cc,4,5,Pertamax,Putih,2013,Banten,Tangerang
2011 Audi A4 1.8 Sedan,"I am interested in your car on Mobil123.com - 2011 Audi A4 1,8 Base Spec Sedan (Rp 179.000.000). https://www.mobil123.com/dijual/audi-a4-banten-pusat-kota-tangerang/10331322.",https://www.mobil123.com/dijual/audi-a4-banten-pusat-kota-tangerang/10331322,Audi,A4,,130000,Automatic,158,1798 cc,4,5,Pertamax,Hitam,2011,Banten,Pusat Kota Tangerang
2011 Audi Q5 2.0 TFSI SUV,I am interested in your car on Mobil123.com - 2011 Audi Q5 2.0 TFSI SUV (Rp 225.000.000). https://www.mobil123.com/dijual/audi-q5-tfsi-dki-jakarta-kebon-jeruk/9292958.,https://www.mobil123.com/dijual/audi-q5-tfsi-dki-jakarta-kebon-jeruk/9292958,Audi,Q5,TFSI,72500,Automatic,208,1984 cc,5,5,Pertamax,Abu-abu,2011,DKI Jakarta,Kebon Jeruk
2017 Audi A5 2.0 TFSI Coupe,I am interested in your car on Mobil123.com - 2017 Audi A5 2.0 TFSI Coupe Black On Black - VERY LOW KM 20RIBUAN ASLI SUPER ANTIK - PERFECT CONDITION - READY TO USE (Rp 925.000.000). https://www.mobil123.com/dijual/audi-a5-tfsi-dki-jakarta-mangga-dua/10348225.,https://www.mobil123.com/dijual/audi-a5-tfsi-dki-jakarta-mangga-dua/10348225,Audi,A5,TFSI,22500,Automatic,248,1984 cc,2,4,Pertamax,Hitam,2017,DKI Jakarta,Mangga Dua
2018 Audi Q5 2.0 TFSI SUV,I am interested in your car on Mobil123.com - 2018 Audi Q5 2.0 TFSI SUV (Rp 892.000.000). https://www.mobil123.com/dijual/audi-q5-tfsi-banten-alam-sutera/10690426.,https://www.mobil123.com/dijual/audi-q5-tfsi-banten-alam-sutera/10690426,Audi,Q5,TFSI,2500,Automatic,252,1984 cc,5,5,Pertamax,Hitam,2018,Banten,Alam Sutera
2011 Audi A4 1.8 Sedan,I am interested in your car on Mobil123.com - 2011 Audi A4 1.8 Sedan (Rp 179.000.000). https://www.mobil123.com/dijual/audi-a4-dki-jakarta-kebayoran-baru/10328037.,https://www.mobil123.com/dijual/audi-a4-dki-jakarta-kebayoran-baru/10328037,Audi,A4,,132500,Automatic,158,1798 cc,4,5,Pertamax,Hitam,2011,DKI Jakarta,Kebayoran Baru
