display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2015 BMW X1 2.0 sDrive18i Sport Edition SUV,"I am interested in your car on Mobil123.com - 2015 BMW X1 2.0 sDrive18i Sport Edition SUV Garansi Up To 1 Thn,Sertifikat BEBAS Tabrak & Banjir by Otospector, TDP Mulai 40jt, Autobahn.id BSD (Rp 348.000.000). https://www.mobil123.com/dijual/bmw-x1-sdrive18i-sport-edition-dki-jakarta-pondok-indah/9974222.",https://www.mobil123.com/dijual/bmw-x1-sdrive18i-sport-edition-dki-jakarta-pondok-indah/9974222,BMW,X1,sDrive18i Sport Edition,42500,Automatic,150,1995 cc,5,5,Pertamax,Putih,2015,DKI Jakarta,Pondok Indah
2019 BMW 520i 2.0 Luxury Sedan,I am interested in your car on Mobil123.com - 2019 BMW 520i 2.0 Luxury Sedan Nik2019 Black On Black Km19rb Sunroof PBD Extended Wrnty5Thn #AUTOHIGH #BEST OFFER (Rp 865.000.000). https://www.mobil123.com/dijual/bmw-520i-luxury-dki-jakarta-pondok-indah/8653832.,https://www.mobil123.com/dijual/bmw-520i-luxury-dki-jakarta-pondok-indah/8653832,BMW,520i,Luxury,21000,Automatic,184,1998 cc,4,5,Pertamax,Hitam,2019,DKI Jakarta,Pondok Indah
2021 BMW X5 3.0 xDrive40i xLine SUV,I am interested in your car on Mobil123.com - 2021 BMW X5 3.0 xDrive40i xLine SUV Reg.2022 White On Saddle Brown Km10rb Panoramic Sunroof 3Rows Seater Wrnty5Thn #AUTOHIGH #BEST OFFER (Rp 1.720.000.000). https://www.mobil123.com/dijual/bmw-x5-xdrive40i-xline-dki-jakarta-pondok-indah/10353143.,https://www.mobil123.com/dijual/bmw-x5-xdrive40i-xline-dki-jakarta-pondok-indah/10353143,BMW,X5,xDrive40i xLine,14000,Automatic,335,2998 cc,5,5,Pertamax,Putih,2021,DKI Jakarta,Pondok Indah
2015 BMW 520i 2.0 Luxury Sedan,I am interested in your car on Mobil123.com - 2015 BMW 520i 2.0 Luxury Sedan (Rp 440.000.000). https://www.mobil123.com/dijual/bmw-520i-luxury-dki-jakarta-ancol/10442649.,https://www.mobil123.com/dijual/bmw-520i-luxury-dki-jakarta-ancol/10442649,BMW,520i,Luxury,62500,Automatic,184,1997 cc,4,5,Pertamax,Coklat,2015,DKI Jakarta,Ancol
2019 BMW 330i 2.0 M Sport Sedan,I am interested in your car on Mobil123.com - 2019 BMW 330i 2.0 M Sport Sedan (Rp 901.000.000). https://www.mobil123.com/dijual/bmw-330i-m-sport-banten-bsd/10698227.,https://www.mobil123.com/dijual/bmw-330i-m-sport-banten-bsd/10698227,BMW,330i,M Sport,17500,Automatic,252,1998 cc,4,5,Pertamax,Hitam,2019,Banten,BSD
2021 BMW 320i 2.0 Touring M Sport Wagon,I am interested in your car on Mobil123.com - 2021 BMW 320i 2.0 Touring M Sport Wagon (Rp 1.400.000.000). https://www.mobil123.com/dijual/bmw-320i-touring-m-sport-dki-jakarta-kelapa-gading/9671085.,https://www.mobil123.com/dijual/bmw-320i-touring-m-sport-dki-jakarta-kelapa-gading/9671085,BMW,320i,Touring M Sport,2500,Automatic,181,1998 cc,5,5,Pertamax,Biru,2021,DKI Jakarta,Kelapa Gading
2018 BMW 320i 2.0 Sport Sedan,I am interested in your car on Mobil123.com - 2018 BMW 320i 2.0 Sport Sedan (Rp 575.000.000). https://www.mobil123.com/dijual/bmw-320i-sport-banten-bsd/10698207.,https://www.mobil123.com/dijual/bmw-320i-sport-banten-bsd/10698207,BMW,320i,Sport,22500,Automatic,184,1998 cc,4,5,Pertamax,Hitam,2018,Banten,BSD
2017 BMW X1 1.5 sDrive18i SUV,I am interested in your car on Mobil123.com - 2017 BMW X1 1.5 sDrive18i SUV (Rp 520.000.000). https://www.mobil123.com/dijual/bmw-x1-sdrive18i-banten-gading-serpong/10698187.,https://www.mobil123.com/dijual/bmw-x1-sdrive18i-banten-gading-serpong/10698187,BMW,X1,sDrive18i,42500,Automatic,136,1499 cc,5,5,Pertamax,Hitam,2017,Banten,Gading Serpong
2016 BMW 740Li 3.0 Pure Excellence Sedan,I am interested in your car on Mobil123.com - 2016 BMW 740Li 3.0 Pure Excellence Sedan (Rp 1.000.000.000). https://www.mobil123.com/dijual/bmw-740li-pure-excellence-dki-jakarta-kelapa-gading/9887537.,https://www.mobil123.com/dijual/bmw-740li-pure-excellence-dki-jakarta-kelapa-gading/9887537,BMW,740Li,Pure Excellence,12500,Automatic,326,2998 cc,4,5,Pertamax,Hitam,2016,DKI Jakarta,Kelapa Gading
2015 BMW X5 3.0 xDrive35i xLine SUV,I am interested in your car on Mobil123.com - 2015 BMW X5 3.0 xDrive35i xLine SUV (Rp 600.000.000). https://www.mobil123.com/dijual/bmw-x5-xdrive35i-xline-dki-jakarta-kelapa-gading/10020472.,https://www.mobil123.com/dijual/bmw-x5-xdrive35i-xline-dki-jakarta-kelapa-gading/10020472,BMW,X5,xDrive35i xLine,52500,Automatic,302,2979 cc,5,5,Pertamax,Hitam,2015,DKI Jakarta,Kelapa Gading
