display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2010 Cadillac Escalade 6.2 Platinum SUV,I am interested in your car on Mobil123.com - Escalade Cadillac th 2010 km 20rb (Rp 1.100.000.000). https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-duren-sawit/9284510.,https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-duren-sawit/9284510,Cadillac,Escalade,Platinum,26000,Automatic,403,6162 cc,5,7,Pertamax,Hitam,2010,DKI Jakarta,Duren Sawit
2009 Cadillac Escalade 6.2 SUV,I am interested in your car on Mobil123.com - Cadillac Escalade th 2012 Nik 2009 Km 50rb (Rp 877.000.000). https://www.mobil123.com/dijual/cadillac-escalade-dki-jakarta-kebayoran-baru/10150948.,https://www.mobil123.com/dijual/cadillac-escalade-dki-jakarta-kebayoran-baru/10150948,Cadillac,Escalade,,50000,Automatic,403,6162 cc,5,7,Pertamax,Putih,2009,DKI Jakarta,Kebayoran Baru
2012 Cadillac Escalade 6.2 Platinum SUV,I am interested in your car on Mobil123.com - 2012 Cadillac Escalade 6.2 Platinum SUV (Rp 1.225.000.000). https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-gambir/8122245.,https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-gambir/8122245,Cadillac,Escalade,Platinum,13000,Automatic,403,6162 cc,5,7,Pertamax,Hitam,2012,DKI Jakarta,Gambir
2013 Cadillac Escalade 6.2 Platinum SUV,I am interested in your car on Mobil123.com - 2013 Cadillac Escalade 6.2 Platinum SUV (Rp 995.000.000). https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-sunter/8953368.,https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-sunter/8953368,Cadillac,Escalade,Platinum,25965,Automatic,403,6162 cc,5,7,Pertamax,Hitam,2013,DKI Jakarta,Sunter
2010 Cadillac Escalade 6.2 SUV,I am interested in your car on Mobil123.com - Escalade Cadillac 2014 Nik 2010 Km 20rb (Rp 1.170.000.000). https://www.mobil123.com/dijual/cadillac-escalade-dki-jakarta-kebayoran-baru/9022826.,https://www.mobil123.com/dijual/cadillac-escalade-dki-jakarta-kebayoran-baru/9022826,Cadillac,Escalade,,27000,Automatic,403,6162 cc,5,7,Pertamax,Hitam,2010,DKI Jakarta,Kebayoran Baru
2013 Cadillac Escalade 6.2 Platinum SUV,I am interested in your car on Mobil123.com - 2013 Cadillac Escalade 6.2 Platinum SUV (Rp 995.000.000). https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-kelapa-gading/10606322.,https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-kelapa-gading/10606322,Cadillac,Escalade,Platinum,37500,Automatic,403,6162 cc,5,7,Pertamax,Hitam,2013,DKI Jakarta,Kelapa Gading
2021 Cadillac Escalade 6.2 Platinum SUV,I am interested in your car on Mobil123.com - 2021 Cadillac Escaladeplatinum 6.2 (Rp 7.500.000.000). https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-pluit/8323842.,https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-pluit/8323842,Cadillac,Escalade,Platinum,2500,Automatic,420,6162 cc,5,7,Pertamax,Hitam,2021,DKI Jakarta,Pluit
2011 Cadillac Escalade 6.2 Platinum SUV,I am interested in your car on Mobil123.com - 2011 Cadillac Escalade 6.2 Platinum SUV SPECIAL PRICE (Rp 1.200.000.000). https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-pluit/8654363.,https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-pluit/8654363,Cadillac,Escalade,Platinum,132500,Automatic,403,6162 cc,5,7,Pertamax,Hitam,2011,DKI Jakarta,Pluit
2021 Cadillac Escalade 6.2 Platinum SUV,I am interested in your car on Mobil123.com - 2021 Cadillac Escalade 6.2 Platinum SUV SPECIAL PRICE (Rp 7.500.000.000). https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-pluit/8773261.,https://www.mobil123.com/dijual/cadillac-escalade-platinum-dki-jakarta-pluit/8773261,Cadillac,Escalade,Platinum,2500,Automatic,420,6162 cc,5,7,Pertamax,Hitam,2021,DKI Jakarta,Pluit
2009 Cadillac Escalade 6.2 SUV,I am interested in your car on Mobil123.com - 2009 Cadillac Escalade 6.2 SUV (Rp 675.000.000). https://www.mobil123.com/dijual/cadillac-escalade-dki-jakarta-kelapa-gading/9664957.,https://www.mobil123.com/dijual/cadillac-escalade-dki-jakarta-kelapa-gading/9664957,Cadillac,Escalade,,47500,Automatic,403,6162 cc,5,7,Pertamax,Hitam,2009,DKI Jakarta,Kelapa Gading
