display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2016 Datsun GO+ 1.2 T-STYLE MPV,I am interested in your car on Mobil123.com - 2016 Datsun GO+ 1.2 T-STYLE MPV TDP 5 Juta (Rp 70.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-style-dki-jakarta-batu-tulis/10696751.,https://www.mobil123.com/dijual/datsun-go%2B-t-style-dki-jakarta-batu-tulis/10696751,Datsun,GO+,T-STYLE,122500,Manual,67,1198 cc,5,7,Pertamax,Putih,2016,DKI Jakarta,Batu Tulis
2018 Datsun Cross 1.2 Wagon,I am interested in your car on Mobil123.com - 2018 Datsun Cross 1.2 Wagon Matic KM 38Rb SUPER ANTIK (Rp 120.000.000). https://www.mobil123.com/dijual/datsun-cross-jawa-timur-wonokromo/10695319.,https://www.mobil123.com/dijual/datsun-cross-jawa-timur-wonokromo/10695319,Datsun,Cross,,32500,Automatic,76,1198 cc,5,7,Pertamax,Kuning,2018,Jawa Timur,Wonokromo
2016 Datsun GO 1.2 T Hatchback,I am interested in your car on Mobil123.com - Datsun GO  (Rp 85.000.000). https://www.mobil123.com/dijual/datsun-go-t-dki-jakarta-kebayoran-lama/10692694.,https://www.mobil123.com/dijual/datsun-go-t-dki-jakarta-kebayoran-lama/10692694,Datsun,GO,T,26977,Manual,67,1198 cc,5,5,Pertamax,Hijau,2016,DKI Jakarta,Kebayoran Lama
2020 Datsun GO 1.2 A Hatchback,I am interested in your car on Mobil123.com - 2020 Datsun GO 1.2 A Hatchback (Rp 105.000.000). https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-blimbing/10531920?carsome=true.,https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-blimbing/10531920?carsome=true,Datsun,GO,A,2500,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2020,Jawa Timur,Blimbing
2014 Datsun GO+ 1.2 T-OPTION MPV,I am interested in your car on Mobil123.com - 2014 Datsun GO+ 1.2 T-OPTION MPV KM50RB ASLI RECORD JOK 3 BARIS 7 SEATER FULL ORISINIL ELECTRIC MIRROR VELG RACING DIJAMIN BAGUS JARANG ADA SIAP PAKAI (Rp 72.500.000). https://www.mobil123.com/dijual/datsun-go%2B-t-option-dki-jakarta-halim-perdana-kusuma/10546185.,https://www.mobil123.com/dijual/datsun-go%2B-t-option-dki-jakarta-halim-perdana-kusuma/10546185,Datsun,GO+,T-OPTION,52500,Manual,67,1198 cc,5,7,Pertamax,Silver,2014,DKI Jakarta,Halim Perdana Kusuma
2017 Datsun GO+ 1.2 T-OPTION MPV,I am interested in your car on Mobil123.com - 2017 Datsun GO+ 1.2 T-OPTION MPV (Rp 95.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-option-jawa-timur-gubeng/10689764.,https://www.mobil123.com/dijual/datsun-go%2B-t-option-jawa-timur-gubeng/10689764,Datsun,GO+,T-OPTION,47500,Manual,67,1198 cc,5,7,Pertamax,Putih,2017,Jawa Timur,Gubeng
2020 Datsun GO 1.2 A Hatchback,"I am interested in your car on Mobil123.com - 2020 Datsun GO 1,2 A Hatchback Mt Istimewa Antik (Rp 105.000.000). https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-kaliwates/10573085.",https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-kaliwates/10573085,Datsun,GO,A,4000,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2020,Jawa Timur,Kaliwates
2018 Datsun Cross 1.2 Wagon,I am interested in your car on Mobil123.com - 2018 Datsun Cross 1.2 Wagon KM RENDA 35RIBU *TDP 20JUTA* (Rp 120.000.000). https://www.mobil123.com/dijual/datsun-cross-jawa-timur-citraland-citra-raya/10687298.,https://www.mobil123.com/dijual/datsun-cross-jawa-timur-citraland-citra-raya/10687298,Datsun,Cross,,32500,Automatic,76,1198 cc,5,7,Pertamax,Kuning,2018,Jawa Timur,Citraland Citra Raya
2017 Datsun GO+ 1.2 T MPV,"I am interested in your car on Mobil123.com - 2017 Datsun GO+ 1,2 T MPV (Rp 75.900.000). https://www.mobil123.com/dijual/datsun-go%2B-t-banten-tangerang-kota/10258608.",https://www.mobil123.com/dijual/datsun-go%2B-t-banten-tangerang-kota/10258608,Datsun,GO+,T,106000,Manual,67,1198 cc,5,7,Pertamax,Abu-abu,2017,Banten,Tangerang Kota
2020 Datsun GO 1.2 A Hatchback,"I am interested in your car on Mobil123.com - 2020 Datsun GO 1,2 A Hatchback Mt Low Km Bisa Kredit (Rp 105.000.000). https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-surabaya/10573078.",https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-surabaya/10573078,Datsun,GO,A,4000,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2020,Jawa Timur,Surabaya
