display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2018 DFSK Glory 580 1.5 Luxury Wagon,I am interested in your car on Mobil123.com - Dfsk Glory 580 At sunroof 7seat th 2018 (Rp 147.000.000). https://www.mobil123.com/dijual/dfsk-glory-580-luxury-dki-jakarta-kebayoran-baru/10598137.,https://www.mobil123.com/dijual/dfsk-glory-580-luxury-dki-jakarta-kebayoran-baru/10598137,DFSK,Glory 580,Luxury,50000,Automatic,148,1498 cc,5,7,Pertamax,Hitam,2018,DKI Jakarta,Kebayoran Baru
2019 DFSK Glory 560 1.5 Type L Wagon,"I am interested in your car on Mobil123.com - 2019 DFSK Glory 560 1,5 Type L Wagon (Rp 148.000.000). https://www.mobil123.com/dijual/dfsk-glory-560-type-l-dki-jakarta-mangga-dua/10497189.",https://www.mobil123.com/dijual/dfsk-glory-560-type-l-dki-jakarta-mangga-dua/10497189,DFSK,Glory 560,Type L,47000,Automatic,148,1498 cc,5,7,Pertamax,Hitam,2019,DKI Jakarta,Mangga Dua
2019 DFSK Glory 560 1.5 Type L Wagon,I am interested in your car on Mobil123.com - 2019 DFSK Glory 560 1.5 Type L Wagon DFSK Glory 560 1.5T L Matic 2019 (Rp 170.000.000). https://www.mobil123.com/dijual/dfsk-glory-560-type-l-sumatera-utara-medan/10557325.,https://www.mobil123.com/dijual/dfsk-glory-560-type-l-sumatera-utara-medan/10557325,DFSK,Glory 560,Type L,42500,Automatic,148,1498 cc,5,7,Pertamax,Hitam,2019,Sumatera Utara,Medan
2020 DFSK Super Cab 1.5 Pick-up,I am interested in your car on Mobil123.com - 2020 DFSK Super Cab 1.5 Pick-up (Rp 135.000.000). https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10683374.,https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10683374,DFSK,Super Cab,,42500,Manual,101,1500 cc,2,3,Pertamax,Putih,2020,Kalimantan Barat,Pontianak Kota
2019 DFSK Super Cab 1.5 Pick-up,I am interested in your car on Mobil123.com - 2019 DFSK Super Cab 1.5 Pick-up (Rp 130.000.000). https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10683202.,https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10683202,DFSK,Super Cab,,32500,Manual,101,1500 cc,2,3,Pertamax,Hitam,2019,Kalimantan Barat,Pontianak Kota
2021 DFSK Super Cab 1.5 Pick-up,I am interested in your car on Mobil123.com - 2021 DFSK Super Cab 1.5 Pick-up (Rp 140.000.000). https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10675960.,https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10675960,DFSK,Super Cab,,22500,Manual,101,1500 cc,2,3,Pertamax,Hitam,2021,Kalimantan Barat,Pontianak Kota
2020 DFSK Super Cab 1.5 Pick-up,I am interested in your car on Mobil123.com - 2020 DFSK Super Cab 1.5 Pick-up (Rp 135.000.000). https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10618030.,https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10618030,DFSK,Super Cab,,37500,Manual,101,1500 cc,2,3,Pertamax,Putih,2020,Kalimantan Barat,Pontianak Kota
2021 DFSK Super Cab 1.5 Pick-up,I am interested in your car on Mobil123.com - 2021 DFSK Super Cab 1.5 Pick-up (Rp 140.000.000). https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10531615.,https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10531615,DFSK,Super Cab,,37500,Manual,101,1500 cc,2,3,Pertamax,Hitam,2021,Kalimantan Barat,Pontianak Kota
2021 DFSK Super Cab 1.5 Pick-up,I am interested in your car on Mobil123.com - 2021 DFSK Super Cab 1.5 Pick-up (Rp 140.000.000). https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10515763.,https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10515763,DFSK,Super Cab,,27500,Manual,101,1500 cc,2,3,Pertamax,Hitam,2021,Kalimantan Barat,Pontianak Kota
2018 DFSK Glory 560 1.5 Type L Wagon,I am interested in your car on Mobil123.com - 2018 DFSK Glory 560 1.5 Type L Wagon (Rp 200.000.000). https://www.mobil123.com/dijual/dfsk-glory-560-type-l-kalimantan-barat-pontianak-kota/9276631.,https://www.mobil123.com/dijual/dfsk-glory-560-type-l-kalimantan-barat-pontianak-kota/9276631,DFSK,Glory 560,Type L,72500,Automatic,148,1498 cc,5,7,Pertamax,Marun,2018,Kalimantan Barat,Pontianak Kota
2021 DFSK Super Cab 1.5 Pick-up,I am interested in your car on Mobil123.com - 2021 DFSK Super Cab 1.5 Pick-up (Rp 130.000.000). https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10587457.,https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10587457,DFSK,Super Cab,,37500,Manual,101,1500 cc,2,3,Pertamax,Hitam,2021,Kalimantan Barat,Pontianak Kota
2020 DFSK Super Cab 1.5 Pick-up,I am interested in your car on Mobil123.com - 2020 DFSK Super Cab 1.5 Pick-up (Rp 125.000.000). https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10568444.,https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10568444,DFSK,Super Cab,,47500,Manual,101,1500 cc,2,3,Pertamax,Putih,2020,Kalimantan Barat,Pontianak Kota
2022 DFSK Super Cab 1.5 Pick-up,"I am interested in your car on Mobil123.com - 2022 DFSK Super Cab 1,5 Pick-up AC PS Dijual Di Malang (Rp 128.000.000). https://www.mobil123.com/dijual/dfsk-super-cab-jawa-timur-pakisaji/10453186.",https://www.mobil123.com/dijual/dfsk-super-cab-jawa-timur-pakisaji/10453186,DFSK,Super Cab,,1234,Manual,101,1500 cc,2,3,Pertamax,Putih,2022,Jawa Timur,Pakisaji
2019 DFSK Super Cab 1.5 Pick-up,I am interested in your car on Mobil123.com - 2019 DFSK Super Cab 1.5 Pick-up (Rp 89.000.000). https://www.mobil123.com/dijual/dfsk-super-cab-jawa-barat-bekasi-barat/10256836.,https://www.mobil123.com/dijual/dfsk-super-cab-jawa-barat-bekasi-barat/10256836,DFSK,Super Cab,,22500,Manual,101,1500 cc,2,3,Pertamax,Putih,2019,Jawa Barat,Bekasi Barat
2018 DFSK Glory 580 1.8 Comfort Wagon,I am interested in your car on Mobil123.com - DFSK Glory 580 MANUAL 2018 TERAWAT (Rp 150.000.000). https://www.mobil123.com/dijual/dfsk-glory-580-comfort-dki-jakarta-cilandak/10170834.,https://www.mobil123.com/dijual/dfsk-glory-580-comfort-dki-jakarta-cilandak/10170834,DFSK,Glory 580,Comfort,42500,Manual,137,1798 cc,5,7,Pertamax,Putih,2018,DKI Jakarta,Cilandak
2021 DFSK Glory 560 1.5 Type L Wagon,I am interested in your car on Mobil123.com -  2021 DFSK Glory 560 automatic jual belum setahun pakai sperti baru  (Rp 196.000.000). https://www.mobil123.com/dijual/dfsk-glory-560-type-l-jawa-timur-sukomanunggal/10118902.,https://www.mobil123.com/dijual/dfsk-glory-560-type-l-jawa-timur-sukomanunggal/10118902,DFSK,Glory 560,Type L,12500,Automatic,148,1498 cc,5,7,Pertamax,Hitam,2021,Jawa Timur,Sukomanunggal
2019 DFSK Glory 580 1.5 Luxury Wagon,I am interested in your car on Mobil123.com - 2019 DFSK Glory 580 1.5 Luxury Wagon (Rp 240.000.000). https://www.mobil123.com/dijual/dfsk-glory-580-luxury-lampung-kemiling/10015319.,https://www.mobil123.com/dijual/dfsk-glory-580-luxury-lampung-kemiling/10015319,DFSK,Glory 580,Luxury,123456,Manual,148,1498 cc,5,7,Pertamax,Hitam,2019,Lampung,Kemiling
2019 DFSK Super Cab 1.5 Pick-up,I am interested in your car on Mobil123.com - 2019 DFSK Super Cab 1.5 Pick-up (Rp 130.000.000). https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10013049.,https://www.mobil123.com/dijual/dfsk-super-cab-kalimantan-barat-pontianak-kota/10013049,DFSK,Super Cab,,72500,Manual,101,1500 cc,2,3,Pertamax,Putih,2019,Kalimantan Barat,Pontianak Kota
