display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2013 Dodge Journey 2.4 SXT Platinum SUV,"I am interested in your car on Mobil123.com - 2013 Dodge Journey 2,4 SXT Platinum Full Orisinil SUV (Nopol Genap) (Rp 195.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-cirendeu/10143055.",https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-cirendeu/10143055,Dodge,Journey,SXT Platinum,73000,Automatic,173,2360 cc,5,7,Pertamax,Hitam,2013,DKI Jakarta,Cirendeu
2013 Dodge Journey 2.4 SXT Platinum SUV,I am interested in your car on Mobil123.com - 2013 Dodge Journey 2.4 SXT Platinum SUV (Rp 185.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-mangga-dua/10291245.,https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-mangga-dua/10291245,Dodge,Journey,SXT Platinum,82500,Automatic,173,2360 cc,5,7,Pertamax,Hitam,2013,DKI Jakarta,Mangga Dua
2011 Dodge Journey 2.4 SXT Luxury SXT Luxury SUV,I am interested in your car on Mobil123.com - 2011 Dodge Journey 2.4 SXT Luxury SXT Luxury SUV (Rp 189.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-luxury-sxt-luxury-dki-jakarta-kebayoran-baru/10187260.,https://www.mobil123.com/dijual/dodge-journey-sxt-luxury-sxt-luxury-dki-jakarta-kebayoran-baru/10187260,Dodge,Journey,SXT Luxury SXT Luxury,97500,Automatic,173,2360 cc,5,7,Pertamax,Putih,2011,DKI Jakarta,Kebayoran Baru
2013 Dodge Journey 2.4 SXT Platinum SUV,I am interested in your car on Mobil123.com - 2013 Dodge Journey 2.4 SXT Platinum SUV (Rp 195.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-banten-bintaro/10144194.,https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-banten-bintaro/10144194,Dodge,Journey,SXT Platinum,83000,Automatic,173,2360 cc,5,7,Pertamax,Hitam,2013,Banten,Bintaro
2013 Dodge Journey 2.4 SXT Platinum SUV,I am interested in your car on Mobil123.com - 2013 Dodge Journey 2.4 SXT Platinum SUV (Rp 188.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-pademangan/10507092.,https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-pademangan/10507092,Dodge,Journey,SXT Platinum,72500,Automatic,173,2360 cc,5,7,Pertamax,Putih,2013,DKI Jakarta,Pademangan
2012 Dodge Journey 2.4 SXT SUV,"I am interested in your car on Mobil123.com - 2012 Dodge Journey 2,4 SXT SUV (Rp 190.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-banten-serpong-summarecon/10467065.",https://www.mobil123.com/dijual/dodge-journey-sxt-banten-serpong-summarecon/10467065,Dodge,Journey,SXT,80000,Automatic,173,2360 cc,5,7,Pertamax,Putih,2012,Banten,Serpong Summarecon
2011 Dodge Journey 2.4 SXT SUV,I am interested in your car on Mobil123.com - 2011 Dodge Journey 2.4 SXT SUV SUNROOF 7 Seat Km 61rb Rawatan Rutin Bengkel Resmi Dari Baru Plat Genap Jul 2023 Mulus Siap Pakai Paket Kredit DP 50 jt (Rp 179.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-dki-jakarta-kemayoran/10378347.,https://www.mobil123.com/dijual/dodge-journey-sxt-dki-jakarta-kemayoran/10378347,Dodge,Journey,SXT,57500,Automatic,173,2360 cc,5,7,Pertamax,Silver,2011,DKI Jakarta,Kemayoran
2012 Dodge Journey 2.4 SXT Platinum SUV,I am interested in your car on Mobil123.com - 2012 Dodge Journey 2.4 SXT Platinum SUV (Rp 188.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-bintaro/10334216.,https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-bintaro/10334216,Dodge,Journey,SXT Platinum,37500,Automatic,173,2360 cc,5,7,Pertamax,Hitam,2012,DKI Jakarta,Bintaro
2012 Dodge Journey 2.4 SXT Platinum SUV,I am interested in your car on Mobil123.com - 2012 Dodge Journey 2.4 SXT Platinum SUV (Rp 175.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-pesanggarahan/10655119.,https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-pesanggarahan/10655119,Dodge,Journey,SXT Platinum,90000,Automatic,173,2360 cc,5,7,Pertamax,Putih,2012,DKI Jakarta,Pesanggarahan
2013 Dodge Journey 2.4 SXT Platinum SUV,I am interested in your car on Mobil123.com - 2013 Dodge Journey 2.4 SXT Platinum SUV (Rp 214.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-kebayoran-baru/9179460.,https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-kebayoran-baru/9179460,Dodge,Journey,SXT Platinum,72500,Automatic,173,2360 cc,5,7,Pertamax,Abu-abu,2013,DKI Jakarta,Kebayoran Baru
1973 Dodge D-100 3.8 Pick Up,I am interested in your car on Mobil123.com - 1973 DODGE Pick up 3.8 (Rp 350.000.000). https://www.mobil123.com/dijual/dodge-d-100-dki-jakarta-permata-hijau/10500762.,https://www.mobil123.com/dijual/dodge-d-100-dki-jakarta-permata-hijau/10500762,Dodge,D-100,,102500,Manual,173,3770 cc,2,2,Pertamax,Merah,1973,DKI Jakarta,Permata Hijau
2014 Dodge Journey 2.4 SXT Platinum SUV,I am interested in your car on Mobil123.com - 2014 Dodge Journey 2.4 SXT Platinum SUV DISKON SAMPE PULUHAN JUTA RUPIAH (Rp 210.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-kemayoran/10475201.,https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-kemayoran/10475201,Dodge,Journey,SXT Platinum,82500,Automatic,173,2360 cc,5,7,Pertamax,Silver,2014,DKI Jakarta,Kemayoran
2014 Dodge Journey 2.4 SXT Platinum SUV,I am interested in your car on Mobil123.com - 2014 Dodge Journey 2.4 SXT Platinum SUV (Rp 185.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-kemayoran/10342823.,https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-kemayoran/10342823,Dodge,Journey,SXT Platinum,82500,Automatic,173,2360 cc,5,7,Pertamax,Silver,2014,DKI Jakarta,Kemayoran
2012 Dodge Journey 2.4 SXT Luxury SUV,I am interested in your car on Mobil123.com - Dodge Journey SXT Luxury SUV 2012 (Rp 200.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-luxury-dki-jakarta-kembangan/9848027.,https://www.mobil123.com/dijual/dodge-journey-sxt-luxury-dki-jakarta-kembangan/9848027,Dodge,Journey,SXT Luxury,147500,Automatic,173,2360 cc,5,7,Pertamax,Hitam,2012,DKI Jakarta,Kembangan
2013 Dodge Journey 2.4 SXT Platinum SUV,I am interested in your car on Mobil123.com - 2013 Dodge Journey 2.4 SXT Platinum SUV (Nopol Ganjil) (Rp 203.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-bintaro/9524225.,https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-bintaro/9524225,Dodge,Journey,SXT Platinum,67000,Automatic,173,2360 cc,5,7,Pertamax,Putih,2013,DKI Jakarta,Bintaro
2013 Dodge Journey 2.4 SXT Platinum SUV,I am interested in your car on Mobil123.com - 2013 Dodge Journey 2.4 SXT Platinum SUV (Rp 219.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-kemayoran/9695744.,https://www.mobil123.com/dijual/dodge-journey-sxt-platinum-dki-jakarta-kemayoran/9695744,Dodge,Journey,SXT Platinum,137500,Automatic,173,2360 cc,5,7,Pertamax,Hitam,2013,DKI Jakarta,Kemayoran
2013 Dodge Journey 2.4 SXT SUV,I am interested in your car on Mobil123.com - 2013 Dodge Journey 2.4 SXT SUV (Rp 210.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-dki-jakarta-mangga-dua/9352655.,https://www.mobil123.com/dijual/dodge-journey-sxt-dki-jakarta-mangga-dua/9352655,Dodge,Journey,SXT,47500,Automatic,173,2360 cc,5,7,Pertamax,Hitam,2013,DKI Jakarta,Mangga Dua
2013 Dodge Journey 2.4 SXT SUV,I am interested in your car on Mobil123.com - 2013 Dodge Journey SXT SUV (Rp 195.000.000). https://www.mobil123.com/dijual/dodge-journey-sxt-banten-serang/9164677.,https://www.mobil123.com/dijual/dodge-journey-sxt-banten-serang/9164677,Dodge,Journey,SXT,127500,Automatic,173,2360 cc,5,7,Pertamax,Putih,2013,Banten,Serang
