display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2013 Ferrari 458 4.5 Italia Coupe,I am interested in your car on Mobil123.com - 2013 Ferrari 458 4.5 Italia Coupe White on Red SPECIAL PRICE (Rp 6.400.000.000). https://www.mobil123.com/dijual/ferrari-458-italia-dki-jakarta-pluit/10632573.,https://www.mobil123.com/dijual/ferrari-458-italia-dki-jakarta-pluit/10632573,Ferrari,458,Italia,12500,Automatic,562,4499 cc,2,2,Pertamax,Putih,2013,DKI Jakarta,Pluit
2011 Ferrari 599 6.0 GTO Coupe,I am interested in your car on Mobil123.com - 2011 Ferrari 599 6.0 GTO Coupe Fiorano HGTE SPECIAL PRICE (Rp 14.000.000.000). https://www.mobil123.com/dijual/ferrari-599-gto-dki-jakarta-pluit/10556302.,https://www.mobil123.com/dijual/ferrari-599-gto-dki-jakarta-pluit/10556302,Ferrari,599,GTO,12500,Automatic,671,5999 cc,2,2,Pertamax,Merah,2011,DKI Jakarta,Pluit
2013 Ferrari 458 4.5 Spider Convertible,I am interested in your car on Mobil123.com - 2013 Ferrari 458 4.5 Spider Convertible SPECIAL PRICE (Rp 6.425.000.000). https://www.mobil123.com/dijual/ferrari-458-spider-dki-jakarta-pluit/10556627.,https://www.mobil123.com/dijual/ferrari-458-spider-dki-jakarta-pluit/10556627,Ferrari,458,Spider,2500,Automatic,562,4499 cc,2,2,Pertamax,Merah,2013,DKI Jakarta,Pluit
2020 Ferrari 488 Pista 3.9 Coupe,I am interested in your car on Mobil123.com - 2020 Ferrari 488 Pista 3.9 Coupe  ROSSO SCUDERIA ON ALCANTARA NERO (Rp 12.600.000.000). https://www.mobil123.com/dijual/ferrari-488-pista-dki-jakarta-pluit/10555830.,https://www.mobil123.com/dijual/ferrari-488-pista-dki-jakarta-pluit/10555830,Ferrari,488 Pista,,2500,Automatic,711,3902 cc,2,2,Pertamax,Merah,2020,DKI Jakarta,Pluit
2013 Ferrari California 4.3 California Convertible,"I am interested in your car on Mobil123.com - 2013 Ferrari California 4,3 California Convertible (Rp 3.525.000.000). https://www.mobil123.com/dijual/ferrari-california-california-dki-jakarta-pondok-indah/10510799.",https://www.mobil123.com/dijual/ferrari-california-california-dki-jakarta-pondok-indah/10510799,Ferrari,California,California,9000,Automatic,483,4297 cc,2,4,Pertamax,Merah,2013,DKI Jakarta,Pondok Indah
2015 Ferrari California 3.9 California T Convertible,I am interested in your car on Mobil123.com - 2015 Ferrari California 3.9 California T Convertible (Rp 4.550.000.000). https://www.mobil123.com/dijual/ferrari-california-california-t-dki-jakarta-pakubuwono/10610556.,https://www.mobil123.com/dijual/ferrari-california-california-t-dki-jakarta-pakubuwono/10610556,Ferrari,California,California T,7500,Automatic,553,3855 cc,2,4,Pertamax,Merah,2015,DKI Jakarta,Pakubuwono
2013 Ferrari California 4.3 California Convertible,I am interested in your car on Mobil123.com - 2013 Ferrari California 4.3 California Convertible (Rp 3.575.000.000). https://www.mobil123.com/dijual/ferrari-california-california-dki-jakarta-pondok-indah/10556561.,https://www.mobil123.com/dijual/ferrari-california-california-dki-jakarta-pondok-indah/10556561,Ferrari,California,California,7500,Automatic,483,4297 cc,2,4,Pertamax,Merah,2013,DKI Jakarta,Pondok Indah
2019 Ferrari 488 Spider 3.9 Convertible,I am interested in your car on Mobil123.com - 2019 Ferrari 488 Spider 3.9 Convertible (Rp 9.550.000.000). https://www.mobil123.com/dijual/ferrari-488-spider-dki-jakarta-kebayoran-baru/10551396.,https://www.mobil123.com/dijual/ferrari-488-spider-dki-jakarta-kebayoran-baru/10551396,Ferrari,488 Spider,,2500,Automatic,660,3902 cc,2,2,Pertamax,Kuning,2019,DKI Jakarta,Kebayoran Baru
2014 Ferrari California 4.3 California Convertible,I am interested in your car on Mobil123.com - 2014 Ferrari California 4.3 California Convertible (Rp 3.650.000.000). https://www.mobil123.com/dijual/ferrari-california-california-dki-jakarta-sunter/10474687.,https://www.mobil123.com/dijual/ferrari-california-california-dki-jakarta-sunter/10474687,Ferrari,California,California,7500,Automatic,483,4297 cc,2,4,Pertamax,Putih,2014,DKI Jakarta,Sunter
2019 Ferrari GTC4Lusso T 3.9 Hatchback,I am interested in your car on Mobil123.com - 2019 Ferrari GTC4Lusso T 3.9 Hatchback (Rp 7.950.000.000). https://www.mobil123.com/dijual/ferrari-gtc4lusso-t-dki-jakarta-radio-dalam/10370072.,https://www.mobil123.com/dijual/ferrari-gtc4lusso-t-dki-jakarta-radio-dalam/10370072,Ferrari,GTC4Lusso T,,2500,Automatic,601,3855 cc,3,4,Pertamax,Putih,2019,DKI Jakarta,Radio Dalam
2013 Ferrari F12berlinetta 6.3 V12 Coupe,"I am interested in your car on Mobil123.com - 2013 Ferrari F12berlinetta 6,3 V12 Coupe (Rp 7.950.000.000). https://www.mobil123.com/dijual/ferrari-f12berlinetta-v12-dki-jakarta-kebayoran-lama/9952501.",https://www.mobil123.com/dijual/ferrari-f12berlinetta-v12-dki-jakarta-kebayoran-lama/9952501,Ferrari,F12berlinetta,V12,14000,Automatic,731,6262 cc,2,2,Pertamax,Kuning,2013,DKI Jakarta,Kebayoran Lama
