display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2014 Fiat 500C 1.4 Lounge Convertible,I am interested in your car on Mobil123.com - 2014 Fiat 500C 1.4 Lounge Convertible convert Gucci edition  (Rp 319.000.000). https://www.mobil123.com/dijual/fiat-500c-lounge-dki-jakarta-kelapa-gading/10675792.,https://www.mobil123.com/dijual/fiat-500c-lounge-dki-jakarta-kelapa-gading/10675792,Fiat,500C,Lounge,52000,Automatic,101,1368 cc,2,4,Pertamax,Putih,2014,DKI Jakarta,Kelapa Gading
2014 Fiat 500 1.4 Lounge Hatchback,I am interested in your car on Mobil123.com - 2014 Fiat 500 1.4 Lounge Hatchback TERBAIK Fiat 500C Cabriolet  Putih Langka (Rp 365.000.000). https://www.mobil123.com/dijual/fiat-500-lounge-dki-jakarta-ciputat/9646136.,https://www.mobil123.com/dijual/fiat-500-lounge-dki-jakarta-ciputat/9646136,Fiat,500,Lounge,22500,Automatic,101,1368 cc,3,4,Pertamax,Putih,2014,DKI Jakarta,Ciputat
2013 Fiat 500C 1.4 Lounge Convertible,I am interested in your car on Mobil123.com - 2013 Fiat 500C 1.4 Lounge Convertible.KM 21000 (Rp 265.000.000). https://www.mobil123.com/dijual/fiat-500c-lounge-yogyakarta-yogyakarta/10629257.,https://www.mobil123.com/dijual/fiat-500c-lounge-yogyakarta-yogyakarta/10629257,Fiat,500C,Lounge,22500,Automatic,101,1368 cc,2,4,Pertamax,Hitam,2013,Yogyakarta,Yogyakarta
2015 Fiat 500C 1.4 Lounge Convertible,I am interested in your car on Mobil123.com - 2015 Fiat 500C 1.4 Lounge Convertible (Rp 345.000.000). https://www.mobil123.com/dijual/fiat-500c-lounge-dki-jakarta-sunter/10315871.,https://www.mobil123.com/dijual/fiat-500c-lounge-dki-jakarta-sunter/10315871,Fiat,500C,Lounge,12500,Automatic,101,1368 cc,2,4,Pertamax,Kuning,2015,DKI Jakarta,Sunter
2015 Fiat 500 1.4 Lounge Hatchback,I am interested in your car on Mobil123.com - 2015 Fiat 500 1.4 Lounge Hatchback (Rp 265.000.000). https://www.mobil123.com/dijual/fiat-500-lounge-dki-jakarta-penjaringan/10585633.,https://www.mobil123.com/dijual/fiat-500-lounge-dki-jakarta-penjaringan/10585633,Fiat,500,Lounge,22500,Automatic,101,1368 cc,3,4,Pertamax,Merah,2015,DKI Jakarta,Penjaringan
2015 Fiat 500C 1.4 Lounge Convertible,I am interested in your car on Mobil123.com - 2015 Fiat 500C 1.4 Lounge Convertible (Rp 349.000.000). https://www.mobil123.com/dijual/fiat-500c-lounge-dki-jakarta-kemayoran/10546845.,https://www.mobil123.com/dijual/fiat-500c-lounge-dki-jakarta-kemayoran/10546845,Fiat,500C,Lounge,12500,Automatic,101,1368 cc,2,4,Pertamax,Kuning,2015,DKI Jakarta,Kemayoran
2014 Fiat 500C 1.4 Lounge Convertible,I am interested in your car on Mobil123.com - 2014 Fiat 500C 1.4 Lounge Convertible (Rp 342.000.000). https://www.mobil123.com/dijual/fiat-500c-lounge-banten-gading-serpong/10519045.,https://www.mobil123.com/dijual/fiat-500c-lounge-banten-gading-serpong/10519045,Fiat,500C,Lounge,32500,Automatic,101,1368 cc,2,4,Pertamax,Hitam,2014,Banten,Gading Serpong
2015 Fiat 500C 1.4 Lounge Convertible,I am interested in your car on Mobil123.com - 2015 Fiat 500C 1.4 Lounge Convertible merah km 20 rb pajak panjang cash kredit bisa dibantu (Rp 315.000.000). https://www.mobil123.com/dijual/fiat-500c-lounge-dki-jakarta-mangga-dua/10442751.,https://www.mobil123.com/dijual/fiat-500c-lounge-dki-jakarta-mangga-dua/10442751,Fiat,500C,Lounge,22500,Automatic,101,1368 cc,2,4,Pertamax,Merah,2015,DKI Jakarta,Mangga Dua
2014 Fiat 500 1.4 Lounge Hatchback,"I am interested in your car on Mobil123.com - Fiat 500 1,4  Hatchback  2014 #KM 24rb Asli (Rp 350.000.000). https://www.mobil123.com/dijual/fiat-500-lounge-dki-jakarta-kelapa-gading/10283476.",https://www.mobil123.com/dijual/fiat-500-lounge-dki-jakarta-kelapa-gading/10283476,Fiat,500,Lounge,24000,Automatic,101,1368 cc,3,4,Pertamax,Merah,2014,DKI Jakarta,Kelapa Gading
2014 Fiat 500 1.4 Lounge Hatchback,I am interested in your car on Mobil123.com - 2014 Fiat 500 1.4 Lounge Hatchback (Rp 269.000.000). https://www.mobil123.com/dijual/fiat-500-lounge-dki-jakarta-mangga-besar/10126560.,https://www.mobil123.com/dijual/fiat-500-lounge-dki-jakarta-mangga-besar/10126560,Fiat,500,Lounge,17500,Automatic,101,1368 cc,3,4,Pertamax,Putih,2014,DKI Jakarta,Mangga Besar
