display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2021 Hino Dutro 4.0 110 SD Trucks,I am interested in your car on Mobil123.com - 2021 Hino Dutro 4.0 110 SD Trucks KM19ribu cde long engkel Hino Dutro 110 SDL box besi 2021 bok 110SDL (Rp 329.000.000). https://www.mobil123.com/dijual/hino-dutro-110-sd-dki-jakarta-penjaringan/10695815.,https://www.mobil123.com/dijual/hino-dutro-110-sd-dki-jakarta-penjaringan/10695815,Hino,Dutro,110 SD,17500,Manual,107,4009 cc,2,2,Diesel,Hijau,2021,DKI Jakarta,Penjaringan
2013 Hino Dutro 4.0 Truck,I am interested in your car on Mobil123.com - 2013 Hino Dutro 4.0 Truck CDE LONG Hino Dutro engkel 110SDL box aluminium 2013 alumunium 110 SDL (Rp 208.000.000). https://www.mobil123.com/dijual/hino-dutro-truck-dki-jakarta-penjaringan/10695144.,https://www.mobil123.com/dijual/hino-dutro-truck-dki-jakarta-penjaringan/10695144,Hino,Dutro,Truck,167500,Manual,107,4009 cc,2,3,Diesel,Hijau,2013,DKI Jakarta,Penjaringan
2019 Hino Ranger 7.7 7.7 Trucks,I am interested in your car on Mobil123.com - 2019 Hino Ranger 7.7 7.7 Trucks pintu 10+banBARU MURAH Hino tronton 6x2 FL 235 JW box besi 2019 ranger (Rp 860.000.000). https://www.mobil123.com/dijual/hino-ranger-7-7-dki-jakarta-penjaringan/10694816.,https://www.mobil123.com/dijual/hino-ranger-7-7-dki-jakarta-penjaringan/10694816,Hino,Ranger,7.7,92500,Manual,107,7684 cc,2,2,Diesel,Hijau,2019,DKI Jakarta,Penjaringan
2021 Hino Dutro 4.0 110 SD Trucks,I am interested in your car on Mobil123.com - 2021 Hino Dutro 4.0 110 SD Trucks MULUS+banBARU MURAH Hino Dutro engkel LONG CDE 110SDL box besi 2021 (Rp 329.000.000). https://www.mobil123.com/dijual/hino-dutro-110-sd-dki-jakarta-penjaringan/10694726.,https://www.mobil123.com/dijual/hino-dutro-110-sd-dki-jakarta-penjaringan/10694726,Hino,Dutro,110 SD,12500,Manual,107,4009 cc,2,2,Diesel,Hijau,2021,DKI Jakarta,Penjaringan
2014 Hino Dutro 4.0 Trucks,I am interested in your car on Mobil123.com - 2014 Hino Dutro 4.0 Trucks MULUS+banBARU MURAH CDD Hino Dutro 130MD box aluminium 2014 bok 130 MD (Rp 239.000.000). https://www.mobil123.com/dijual/hino-dutro-dki-jakarta-penjaringan/10694570.,https://www.mobil123.com/dijual/hino-dutro-dki-jakarta-penjaringan/10694570,Hino,Dutro,,167500,Manual,107,4009 cc,2,2,Solar,Hijau,2014,DKI Jakarta,Penjaringan
2017 Hino Dutro 4.0 Trucks,I am interested in your car on Mobil123.com - 2017 Hino Dutro 4.0 Trucks MULUS+banBARU MURAH CDD Hino Dutro 130HD box besi 2017 bok 130 HD 6rd (Rp 289.000.000). https://www.mobil123.com/dijual/hino-dutro-dki-jakarta-penjaringan/10693224.,https://www.mobil123.com/dijual/hino-dutro-dki-jakarta-penjaringan/10693224,Hino,Dutro,,112500,Manual,107,4009 cc,2,2,Solar,Hijau,2017,DKI Jakarta,Penjaringan
2020 Hino Dutro 4.0 130 HD Trucks,I am interested in your car on Mobil123.com - 2020 Hino Dutro 4.0 130 HD Trucks MULUS+banBARU MURAH CDD Hino Dutro 130 HD load bak 2020 losbak 130HD (Rp 309.000.000). https://www.mobil123.com/dijual/hino-dutro-130-hd-dki-jakarta-penjaringan/10692966.,https://www.mobil123.com/dijual/hino-dutro-130-hd-dki-jakarta-penjaringan/10692966,Hino,Dutro,130 HD,52500,Manual,107,4009 cc,2,2,Diesel,Hijau,2020,DKI Jakarta,Penjaringan
2020 Hino Dutro 4.0 130 HD Trucks,I am interested in your car on Mobil123.com - 2020 Hino Dutro 4.0 130 HD Trucks MULUS+banBARU MURAH Hino Dutro 130HD los bak 2020 CDD Load flat bed (Rp 309.000.000). https://www.mobil123.com/dijual/hino-dutro-130-hd-dki-jakarta-penjaringan/10692780.,https://www.mobil123.com/dijual/hino-dutro-130-hd-dki-jakarta-penjaringan/10692780,Hino,Dutro,130 HD,52500,Manual,107,4009 cc,2,2,Diesel,Hijau,2020,DKI Jakarta,Penjaringan
2015 Hino Dutro 4.0 300 Series Trucks,I am interested in your car on Mobil123.com - 2015 Hino Dutro 4.0 300 Series Trucks MURAH+banBARU CDE LONG 110 SDL Hino Dutro engkel 110SDL box besi 2015 (Rp 229.000.000). https://www.mobil123.com/dijual/hino-dutro-300-series-dki-jakarta-penjaringan/10692515.,https://www.mobil123.com/dijual/hino-dutro-300-series-dki-jakarta-penjaringan/10692515,Hino,Dutro,300 Series,62500,Manual,107,4009 cc,2,3,Solar,Hijau,2015,DKI Jakarta,Penjaringan
2020 Hino Dutro 4.0 110 SD Trucks,I am interested in your car on Mobil123.com - 2020 Hino Dutro 4.0 110 SD Trucks MULUS+banBARU MURAH CDE Hino Dutro engkel 110SD box besi 2020 110 SD (Rp 264.000.000). https://www.mobil123.com/dijual/hino-dutro-110-sd-dki-jakarta-penjaringan/10692412.,https://www.mobil123.com/dijual/hino-dutro-110-sd-dki-jakarta-penjaringan/10692412,Hino,Dutro,110 SD,32500,Manual,107,4009 cc,2,2,Solar,Hijau,2020,DKI Jakarta,Penjaringan
