display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2008 Hummer H3 3.7 SUV,I am interested in your car on Mobil123.com - 2008 Hummer H3 3.7 SUV BANTING HARGA SAMPAI PULUHAN JUTA (Rp 1.025.000.000). https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-kemayoran/10693845.,https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-kemayoran/10693845,Hummer,H3,,32500,Automatic,241,3653 cc,5,5,Pertamax,Hitam,2008,DKI Jakarta,Kemayoran
2008 Hummer H3 3.7 SUV,I am interested in your car on Mobil123.com - 2008 Hummer H3 3.7 SUV (Rp 1.025.000.000). https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-kemayoran/10624346.,https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-kemayoran/10624346,Hummer,H3,,32500,Automatic,241,3653 cc,5,5,Pertamax,Hitam,2008,DKI Jakarta,Kemayoran
2010 Hummer H3 3.7 SUV,I am interested in your car on Mobil123.com - 2010 Hummer H3 3.7 SUV (Rp 1.185.000.000). https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-sunter/9705886.,https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-sunter/9705886,Hummer,H3,,42500,Automatic,241,3653 cc,5,5,Pertamax,Hitam,2010,DKI Jakarta,Sunter
2008 Hummer H3 3.7 SUV,I am interested in your car on Mobil123.com - 2008 Hummer H3 3.7 Base Spec SUV (Rp 985.000.000). https://www.mobil123.com/dijual/hummer-h3-jawa-barat-setiabudi/10488389.,https://www.mobil123.com/dijual/hummer-h3-jawa-barat-setiabudi/10488389,Hummer,H3,,40000,Automatic,241,3653 cc,5,5,Pertamax,Hitam,2008,Jawa Barat,Setiabudi
2011 Hummer H3 3.7 SUV,I am interested in your car on Mobil123.com - 2011 Hummer H3 3.7 SUV low km 27 Rb (Rp 1.250.000.000). https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-kebon-jeruk/9976581.,https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-kebon-jeruk/9976581,Hummer,H3,,27500,Automatic,241,3653 cc,5,5,Pertamax,Hitam,2011,DKI Jakarta,Kebon Jeruk
2008 Hummer H3 3.7 SUV,"I am interested in your car on Mobil123.com - 2008 Hummer H3 3,7 Base Spec SUV (Rp 985.000.000). https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-sunter/10448317.",https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-sunter/10448317,Hummer,H3,,50000,Automatic,241,3653 cc,5,5,Pertamax,Hitam,2008,DKI Jakarta,Sunter
2011 Hummer H3 3.7 SUV,I am interested in your car on Mobil123.com - Hummer H3 3.7 2011 Black (Low KM) Good Condition.  (Rp 1.250.000.000). https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-sunter/10442134.,https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-sunter/10442134,Hummer,H3,,27000,Automatic,241,3653 cc,5,5,Pertamax,Hitam,2011,DKI Jakarta,Sunter
2008 Hummer H3 3.7 SUV,I am interested in your car on Mobil123.com - 2008 Hummer H3 3.7 SUV Rem tarik sunroof km 50rban (Rp 985.000.000). https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-kebayoran-lama/10446312.,https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-kebayoran-lama/10446312,Hummer,H3,,52500,Automatic,241,3653 cc,5,5,Pertamax,Hitam,2008,DKI Jakarta,Kebayoran Lama
2011 Hummer H3 3.7 SUV,I am interested in your car on Mobil123.com - 2011 Hummer H3 3.7 SUV Rem Tangan TARIK km 27rb (Rp 1.225.000.000). https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-kebayoran-lama/9965661.,https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-kebayoran-lama/9965661,Hummer,H3,,27500,Automatic,241,3653 cc,5,5,Pertamax,Hitam,2011,DKI Jakarta,Kebayoran Lama
2010 Hummer H3 3.7 SUV,I am interested in your car on Mobil123.com - 2010 Hummer H3 3.7 SUV (Rp 1.185.000.000). https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-kelapa-gading/9649446.,https://www.mobil123.com/dijual/hummer-h3-dki-jakarta-kelapa-gading/9649446,Hummer,H3,,42500,Automatic,241,3653 cc,5,5,Pertamax,Hitam,2010,DKI Jakarta,Kelapa Gading
