display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2017 Isuzu MU-X 2.5 Premiere SUV,I am interested in your car on Mobil123.com - DP CUMA 20JT ISUZU MUX PREMIER 208 NIK 2017 AT BIO SOLAR GAS NO NGOBOS CRDT DIBANTU  (Rp 349.000.000). https://www.mobil123.com/dijual/isuzu-mu-x-premiere-dki-jakarta-tebet/10567153.,https://www.mobil123.com/dijual/isuzu-mu-x-premiere-dki-jakarta-tebet/10567153,Isuzu,MU-X,Premiere,80000,Automatic,134,2499 cc,5,7,Solar,Hitam,2017,DKI Jakarta,Tebet
2015 Isuzu Panther 2.5 LV SUV,I am interested in your car on Mobil123.com - 2015 Isuzu Panther 2.5 LV SUV KHUSUS yang cari kondisi ISTIMEWA (Rp 180.000.000). https://www.mobil123.com/dijual/isuzu-panther-lv-jawa-timur-gununganyar/10695404.,https://www.mobil123.com/dijual/isuzu-panther-lv-jawa-timur-gununganyar/10695404,Isuzu,Panther,LV,132500,Manual,79,2499 cc,5,7,Solar,Hitam,2015,Jawa Timur,Gununganyar
2013 Isuzu Elf 2.8 2.8 Truck Trucks,I am interested in your car on Mobil123.com - 2013 Isuzu Elf 2.8 2.8 Truck Trucks CDD Isuzu elf 125ps NKR71 box aluminium 2013 NKR 71 alumunium 125 ps (Rp 229.000.000). https://www.mobil123.com/dijual/isuzu-elf-2-8-truck-dki-jakarta-penjaringan/10695214.,https://www.mobil123.com/dijual/isuzu-elf-2-8-truck-dki-jakarta-penjaringan/10695214,Isuzu,Elf,2.8 Truck,167500,Manual,79,2771 cc,2,2,Diesel,Putih,2013,DKI Jakarta,Penjaringan
2013 Isuzu Elf 2.8 2.8 Truck Trucks,I am interested in your car on Mobil123.com - 2013 Isuzu Elf 2.8 2.8 Truck Trucks MULUS+banBARU MURAH CDE isuzu Elf engkel NKR 55 box aluminium 2013 bok (Rp 174.000.000). https://www.mobil123.com/dijual/isuzu-elf-2-8-truck-dki-jakarta-penjaringan/10694971.,https://www.mobil123.com/dijual/isuzu-elf-2-8-truck-dki-jakarta-penjaringan/10694971,Isuzu,Elf,2.8 Truck,132500,Manual,79,2771 cc,2,2,Diesel,Putih,2013,DKI Jakarta,Penjaringan
2018 Isuzu Elf 2.8 NLR Trucks,I am interested in your car on Mobil123.com - 2018 Isuzu Elf 2.8 NLR Trucks MULUS+banBARU MURAH CDE 4rd Isuzu Elf engkel NLR55TX box besi 2018 bok (Rp 254.000.000). https://www.mobil123.com/dijual/isuzu-elf-nlr-dki-jakarta-penjaringan/10694795.,https://www.mobil123.com/dijual/isuzu-elf-nlr-dki-jakarta-penjaringan/10694795,Isuzu,Elf,NLR,62500,Manual,79,2771 cc,2,2,Solar,Putih,2018,DKI Jakarta,Penjaringan
2022 Isuzu Elf 4.8 NMR 81 Trucks,I am interested in your car on Mobil123.com - 2022 Isuzu Elf 4.8 NMR 81 Trucks TERLANGKA MURAH 6000KM+banBARU CDD Isuzu Elf NMR81 losbak 2022 NMR 81 (Rp 379.000.000). https://www.mobil123.com/dijual/isuzu-elf-nmr-81-dki-jakarta-penjaringan/10694650.,https://www.mobil123.com/dijual/isuzu-elf-nmr-81-dki-jakarta-penjaringan/10694650,Isuzu,Elf,NMR 81,7500,Manual,79,4778 cc,2,2,Solar,Putih,2022,DKI Jakarta,Penjaringan
2014 Isuzu Panther 2.5 GRAND TOURING SUV,I am interested in your car on Mobil123.com - 2014 Isuzu Panther GRAND TOURING SUV (Rp 215.000.000). https://www.mobil123.com/dijual/isuzu-panther-grand-touring-jawa-barat-bekasi-utara/10588000.,https://www.mobil123.com/dijual/isuzu-panther-grand-touring-jawa-barat-bekasi-utara/10588000,Isuzu,Panther,GRAND TOURING,87500,Manual,79,2499 cc,5,7,Solar,Coklat,2014,Jawa Barat,Bekasi Utara
2019 Isuzu Elf 4.6 Trucks,I am interested in your car on Mobil123.com - 2019 Isuzu Elf 4.6 Trucks MULUS+AC+banBARU MURAH CDD Isuzu Elf 125ps NMR71 box besi 2019 NMR 71 (Rp 334.000.000). https://www.mobil123.com/dijual/isuzu-elf-dki-jakarta-penjaringan/10693844.,https://www.mobil123.com/dijual/isuzu-elf-dki-jakarta-penjaringan/10693844,Isuzu,Elf,,47500,Manual,79,4570 cc,2,2,Solar,Putih,2019,DKI Jakarta,Penjaringan
2019 Isuzu Traga 2.5 Pick-up,I am interested in your car on Mobil123.com - 2019 Isuzu Traga 2.5 Pick-up 28.000KM MULUS+banBARU MURAH Isuzu Traga pick up 2019 pickup bak (Rp 184.000.000). https://www.mobil123.com/dijual/isuzu-traga-dki-jakarta-penjaringan/10693497.,https://www.mobil123.com/dijual/isuzu-traga-dki-jakarta-penjaringan/10693497,Isuzu,Traga,,27500,Manual,79,2499 cc,2,3,Solar,Putih,2019,DKI Jakarta,Penjaringan
2018 Isuzu Traga 2.5 Pick-up,I am interested in your car on Mobil123.com - 2018 Isuzu Traga 2.5 Pick-up 49.000 KM+banBARU MURAH AC PS Isuzu Traga pick up 2018 bak pickup (Rp 174.000.000). https://www.mobil123.com/dijual/isuzu-traga-dki-jakarta-penjaringan/10693441.,https://www.mobil123.com/dijual/isuzu-traga-dki-jakarta-penjaringan/10693441,Isuzu,Traga,,47500,Manual,79,2499 cc,2,3,Solar,Putih,2018,DKI Jakarta,Penjaringan
