display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2016 Lexus RX200t 2.0 SUV,I am interested in your car on Mobil123.com - 2016 Lexus RX200t 2.0 SUV Luxury ATPM White On Black Km20rb Antik Panoramic Sunroof PBD HUD Audio Mark Levinson #AUTOHIGH #BEST DEAL (Rp 895.000.000). https://www.mobil123.com/dijual/lexus-rx200t-dki-jakarta-pondok-indah/10424572.,https://www.mobil123.com/dijual/lexus-rx200t-dki-jakarta-pondok-indah/10424572,Lexus,RX200t,,29000,Automatic,235,1998 cc,5,5,Pertamax,Putih,2016,DKI Jakarta,Pondok Indah
2020 Lexus ES300h 2.5 Ultra Luxury Sedan,I am interested in your car on Mobil123.com - Lexus Es300h 2.5 Hybrid ultra AT 2020 Titanium (Rp 995.000.000). https://www.mobil123.com/dijual/lexus-es300h-ultra-luxury-dki-jakarta-kebon-jeruk/10114278.,https://www.mobil123.com/dijual/lexus-es300h-ultra-luxury-dki-jakarta-kebon-jeruk/10114278,Lexus,ES300h,Ultra Luxury,23561,Automatic,215,2487 cc,4,5,Pertamax,Silver,2020,DKI Jakarta,Kebon Jeruk
2021 Lexus RX300 2.0 F-Sport SUV,I am interested in your car on Mobil123.com - FULL RECORD KM 14RB!! Lexus RX 300 2.0 F Sport AT 2021 Black On Red (Rp 1.425.000.000). https://www.mobil123.com/dijual/lexus-rx300-f-sport-dki-jakarta-tanjung-duren/10693264.,https://www.mobil123.com/dijual/lexus-rx300-f-sport-dki-jakarta-tanjung-duren/10693264,Lexus,RX300,F-Sport,14365,Automatic,235,1998 cc,5,5,Pertamax,Hitam,2021,DKI Jakarta,Tanjung Duren
2018 Lexus RX300 2.0 F-Sport SUV,I am interested in your car on Mobil123.com - 2018 Lexus RX300 2.0 F-Sport SUV Nik2018 White On Black Km30rb Record Panoramic Sunroof 2TV RSE #AUTOHIGH #BEST OFFER (Rp 1.125.000.000). https://www.mobil123.com/dijual/lexus-rx300-f-sport-dki-jakarta-pondok-indah/10128140.,https://www.mobil123.com/dijual/lexus-rx300-f-sport-dki-jakarta-pondok-indah/10128140,Lexus,RX300,F-Sport,27500,Automatic,235,1998 cc,5,5,Pertamax,Putih,2018,DKI Jakarta,Pondok Indah
2016 Lexus NX200t 2.0 F-Sport SUV,"I am interested in your car on Mobil123.com - Lexus NX200t 2,0 F-Sport AT 2016 Hitam TDP 156jt Kondisi Mobil Istimewa Bergaransi dan Dijamin Siap Pakai (Rp 628.000.000). https://www.mobil123.com/dijual/lexus-nx200t-f-sport-dki-jakarta-mangga-dua/10696883.",https://www.mobil123.com/dijual/lexus-nx200t-f-sport-dki-jakarta-mangga-dua/10696883,Lexus,NX200t,F-Sport,56000,Automatic,235,1998 cc,5,5,Pertamax,Hitam,2016,DKI Jakarta,Mangga Dua
2010 Lexus LX570 5.7 SUV,I am interested in your car on Mobil123.com - 2010 Lexus LX570 5.7 SUV DISKON SAMPAI PULUHAN JUTA RUPIAH (Rp 995.000.000). https://www.mobil123.com/dijual/lexus-lx570-dki-jakarta-kemayoran/10689418.,https://www.mobil123.com/dijual/lexus-lx570-dki-jakarta-kemayoran/10689418,Lexus,LX570,,97500,Automatic,380,5663 cc,5,8,Pertamax,Hitam,2010,DKI Jakarta,Kemayoran
2013 Lexus RX270 2.7 RX270 SUV,I am interested in your car on Mobil123.com - 2013 Lexus RX270 2.7 RX270 SUV CBU HK Version Low Km 29 Rb Sangat Antik Simpanan Like New RX 270 (Rp 478.000.000). https://www.mobil123.com/dijual/lexus-rx270-rx270-dki-jakarta-cengkareng/10566123.,https://www.mobil123.com/dijual/lexus-rx270-rx270-dki-jakarta-cengkareng/10566123,Lexus,RX270,RX270,27500,Automatic,182,2672 cc,5,5,Pertamax,Hitam,2013,DKI Jakarta,Cengkareng
2016 Lexus RX200t 2.0 SUV,I am interested in your car on Mobil123.com - 2016 Lexus RX200t 2.0 SUV Luxury ATPM White On Black Km20rb Antik Panoramic Sunroof PBD HUD Audio Mark Levinson #AUTOHIGH #BEST DEAL (Rp 895.000.000). https://www.mobil123.com/dijual/lexus-rx200t-dki-jakarta-pondok-indah/10424263.,https://www.mobil123.com/dijual/lexus-rx200t-dki-jakarta-pondok-indah/10424263,Lexus,RX200t,,27500,Automatic,235,1998 cc,5,5,Pertamax,Putih,2016,DKI Jakarta,Pondok Indah
2010 Lexus LS460L 4.6 Sedan,I am interested in your car on Mobil123.com - 2010 Lexus LS460L 4.6 Sedan (Rp 427.000.000). https://www.mobil123.com/dijual/lexus-ls460l-banten-gading-serpong/10694915.,https://www.mobil123.com/dijual/lexus-ls460l-banten-gading-serpong/10694915,Lexus,LS460L,,32500,Automatic,375,4608 cc,4,4,Pertamax,Hitam,2010,Banten,Gading Serpong
2021 Lexus RX300 2.0 F-Sport SUV,I am interested in your car on Mobil123.com - 2021 Lexus RX300 2.0 F-Sport SUV AT Black On F-Flare Red - KM 10RIBUAN ASLI SERVICE RECORD - PERFECT CONDITION - LIKE NEW - TANGAN PERTAMA (Rp 1.425.000.000). https://www.mobil123.com/dijual/lexus-rx300-f-sport-dki-jakarta-gunung-sahari/10664481.,https://www.mobil123.com/dijual/lexus-rx300-f-sport-dki-jakarta-gunung-sahari/10664481,Lexus,RX300,F-Sport,12500,Automatic,235,1998 cc,5,5,Pertamax,Hitam,2021,DKI Jakarta,Gunung Sahari
