display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2005 Maserati Quattroporte 4.2 Sedan,I am interested in your car on Mobil123.com - 2005 Maserati Quattroporte 4.2 Sedan Service Record Very Well Maintained (Rp 345.000.000). https://www.mobil123.com/dijual/maserati-quattroporte-jawa-timur-surabaya/10684822.,https://www.mobil123.com/dijual/maserati-quattroporte-jawa-timur-surabaya/10684822,Maserati,Quattroporte,,22500,Automatic,394,4244 cc,4,5,Pertamax,Hitam,2005,Jawa Timur,Surabaya
2021 Maserati Levante 3.0 S GranLusso Ermenegildo Zegna Wagon,I am interested in your car on Mobil123.com - 2021 Maserati Levante S Zegna Edition GrandLusso 3.0 (Rp 2.800.000.000). https://www.mobil123.com/dijual/maserati-levante-s-granlusso-ermenegildo-zegna-dki-jakarta-sunter/10474400.,https://www.mobil123.com/dijual/maserati-levante-s-granlusso-ermenegildo-zegna-dki-jakarta-sunter/10474400,Maserati,Levante,S GranLusso Ermenegildo Zegna,2500,Automatic,424,2979 cc,5,5,Pertamax,Abu-abu,2021,DKI Jakarta,Sunter
2016 Maserati Quattroporte 3.0 S Sedan,I am interested in your car on Mobil123.com - 2016 Maserati Quattroporte 3.0 S Sedan (Rp 1.500.000.000). https://www.mobil123.com/dijual/maserati-quattroporte-s-dki-jakarta-kebayoran-baru/10306558.,https://www.mobil123.com/dijual/maserati-quattroporte-s-dki-jakarta-kebayoran-baru/10306558,Maserati,Quattroporte,S,12500,Automatic,410,2979 cc,4,5,Pertamax,Abu-abu,2016,DKI Jakarta,Kebayoran Baru
2019 Maserati Quattroporte 3.0 S Sedan,I am interested in your car on Mobil123.com - 2019 Maserati Quattroporte 3.0 S Sedan (Rp 3.100.000.000). https://www.mobil123.com/dijual/maserati-quattroporte-s-dki-jakarta-kebayoran-baru/8912311.,https://www.mobil123.com/dijual/maserati-quattroporte-s-dki-jakarta-kebayoran-baru/8912311,Maserati,Quattroporte,S,2500,Automatic,410,2979 cc,4,5,Pertamax,Hitam,2019,DKI Jakarta,Kebayoran Baru
2021 Maserati Levante 3.0 S GranLusso Ermenegildo Zegna Wagon,I am interested in your car on Mobil123.com - 2021 Maserati Levante 3.0 S GranLusso Ermenegildo Zegna Wagon Grey on Brown ATPM Abu-abu (Rp 2.800.000.000). https://www.mobil123.com/dijual/maserati-levante-s-granlusso-ermenegildo-zegna-dki-jakarta-menteng/10611719.,https://www.mobil123.com/dijual/maserati-levante-s-granlusso-ermenegildo-zegna-dki-jakarta-menteng/10611719,Maserati,Levante,S GranLusso Ermenegildo Zegna,2500,Automatic,424,2979 cc,5,5,Pertamax,Abu-abu,2021,DKI Jakarta,Menteng
2010 Maserati Quattroporte 4.7 S Sedan,I am interested in your car on Mobil123.com - 2010 Maserati Quattroporte 4.7 S Sedan (Rp 950.000.000). https://www.mobil123.com/dijual/maserati-quattroporte-s-dki-jakarta-kebayoran-baru/10654298.,https://www.mobil123.com/dijual/maserati-quattroporte-s-dki-jakarta-kebayoran-baru/10654298,Maserati,Quattroporte,S,17500,Automatic,425,4691 cc,4,5,Pertamax,Silver,2010,DKI Jakarta,Kebayoran Baru
2016 Maserati Ghibli 3.0 Sedan,I am interested in your car on Mobil123.com - 2016 Maserati Ghibli 3.0 Sedan V6 Black on Red ATPM Ghibli S Hitam (Rp 1.225.000.000). https://www.mobil123.com/dijual/maserati-ghibli-dki-jakarta-menteng/10611623.,https://www.mobil123.com/dijual/maserati-ghibli-dki-jakarta-menteng/10611623,Maserati,Ghibli,,12500,Automatic,403,2979 cc,4,5,Pertamax,Hitam,2016,DKI Jakarta,Menteng
2005 Maserati Quattroporte 4.2 Sedan,I am interested in your car on Mobil123.com - 2005 Maserati Quattroporte 4.2 Sedan (Rp 360.000.000). https://www.mobil123.com/dijual/maserati-quattroporte-dki-jakarta-sunter/10377327.,https://www.mobil123.com/dijual/maserati-quattroporte-dki-jakarta-sunter/10377327,Maserati,Quattroporte,,47500,Automatic,394,4244 cc,4,5,Pertamax,Hitam,2005,DKI Jakarta,Sunter
2009 Maserati Quattroporte 4.7 Sport GT S Sedan,I am interested in your car on Mobil123.com - 2009 Maserati Quattroporte 4.7 Sport GT S !!KM 16rb!! (Rp 950.000.000). https://www.mobil123.com/dijual/maserati-quattroporte-sport-gt-s-dki-jakarta-kebayoran-baru/10516480.,https://www.mobil123.com/dijual/maserati-quattroporte-sport-gt-s-dki-jakarta-kebayoran-baru/10516480,Maserati,Quattroporte,Sport GT S,16000,Automatic,434,4691 cc,4,5,Pertamax,Silver,2009,DKI Jakarta,Kebayoran Baru
2009 Maserati GranTurismo 4.7 S Coupe,I am interested in your car on Mobil123.com - 2009 Maserati GranTurismo 4.7 S Coupe (Rp 1.750.000.000). https://www.mobil123.com/dijual/maserati-granturismo-s-jawa-timur-wonokromo/9962010.,https://www.mobil123.com/dijual/maserati-granturismo-s-jawa-timur-wonokromo/9962010,Maserati,GranTurismo,S,22500,Automatic,433,4691 cc,2,4,Pertamax,Hitam,2009,Jawa Timur,Wonokromo
