display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2018 Mazda CX-3 2.0 Grand Touring Wagon,I am interested in your car on Mobil123.com - 2018 Mazda CX-3 2.0 Grand Touring Wagon GLG (Rp 375.000.000). https://www.mobil123.com/dijual/mazda-cx-3-grand-touring-dki-jakarta-kelapa-gading/10381857.,https://www.mobil123.com/dijual/mazda-cx-3-grand-touring-dki-jakarta-kelapa-gading/10381857,Mazda,CX-3,Grand Touring,22500,Automatic,146,1998 cc,5,5,Pertamax,Putih,2018,DKI Jakarta,Kelapa Gading
2019 Mazda CX-3 2.0 Grand Touring Wagon,I am interested in your car on Mobil123.com - 2019 Mazda CX-3 2.0 Grand Touring Wagon (Rp 347.000.000). https://www.mobil123.com/dijual/mazda-cx-3-grand-touring-banten-karawaci/10682865.,https://www.mobil123.com/dijual/mazda-cx-3-grand-touring-banten-karawaci/10682865,Mazda,CX-3,Grand Touring,22500,Automatic,146,1998 cc,5,5,Pertamax,Abu-abu,2019,Banten,Karawaci
2015 Mazda 2 1.5 GT Hatchback,I am interested in your car on Mobil123.com - 2015 Mazda 2 1.5 GT Hatchback (Rp 189.000.000). https://www.mobil123.com/dijual/mazda-2-gt-jawa-barat-bekasi/10492530.,https://www.mobil123.com/dijual/mazda-2-gt-jawa-barat-bekasi/10492530,Mazda,2,GT,67500,Automatic,115,1496 cc,5,5,Pertamax,Putih,2015,Jawa Barat,Bekasi
2015 Mazda 2 1.5 GT Hatchback,I am interested in your car on Mobil123.com - 2015 Di Jual Cepat Mazda 2 1.5 GT Hatchback (Rp 179.000.000). https://www.mobil123.com/dijual/mazda-2-gt-jawa-barat-harapan-indah/10698352.,https://www.mobil123.com/dijual/mazda-2-gt-jawa-barat-harapan-indah/10698352,Mazda,2,GT,64764,Automatic,115,1496 cc,5,5,Pertamax,Hitam,2015,Jawa Barat,Harapan Indah
2016 Mazda 2 1.5 R Hatchback,I am interested in your car on Mobil123.com - 2016 Mazda 2 1.5 R Hatchback (garansi 1 tahun) (Rp 189.000.000). https://www.mobil123.com/dijual/mazda-2-r-jawa-barat-bogor/10698271.,https://www.mobil123.com/dijual/mazda-2-r-jawa-barat-bogor/10698271,Mazda,2,R,72500,Automatic,115,1496 cc,5,5,Pertamax,Merah,2016,Jawa Barat,Bogor
2017 Mazda CX-3 2.0 Touring Wagon,"I am interested in your car on Mobil123.com - 2017 Mazda CX-3 2,0 Touring Wagon (Rp 298.000.000). https://www.mobil123.com/dijual/mazda-cx-3-touring-dki-jakarta-pondok-indah/10698268.",https://www.mobil123.com/dijual/mazda-cx-3-touring-dki-jakarta-pondok-indah/10698268,Mazda,CX-3,Touring,83707,Automatic,146,1998 cc,5,5,Pertamax,Merah,2017,DKI Jakarta,Pondok Indah
2014 Mazda CX-5 2.5 Grand Touring SUV,"I am interested in your car on Mobil123.com - 2014 Mazda CX-5 2,5 Grand Touring SUV (Rp 234.000.000). https://www.mobil123.com/dijual/mazda-cx-5-grand-touring-dki-jakarta-pondok-indah/10698249.",https://www.mobil123.com/dijual/mazda-cx-5-grand-touring-dki-jakarta-pondok-indah/10698249,Mazda,CX-5,Grand Touring,96865,Automatic,184,2488 cc,5,5,Pertamax,Silver,2014,DKI Jakarta,Pondok Indah
2015 Mazda 2 1.5 R Hatchback,I am interested in your car on Mobil123.com - 2015 Mazda 2 1.5 R Hatchback TDP 20jtan PROMO NOVEMBER RAIN YS (Rp 20.000.000). https://www.mobil123.com/dijual/mazda-2-r-dki-jakarta-gajah-mada/10698078.,https://www.mobil123.com/dijual/mazda-2-r-dki-jakarta-gajah-mada/10698078,Mazda,2,R,82500,Automatic,115,1496 cc,5,5,Pertamax,Merah,2015,DKI Jakarta,Gajah Mada
2014 Mazda CX-5 2.5 Touring SUV,"I am interested in your car on Mobil123.com - 2014 Mazda CX-5 2,5 Touring SUV (Rp 215.000.000). https://www.mobil123.com/dijual/mazda-cx-5-touring-jawa-barat-padalarang/10614959.",https://www.mobil123.com/dijual/mazda-cx-5-touring-jawa-barat-padalarang/10614959,Mazda,CX-5,Touring,87000,Automatic,184,2488 cc,5,5,Pertamax,Abu-abu,2014,Jawa Barat,Padalarang
2017 Mazda CX-5 2.5 Elite SUV,I am interested in your car on Mobil123.com - 2017 Mazda CX-5 2.5 Elite SUV (Rp 424.000.000). https://www.mobil123.com/dijual/mazda-cx-5-elite-dki-jakarta-kemang/10479555?carsome=true.,https://www.mobil123.com/dijual/mazda-cx-5-elite-dki-jakarta-kemang/10479555?carsome=true,Mazda,CX-5,Elite,62500,Automatic,188,2488 cc,5,5,Pertamax,Abu-abu,2017,DKI Jakarta,Kemang
