display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2011 Mercedes-Benz E300 3.0 Avantgarde AMG Sedan,I am interested in your car on Mobil123.com - 2011 Mercedes-Benz E300 3.0 Avantgarde AMG Sedan (Rp 315.000.000). https://www.mobil123.com/dijual/mercedes-benz-e300-avantgarde-amg-dki-jakarta-sawah-besar/10710404.,https://www.mobil123.com/dijual/mercedes-benz-e300-avantgarde-amg-dki-jakarta-sawah-besar/10710404,Mercedes-Benz,E300,Avantgarde AMG,37500,Automatic,231,2996 cc,4,5,Pertamax,Silver,2011,DKI Jakarta,Sawah Besar
2019 Mercedes-Benz GLC200 2.0 AMG Night Edition SUV,I am interested in your car on Mobil123.com - 2019 Mercedes-Benz GLC200 2.0 AMG Night Edition SUV TOTAL DP 245JT White On Black Panoramic Sunroof Bagasi Power Back Door HARGA NEGO BANYAK LIKE NEW (Rp 950.000.000). https://www.mobil123.com/dijual/mercedes-benz-glc200-amg-night-edition-dki-jakarta-pondok-indah/10713593.,https://www.mobil123.com/dijual/mercedes-benz-glc200-amg-night-edition-dki-jakarta-pondok-indah/10713593,Mercedes-Benz,GLC200,AMG Night Edition,32500,Automatic,184,1991 cc,5,5,Pertamax,Putih,2019,DKI Jakarta,Pondok Indah
2016 Mercedes-Benz GLA200 1.6 AMG SUV,I am interested in your car on Mobil123.com - 2016 Mercedes-Benz GLA200 1.6 AMG SUV TOTAL DP 100JT White On Black Km 28Rb Super Antik Panoramic Sunroof Service Record ATPM HARGA NEGO LIKE NEW (Rp 525.000.000). https://www.mobil123.com/dijual/mercedes-benz-gla200-amg-dki-jakarta-pondok-indah/10713534.,https://www.mobil123.com/dijual/mercedes-benz-gla200-amg-dki-jakarta-pondok-indah/10713534,Mercedes-Benz,GLA200,AMG,27500,Automatic,156,1595 cc,5,5,Pertamax,Putih,2016,DKI Jakarta,Pondok Indah
2022 Mercedes-Benz GLA200 1.3 AMG Line SUV,I am interested in your car on Mobil123.com - 2022 Mercedes-Benz GLA200 1.3 AMG Line SUV (Rp 990.000.000). https://www.mobil123.com/dijual/mercedes-benz-gla200-amg-line-dki-jakarta-pluit/10495058.,https://www.mobil123.com/dijual/mercedes-benz-gla200-amg-line-dki-jakarta-pluit/10495058,Mercedes-Benz,GLA200,AMG Line,0,Automatic,163,1332 cc,5,5,Pertamax,Hitam,2022,DKI Jakarta,Pluit
2010 Mercedes-Benz ML350 3.5 SUV,I am interested in your car on Mobil123.com - 2010 Mercedes-Benz ML350 SUV (Rp 280.000.000). https://www.mobil123.com/dijual/mercedes-benz-ml350-dki-jakarta-kalimalang/10685967.,https://www.mobil123.com/dijual/mercedes-benz-ml350-dki-jakarta-kalimalang/10685967,Mercedes-Benz,ML350,,97500,Automatic,268,3498 cc,5,5,Pertamax,Hitam,2010,DKI Jakarta,Kalimalang
2019 Mercedes-Benz GLE400 3.0 AMG 4MATIC Coupe,I am interested in your car on Mobil123.com - 2019 Mercedes-Benz GLE400 3.0 AMG 4MATIC Coupe TOTAL DP 375JT Black On Black Km Super Low Paddle Shift Panoramic Sunroof Full AMG Package HARGA NEGO (Rp 1.425.000.000). https://www.mobil123.com/dijual/mercedes-benz-gle400-amg-4matic-dki-jakarta-pondok-indah/10517408.,https://www.mobil123.com/dijual/mercedes-benz-gle400-amg-4matic-dki-jakarta-pondok-indah/10517408,Mercedes-Benz,GLE400,AMG 4MATIC,22500,Automatic,333,2996 cc,5,5,Pertamax,Hitam,2019,DKI Jakarta,Pondok Indah
2021 Mercedes-Benz GLC200 2.0 AMG Line SUV,I am interested in your car on Mobil123.com - 2021 Mercedes-Benz GLC200 2.0 AMG Line SUV TOTAL DP 350JT Grey On Black Km Super Antik Speedometer Digital GPS Indonesia Sunroof Panoramic HARGA NEGO (Rp 1.225.000.000). https://www.mobil123.com/dijual/mercedes-benz-glc200-amg-line-dki-jakarta-pondok-indah/10636188.,https://www.mobil123.com/dijual/mercedes-benz-glc200-amg-line-dki-jakarta-pondok-indah/10636188,Mercedes-Benz,GLC200,AMG Line,2500,Automatic,197,1991 cc,5,5,Pertamax,Abu-abu,2021,DKI Jakarta,Pondok Indah
2019 Mercedes-Benz GLC200 2.0 AMG Line SUV,I am interested in your car on Mobil123.com - 2019 Mercedes-Benz GLC200 2.0 AMG Line SUV Panoramic TOTAL DP 250JT White On Black Km Super Antik Audio Burmester Sunroof Panoramic HARGA NEGO BANYAK (Rp 950.000.000). https://www.mobil123.com/dijual/mercedes-benz-glc200-amg-line-dki-jakarta-pondok-indah/10516809.,https://www.mobil123.com/dijual/mercedes-benz-glc200-amg-line-dki-jakarta-pondok-indah/10516809,Mercedes-Benz,GLC200,AMG Line,12500,Automatic,197,1991 cc,5,5,Pertamax,Putih,2019,DKI Jakarta,Pondok Indah
2018 Mercedes-Benz GLA200 1.6 AMG SUV,I am interested in your car on Mobil123.com - 2018 Mercedes-Benz GLA200 1.6 AMG SUV TOTAL DP 150JT White On Black Km 19Rb Super Antik Panoramic Sunroof Service Record HARGA NEGO BANYAK LIKE NEW (Rp 625.000.000). https://www.mobil123.com/dijual/mercedes-benz-gla200-amg-dki-jakarta-pondok-indah/10672248.,https://www.mobil123.com/dijual/mercedes-benz-gla200-amg-dki-jakarta-pondok-indah/10672248,Mercedes-Benz,GLA200,AMG,17500,Automatic,156,1595 cc,5,5,Pertamax,Putih,2018,DKI Jakarta,Pondok Indah
2019 Mercedes-Benz CLA200 1.3 AMG Line Coupe,I am interested in your car on Mobil123.com - 2019 Mercedes-Benz CLA200 1.3 AMG Line Coupe TOTAL DP 275JT Black On Black Km 3Rb Super Antik GPS Indonesia Full AMG Package Electric Seat HARGA NEGO (Rp 895.000.000). https://www.mobil123.com/dijual/mercedes-benz-cla200-amg-line-dki-jakarta-pondok-indah/10635339.,https://www.mobil123.com/dijual/mercedes-benz-cla200-amg-line-dki-jakarta-pondok-indah/10635339,Mercedes-Benz,CLA200,AMG Line,2500,Automatic,163,1332 cc,4,5,Pertamax,Hitam,2019,DKI Jakarta,Pondok Indah
