display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2020 MG HS 1.5 Ignite Wagon,I am interested in your car on Mobil123.com - 2020 MG HS Ignite Wagon (Rp 330.000.000). https://www.mobil123.com/dijual/mg-hs-ignite-dki-jakarta-kelapa-gading/10650382.,https://www.mobil123.com/dijual/mg-hs-ignite-dki-jakarta-kelapa-gading/10650382,MG,HS,Ignite,22500,Automatic,160,1490 cc,5,5,Pertamax,Merah,2020,DKI Jakarta,Kelapa Gading
2021 MG HS 1.5 Ignite Wagon,I am interested in your car on Mobil123.com - 2021 MG HS 1.5 Ignite Wagon hitam luxury turbo tgi sunroof km 11 rb (Rp 368.000.000). https://www.mobil123.com/dijual/mg-hs-ignite-dki-jakarta-mangga-dua/10674528.,https://www.mobil123.com/dijual/mg-hs-ignite-dki-jakarta-mangga-dua/10674528,MG,HS,Ignite,12500,Automatic,160,1490 cc,5,5,Pertamax,Hitam,2021,DKI Jakarta,Mangga Dua
2021 MG HS 1.5 Ignite Wagon,I am interested in your car on Mobil123.com - 2021 MG HS 1.5 Ignite Wagon lux turbo hitam km 11 rb sunroof (Rp 368.000.000). https://www.mobil123.com/dijual/mg-hs-ignite-dki-jakarta-mangga-dua/10669539.,https://www.mobil123.com/dijual/mg-hs-ignite-dki-jakarta-mangga-dua/10669539,MG,HS,Ignite,12500,Automatic,160,1490 cc,5,5,Pertamax,Hitam,2021,DKI Jakarta,Mangga Dua
2021 MG HS 1.5 Magnify i-Smart Wagon,I am interested in your car on Mobil123.com - READY MG HS Ismart Ready ❗Free Nano coating dan anti Karat ❗ (Rp 460.800.000). https://www.mobil123.com/dijual/mg-hs-magnify-i-smart-dki-jakarta-s-parman/8048482.,https://www.mobil123.com/dijual/mg-hs-magnify-i-smart-dki-jakarta-s-parman/8048482,MG,HS,Magnify i-Smart,0,Automatic,160,1490 cc,5,5,Pertamax,Putih,2021,DKI Jakarta,S.Parman
2021 MG HS 1.5 Ignite Wagon,"I am interested in your car on Mobil123.com - 2021 MG HS 1,5 Ignite Wagon (Rp 368.000.000). https://www.mobil123.com/dijual/mg-hs-ignite-dki-jakarta-kebayoran-lama/10660338.",https://www.mobil123.com/dijual/mg-hs-ignite-dki-jakarta-kebayoran-lama/10660338,MG,HS,Ignite,11000,Automatic,160,1490 cc,5,5,Pertamax,Hitam,2021,DKI Jakarta,Kebayoran Lama
2021 MG HS 1.5 Ignite Wagon,"I am interested in your car on Mobil123.com - 2021 MG HS 1,5 Ignite Morris Garage HS  (Rp 368.000.000). https://www.mobil123.com/dijual/mg-hs-ignite-dki-jakarta-menteng/10657742.",https://www.mobil123.com/dijual/mg-hs-ignite-dki-jakarta-menteng/10657742,MG,HS,Ignite,11000,Automatic,160,1490 cc,5,5,Pertamax,Hitam,2021,DKI Jakarta,Menteng
2021 MG HS 1.5 Magnify i-Smart Wagon,I am interested in your car on Mobil123.com - 2021 MG HS 1.5 Magnify i-Smart Wagon (Rp 390.000.000). https://www.mobil123.com/dijual/mg-hs-magnify-i-smart-dki-jakarta-pluit/10434325.,https://www.mobil123.com/dijual/mg-hs-magnify-i-smart-dki-jakarta-pluit/10434325,MG,HS,Magnify i-Smart,25000,Automatic,160,1490 cc,5,5,Pertamax,Putih,2021,DKI Jakarta,Pluit
2021 MG HS 1.5 Magnify i-Smart Wagon,I am interested in your car on Mobil123.com - 2021 MG HS Magnify i-Smart Wagon (Rp 410.000.000). https://www.mobil123.com/dijual/mg-hs-magnify-i-smart-banten-tangerang-kota/10387236.,https://www.mobil123.com/dijual/mg-hs-magnify-i-smart-banten-tangerang-kota/10387236,MG,HS,Magnify i-Smart,7500,Automatic,160,1490 cc,5,5,Pertamax,Putih,2021,Banten,Tangerang Kota
2020 MG ZS 1.5 Ignite Wagon,I am interested in your car on Mobil123.com - 2020 MG ZS 1.5 Ignite Wagon merah km 11 rb (Rp 238.000.000). https://www.mobil123.com/dijual/mg-zs-ignite-dki-jakarta-mangga-dua/9975705.,https://www.mobil123.com/dijual/mg-zs-ignite-dki-jakarta-mangga-dua/9975705,MG,ZS,Ignite,12500,Automatic,113,1498 cc,5,5,Pertamax,Merah,2020,DKI Jakarta,Mangga Dua
2020 MG ZS 1.5 Ignite Wagon,I am interested in your car on Mobil123.com - 2020 MG ZS 1.5 Ignite Lux AT  (Rp 238.000.000). https://www.mobil123.com/dijual/mg-zs-ignite-dki-jakarta-mangga-dua/10220868.,https://www.mobil123.com/dijual/mg-zs-ignite-dki-jakarta-mangga-dua/10220868,MG,ZS,Ignite,11000,Automatic,113,1498 cc,5,5,Pertamax,Merah,2020,DKI Jakarta,Mangga Dua
