display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2019 Mitsubishi Xpander 1.5 ULTIMATE Wagon,I am interested in your car on Mobil123.com - 2019 Mitsubishi Xpander 1.5 ULTIMATE Wagon (Rp 236.000.000). https://www.mobil123.com/dijual/mitsubishi-xpander-ultimate-dki-jakarta-tebet/10474998.,https://www.mobil123.com/dijual/mitsubishi-xpander-ultimate-dki-jakarta-tebet/10474998,Mitsubishi,Xpander,ULTIMATE,62500,Automatic,103,1499 cc,5,7,Pertamax,Putih,2019,DKI Jakarta,Tebet
2021 Mitsubishi Xpander 1.5 CROSS Wagon,I am interested in your car on Mobil123.com - 2021 Mitsubishi Xpander 1.5 CROSS Wagon At Matic Km 17Rb*Dinar Auto*Full Service SUV MPV Hatchback Antik Dp Murah (Rp 250.000.000). https://www.mobil123.com/dijual/mitsubishi-xpander-cross-dki-jakarta-cilandak/10749831.,https://www.mobil123.com/dijual/mitsubishi-xpander-cross-dki-jakarta-cilandak/10749831,Mitsubishi,Xpander,CROSS,17500,Automatic,103,1499 cc,5,7,Pertamax,Hitam,2021,DKI Jakarta,Cilandak
2018 Mitsubishi Xpander 1.5 ULTIMATE Wagon,I am interested in your car on Mobil123.com - 2018 Mitsubishi Xpander 1.5 ULTIMATE Wagon - MOBIL BEKAS - DP MURAH - SIAP PAKAI (Rp 217.000.000). https://www.mobil123.com/dijual/mitsubishi-xpander-ultimate-dki-jakarta-cibubur/10751029.,https://www.mobil123.com/dijual/mitsubishi-xpander-ultimate-dki-jakarta-cibubur/10751029,Mitsubishi,Xpander,ULTIMATE,77500,Automatic,103,1499 cc,5,7,Pertamax,Abu-abu,2018,DKI Jakarta,Cibubur
2013 Mitsubishi Outlander Sport 2.0 PX SUV,"I am interested in your car on Mobil123.com - 2013 Mitsubishi Outlander Sport 2,0 PX SUV (TDP ONLY 11JT) (Rp 165.000.000). https://www.mobil123.com/dijual/mitsubishi-outlander-sport-px-dki-jakarta-permata-hijau/10726163.",https://www.mobil123.com/dijual/mitsubishi-outlander-sport-px-dki-jakarta-permata-hijau/10726163,Mitsubishi,Outlander Sport,PX,95000,Automatic,148,1998 cc,5,5,Pertamax,Putih,2013,DKI Jakarta,Permata Hijau
2019 Mitsubishi Pajero Sport 2.4 Dakar SUV,"I am interested in your car on Mobil123.com - 2019 Mitsubishi Pajero Sport 2,4 Dakar SUV (Rp 445.000.000). https://www.mobil123.com/dijual/mitsubishi-pajero-sport-dakar-dki-jakarta-mangga-dua/10719656.",https://www.mobil123.com/dijual/mitsubishi-pajero-sport-dakar-dki-jakarta-mangga-dua/10719656,Mitsubishi,Pajero Sport,Dakar,50000,Automatic,178,2442 cc,5,7,Solar,Putih,2019,DKI Jakarta,Mangga Dua
2011 Mitsubishi Pajero Sport 2.5 Exceed SUV,I am interested in your car on Mobil123.com - Very Mint 87rb km Mitsubishi Pajero Sport Exceed 2011 AT (Rp 255.000.000). https://www.mobil123.com/dijual/mitsubishi-pajero-sport-exceed-dki-jakarta-kebayoran-baru/10646442.,https://www.mobil123.com/dijual/mitsubishi-pajero-sport-exceed-dki-jakarta-kebayoran-baru/10646442,Mitsubishi,Pajero Sport,Exceed,87000,Automatic,134,2477 cc,5,7,Solar,Abu-abu,2011,DKI Jakarta,Kebayoran Baru
2021 Mitsubishi Xpander 1.5 Black Edition Rockford Fosgate Wagon,I am interested in your car on Mobil123.com - 2021 Mitsubishi Xpander Black Edition Rockford Fosgate Wagon (Rp 282.000.000). https://www.mobil123.com/dijual/mitsubishi-xpander-black-edition-rockford-fosgate-dki-jakarta-cengkareng/10505192.,https://www.mobil123.com/dijual/mitsubishi-xpander-black-edition-rockford-fosgate-dki-jakarta-cengkareng/10505192,Mitsubishi,Xpander,Black Edition Rockford Fosgate,12500,Automatic,103,1499 cc,5,7,Pertamax,Abu-abu,2021,DKI Jakarta,Cengkareng
2016 Mitsubishi Pajero Sport 2.4 Dakar SUV,I am interested in your car on Mobil123.com - 2016 Mitsubishi Pajero Sport 2.4 Dakar SUV At Nopol N Dijual Di Malang (Rp 414.000.000). https://www.mobil123.com/dijual/mitsubishi-pajero-sport-dakar-jawa-timur-malang-kota/10268348.,https://www.mobil123.com/dijual/mitsubishi-pajero-sport-dakar-jawa-timur-malang-kota/10268348,Mitsubishi,Pajero Sport,Dakar,77000,Automatic,178,2442 cc,5,7,Solar,Silver,2016,Jawa Timur,Malang Kota
2014 Mitsubishi Pajero Sport 2.5 Dakar SUV,I am interested in your car on Mobil123.com - 2014 Mitsubishi Pajero Sport 2.5 Dakar SUV (Rp 330.000.000). https://www.mobil123.com/dijual/mitsubishi-pajero-sport-dakar-dki-jakarta-duren-sawit/10077005.,https://www.mobil123.com/dijual/mitsubishi-pajero-sport-dakar-dki-jakarta-duren-sawit/10077005,Mitsubishi,Pajero Sport,Dakar,92500,Automatic,175,2477 cc,5,7,Solar,Putih,2014,DKI Jakarta,Duren Sawit
2018 Mitsubishi Xpander 1.5 SPORT Wagon,I am interested in your car on Mobil123.com - 2018 Mitsubishi Xpander 1.5 SPORT Wagon (Rp 225.000.000). https://www.mobil123.com/dijual/mitsubishi-xpander-sport-jawa-barat-depok/10760851.,https://www.mobil123.com/dijual/mitsubishi-xpander-sport-jawa-barat-depok/10760851,Mitsubishi,Xpander,SPORT,57500,Automatic,103,1499 cc,5,7,Pertamax,Silver,2018,Jawa Barat,Depok
