display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2019 Porsche Macan 2.0 SUV,I am interested in your car on Mobil123.com - Porsche Macan 2.0 AT Facelift 2019 Hitam TDP 160jt Kondisi mobil istimewa bergaransi dan dijamin siap pakai (Rp 1.725.000.000). https://www.mobil123.com/dijual/porsche-macan-dki-jakarta-meruya/10696048.,https://www.mobil123.com/dijual/porsche-macan-dki-jakarta-meruya/10696048,Porsche,Macan,,17000,Automatic,248,1984 cc,5,5,Pertamax,Hitam,2019,DKI Jakarta,Meruya
2011 Porsche 911 3.8 Turbo S Coupe,I am interested in your car on Mobil123.com - 2011 Porsche 911 3.8 Turbo S Coupe White on Black-Cream SPECIAL PRICE (Rp 8.000.000.000). https://www.mobil123.com/dijual/porsche-911-turbo-s-dki-jakarta-pluit/10655028.,https://www.mobil123.com/dijual/porsche-911-turbo-s-dki-jakarta-pluit/10655028,Porsche,911,Turbo S,12500,Automatic,523,3800 cc,2,4,Pertamax,Putih,2011,DKI Jakarta,Pluit
2019 Porsche 911 4.0 GT3 RS Coupe,I am interested in your car on Mobil123.com - 2019 Porsche 911 4.0 GT3 RS Coupe Silver Metallic on Black SPECIAL PRICE (Rp 10.400.000.000). https://www.mobil123.com/dijual/porsche-911-gt3-rs-dki-jakarta-pluit/9657979.,https://www.mobil123.com/dijual/porsche-911-gt3-rs-dki-jakarta-pluit/9657979,Porsche,911,GT3 RS,2500,Automatic,513,3996 cc,2,2,Pertamax,Silver,2019,DKI Jakarta,Pluit
2011 Porsche Cayman 2.9 Coupe,I am interested in your car on Mobil123.com - 2011 Porsche Cayman 2.9 987 Coupe FULL OPTION (Rp 966.000.000). https://www.mobil123.com/dijual/porsche-cayman-jawa-barat-kota-baru-parahyangan/9663130.,https://www.mobil123.com/dijual/porsche-cayman-jawa-barat-kota-baru-parahyangan/9663130,Porsche,Cayman,,22500,Automatic,265,2893 cc,2,2,Pertamax,Putih,2011,Jawa Barat,kota baru parahyangan
2018 Porsche 718 2.0 Boxster Convertible,"I am interested in your car on Mobil123.com - 2018 Porsche 718 2,0 Boxster Convertible (Rp 2.250.000.000). https://www.mobil123.com/dijual/porsche-718-boxster-dki-jakarta-puri-indah/10482903.",https://www.mobil123.com/dijual/porsche-718-boxster-dki-jakarta-puri-indah/10482903,Porsche,718,Boxster,7000,Automatic,300,1988 cc,2,2,Pertamax,Orange,2018,DKI Jakarta,Puri Indah
2012 Porsche 911 3.4 Carrera 4 Coupe,I am interested in your car on Mobil123.com - Porsche 911 3.4 Carrera Coupe LOW ODO 2012 (Rp 2.749.999.999). https://www.mobil123.com/dijual/porsche-911-carrera-4-dki-jakarta-senayan/10138192.,https://www.mobil123.com/dijual/porsche-911-carrera-4-dki-jakarta-senayan/10138192,Porsche,911,Carrera 4,2000,Automatic,350,3436 cc,2,4,Pertamax,Putih,2012,DKI Jakarta,Senayan
2011 Porsche Cayenne 3.6 SUV,I am interested in your car on Mobil123.com - 2011 Porsche Cayenne 3.6 SUV Service Record Tangan Pertama (Rp 795.000.000). https://www.mobil123.com/dijual/porsche-cayenne-dki-jakarta-kembangan/10684935.,https://www.mobil123.com/dijual/porsche-cayenne-dki-jakarta-kembangan/10684935,Porsche,Cayenne,,37500,Automatic,300,3598 cc,5,5,Pertamax,Putih,2011,DKI Jakarta,Kembangan
2014 Porsche Cayman 2.7 Coupe,I am interested in your car on Mobil123.com - 2014 Porsche Cayman 2.7 981 Coupe (Rp 1.525.000.000). https://www.mobil123.com/dijual/porsche-cayman-dki-jakarta-cilandak/9919594.,https://www.mobil123.com/dijual/porsche-cayman-dki-jakarta-cilandak/9919594,Porsche,Cayman,,17500,Automatic,275,2706 cc,2,2,Pertamax,Kuning,2014,DKI Jakarta,Cilandak
2020 Porsche 718 2.0 Cayman Coupe,I am interested in your car on Mobil123.com - 2020 Porsche 718 2.0 Cayman Coupe (Rp 2.335.000.000). https://www.mobil123.com/dijual/porsche-718-cayman-dki-jakarta-cilandak/10410004.,https://www.mobil123.com/dijual/porsche-718-cayman-dki-jakarta-cilandak/10410004,Porsche,718,Cayman,2500,Automatic,300,1988 cc,2,2,Pertamax,Orange,2020,DKI Jakarta,Cilandak
2013 Porsche Cayman 2.7 Coupe,I am interested in your car on Mobil123.com - 2013 Porsche Cayman 2.7 Coupe (Rp 1.375.000.000). https://www.mobil123.com/dijual/porsche-cayman-dki-jakarta-kelapa-gading/10670185.,https://www.mobil123.com/dijual/porsche-cayman-dki-jakarta-kelapa-gading/10670185,Porsche,Cayman,,17500,Automatic,275,2706 cc,2,2,Pertamax,Kuning,2013,DKI Jakarta,Kelapa Gading
2011 Porsche Cayenne 3.6 SUV,I am interested in your car on Mobil123.com - 2011 Porsche Cayenne SUV (Rp 700.000.000). https://www.mobil123.com/dijual/porsche-cayenne-dki-jakarta-pantai-mutiara/10424479.,https://www.mobil123.com/dijual/porsche-cayenne-dki-jakarta-pantai-mutiara/10424479,Porsche,Cayenne,,42500,Automatic,300,3598 cc,5,5,Pertamax,Abu-abu,2011,DKI Jakarta,Pantai Mutiara
2013 Porsche Cayman 2.7 Coupe,I am interested in your car on Mobil123.com - 2013 Porsche Cayman 2.7 Coupe (Rp 1.375.000.000). https://www.mobil123.com/dijual/porsche-cayman-dki-jakarta-kebayoran-baru/10665612.,https://www.mobil123.com/dijual/porsche-cayman-dki-jakarta-kebayoran-baru/10665612,Porsche,Cayman,,12500,Automatic,275,2706 cc,2,2,Pertamax,Kuning,2013,DKI Jakarta,Kebayoran Baru
2012 Porsche 911 3.4 Carrera Coupe,I am interested in your car on Mobil123.com - 2012 Porsche 911 3.4 Carrera Coupe (Rp 2.750.000.000). https://www.mobil123.com/dijual/porsche-911-carrera-dki-jakarta-bintaro/10138425.,https://www.mobil123.com/dijual/porsche-911-carrera-dki-jakarta-bintaro/10138425,Porsche,911,Carrera,2500,Automatic,350,3436 cc,2,4,Pertamax,Putih,2012,DKI Jakarta,Bintaro
2019 Porsche 911 3.0 Carrera S Coupe,"I am interested in your car on Mobil123.com - 2019 Porsche 911 3,0 Carrera S Coupe (Rp 4.400.000.000). https://www.mobil123.com/dijual/porsche-911-carrera-s-dki-jakarta-sunter/10664891.",https://www.mobil123.com/dijual/porsche-911-carrera-s-dki-jakarta-sunter/10664891,Porsche,911,Carrera S,2000,Automatic,444,2981 cc,2,4,Pertamax,Biru,2019,DKI Jakarta,Sunter
2020 Porsche 911 3.0 Carrera S Coupe,"I am interested in your car on Mobil123.com - 2020 Porsche 911 3,0 Carrera S Coupe (Rp 4.645.000.000). https://www.mobil123.com/dijual/porsche-911-carrera-s-dki-jakarta-sunter/10663992.",https://www.mobil123.com/dijual/porsche-911-carrera-s-dki-jakarta-sunter/10663992,Porsche,911,Carrera S,1138,Automatic,444,2981 cc,2,4,Pertamax,Merah,2020,DKI Jakarta,Sunter
2012 Porsche Cayenne 3.6 SUV,I am interested in your car on Mobil123.com - 2012 Porsche Cayenne 3.6 SUV (Rp 695.000.000). https://www.mobil123.com/dijual/porsche-cayenne-dki-jakarta-kelapa-gading/10659209.,https://www.mobil123.com/dijual/porsche-cayenne-dki-jakarta-kelapa-gading/10659209,Porsche,Cayenne,,32500,Automatic,300,3598 cc,5,5,Pertamax,Hitam,2012,DKI Jakarta,Kelapa Gading
2013 Porsche Boxster 2.7 Convertible,I am interested in your car on Mobil123.com - 2013 Porsche Boxster 2.7 981 Convertible (Rp 1.405.000.000). https://www.mobil123.com/dijual/porsche-boxster-dki-jakarta-cilandak/9103108.,https://www.mobil123.com/dijual/porsche-boxster-dki-jakarta-cilandak/9103108,Porsche,Boxster,,9000,Automatic,265,2706 cc,2,2,Pertamax,Hitam,2013,DKI Jakarta,Cilandak
2017 Porsche 718 2.5 Cayman  S Coupe,I am interested in your car on Mobil123.com - 2017 Porsche 718 2.5 Cayman  S Coupe Sport Chrono LAVA ORANGE 2017 Cash Kredit NEGO (Rp 2.190.000.000). https://www.mobil123.com/dijual/porsche-718-cayman-s-banten-taman-royal/9858393.,https://www.mobil123.com/dijual/porsche-718-cayman-s-banten-taman-royal/9858393,Porsche,718,Cayman  S,17500,Automatic,350,2497 cc,2,2,Pertamax,Orange,2017,Banten,Taman Royal
2013 Porsche Cayenne 3.6 SUV,I am interested in your car on Mobil123.com - 2013 Porsche Cayenne 3.6 SUV (Rp 695.000.000). https://www.mobil123.com/dijual/porsche-cayenne-dki-jakarta-kemayoran/10656461.,https://www.mobil123.com/dijual/porsche-cayenne-dki-jakarta-kemayoran/10656461,Porsche,Cayenne,,47500,Automatic,300,3598 cc,5,5,Pertamax,Hitam,2013,DKI Jakarta,Kemayoran
2019 Porsche 911 3.0 Carrera S Coupe,I am interested in your car on Mobil123.com - 2019 Porsche 911 3.0 Carrera S Coupe (Rp 4.400.000.000). https://www.mobil123.com/dijual/porsche-911-carrera-s-dki-jakarta-pondok-indah/8907561.,https://www.mobil123.com/dijual/porsche-911-carrera-s-dki-jakarta-pondok-indah/8907561,Porsche,911,Carrera S,2000,Automatic,444,2981 cc,2,4,Pertamax,Biru,2019,DKI Jakarta,Pondok Indah
2011 Porsche Cayman 2.9 Coupe,I am interested in your car on Mobil123.com - 2011 Porsche Cayman 2.9 Coupe (Rp 950.000.000). https://www.mobil123.com/dijual/porsche-cayman-dki-jakarta-gandaria/10648029.,https://www.mobil123.com/dijual/porsche-cayman-dki-jakarta-gandaria/10648029,Porsche,Cayman,,17500,Automatic,265,2893 cc,2,2,Pertamax,Putih,2011,DKI Jakarta,Gandaria
2010 Porsche Cayenne 4.8 Turbo SUV,I am interested in your car on Mobil123.com - 2010 Porsche Cayenne 4.8 Turbo SUV GTS Porsche Design Edition 3 (Rp 950.000.000). https://www.mobil123.com/dijual/porsche-cayenne-turbo-dki-jakarta-gambir/8382779.,https://www.mobil123.com/dijual/porsche-cayenne-turbo-dki-jakarta-gambir/8382779,Porsche,Cayenne,Turbo,27500,Automatic,490,4806 cc,5,5,Pertamax,Abu-abu,2010,DKI Jakarta,Gambir
2013 Porsche Cayman 2.7 Coupe,I am interested in your car on Mobil123.com - 2013 Porsche Cayman 2.7 981 Coupe (Rp 1.343.000.000). https://www.mobil123.com/dijual/porsche-cayman-dki-jakarta-mangga-dua/8917437.,https://www.mobil123.com/dijual/porsche-cayman-dki-jakarta-mangga-dua/8917437,Porsche,Cayman,,16000,Automatic,275,2706 cc,2,2,Pertamax,Kuning,2013,DKI Jakarta,Mangga Dua
2011 Porsche 911 3.8 Turbo S Coupe,I am interested in your car on Mobil123.com - 2011 Porsche Carrera Turbo S 3.8 (Rp 6.600.000.000). https://www.mobil123.com/dijual/porsche-911-turbo-s-dki-jakarta-kebayoran-baru/10353005.,https://www.mobil123.com/dijual/porsche-911-turbo-s-dki-jakarta-kebayoran-baru/10353005,Porsche,911,Turbo S,12500,Automatic,523,3800 cc,2,4,Pertamax,Putih,2011,DKI Jakarta,Kebayoran Baru
2018 Porsche 718 2.0 Cayman Coupe,I am interested in your car on Mobil123.com - 2018 Porsche 718 2.0 Cayman Coupe AT Racing Yellow - VERY LOW KM 1RIBU ASLI SUPER ANTIK SERVICE RECORD - LIKE NEW - PERFECT CONDITION - READY TO USE (Rp 2.175.000.000). https://www.mobil123.com/dijual/porsche-718-cayman-dki-jakarta-gunung-sahari/9774977.,https://www.mobil123.com/dijual/porsche-718-cayman-dki-jakarta-gunung-sahari/9774977,Porsche,718,Cayman,2500,Automatic,300,1988 cc,2,2,Pertamax,Kuning,2018,DKI Jakarta,Gunung Sahari
2013 Porsche Cayman 2.7 Coupe,I am interested in your car on Mobil123.com - 2013 Porsche Cayman 2.7 Coupe (Rp 1.340.000.000). https://www.mobil123.com/dijual/porsche-cayman-dki-jakarta-bintaro/10570806.,https://www.mobil123.com/dijual/porsche-cayman-dki-jakarta-bintaro/10570806,Porsche,Cayman,,22500,Automatic,275,2706 cc,2,2,Pertamax,Merah,2013,DKI Jakarta,Bintaro
