display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2011 smart fortwo 1.0 Passion Coupe,I am interested in your car on Mobil123.com - 2011 smart fortwo 1.0 Passion Coupe AT  Orange Metallic - LOW KM 20RIBUAN ASLI SUPER ANTIK - VERY GOOD CONDITION - RARE ITEM - READY TO USE (Rp 225.000.000). https://www.mobil123.com/dijual/smart-fortwo-passion-dki-jakarta-mangga-dua/10282099.,https://www.mobil123.com/dijual/smart-fortwo-passion-dki-jakarta-mangga-dua/10282099,smart,fortwo,Passion,27500,Automatic,71,999 cc,2,2,Pertamax,Orange,2011,DKI Jakarta,Mangga Dua
2011 smart fortwo 1.0 Passion Coupe,I am interested in your car on Mobil123.com - 2011 smart fortwo 1.0 Passion Coupe ISTIMEWA (Rp 189.000.000). https://www.mobil123.com/dijual/smart-fortwo-passion-jawa-barat-pungkur/8564427.,https://www.mobil123.com/dijual/smart-fortwo-passion-jawa-barat-pungkur/8564427,smart,fortwo,Passion,47500,Automatic,71,999 cc,2,2,Pertamax,Putih,2011,Jawa Barat,Pungkur
2013 smart fortwo 1.0 Passion Coupe,I am interested in your car on Mobil123.com - Smart Fortwo Passion Sean Wotherspoon Facelift 2013.. (Rp 250.000.000). https://www.mobil123.com/dijual/smart-fortwo-passion-jawa-barat-bandung/10618377.,https://www.mobil123.com/dijual/smart-fortwo-passion-jawa-barat-bandung/10618377,smart,fortwo,Passion,20000,Automatic,71,999 cc,2,2,Pertamax,Abu-abu,2013,Jawa Barat,Bandung
2013 smart fortwo 1.0 Passion Coupe,I am interested in your car on Mobil123.com - Smart Fortwo Facelift Passion White 2013 KM 20rb ANTIK (Rp 250.000.000). https://www.mobil123.com/dijual/smart-fortwo-passion-jawa-barat-bandung/10618065.,https://www.mobil123.com/dijual/smart-fortwo-passion-jawa-barat-bandung/10618065,smart,fortwo,Passion,20000,Automatic,71,999 cc,2,2,Pertamax,Putih,2013,Jawa Barat,Bandung
2013 smart fortwo 1.0 Passion Coupe,I am interested in your car on Mobil123.com - 2013 smart fortwo 1.0 Passion Silver On Red Km 10Rb  (Rp 270.000.000). https://www.mobil123.com/dijual/smart-fortwo-passion-dki-jakarta-kelapa-gading/10579755.,https://www.mobil123.com/dijual/smart-fortwo-passion-dki-jakarta-kelapa-gading/10579755,smart,fortwo,Passion,10000,Automatic,71,999 cc,2,2,Pertamax,Silver,2013,DKI Jakarta,Kelapa Gading
2010 smart fortwo 1.0 Compact Car City Car,I am interested in your car on Mobil123.com - Smart fortwo 1.0 Base Spec Compact Car City Car at 2010 hitam dp murah panoramic  (Rp 179.500.000). https://www.mobil123.com/dijual/smart-fortwo-dki-jakarta-mangga-dua/10522902.,https://www.mobil123.com/dijual/smart-fortwo-dki-jakarta-mangga-dua/10522902,smart,fortwo,,60000,Automatic,71,999 cc,2,2,Pertamax,Hitam,2010,DKI Jakarta,Mangga Dua
2011 smart fortwo 1.0 Passion Coupe,I am interested in your car on Mobil123.com - 2011 smart fortwo 1.0 Passion Coupe Very Good Condition with Brand New Parts (Rp 275.000.000). https://www.mobil123.com/dijual/smart-fortwo-passion-jawa-tengah-solo/10566455.,https://www.mobil123.com/dijual/smart-fortwo-passion-jawa-tengah-solo/10566455,smart,fortwo,Passion,17500,Automatic,71,999 cc,2,2,Pertamax,Merah,2011,Jawa Tengah,Solo
2011 smart fortwo 1.0 Passion Cabriolet,"I am interested in your car on Mobil123.com - 2011 smart fortwo 1,0 Passion Cabriolet (Plat D Ganjil) (Rp 265.000.000). https://www.mobil123.com/dijual/smart-fortwo-passion-dki-jakarta-cirendeu/10179069.",https://www.mobil123.com/dijual/smart-fortwo-passion-dki-jakarta-cirendeu/10179069,smart,fortwo,Passion,40000,Automatic,71,999 cc,2,2,Pertamax,Merah,2011,DKI Jakarta,Cirendeu
2010 smart fortwo 1.0 Compact Car City Car,I am interested in your car on Mobil123.com - 2010 smart fortwo 1.0 Base Spec Compact Car City Car (Rp 179.500.000). https://www.mobil123.com/dijual/smart-fortwo-dki-jakarta-menteng/10528954.,https://www.mobil123.com/dijual/smart-fortwo-dki-jakarta-menteng/10528954,smart,fortwo,,60000,Automatic,71,999 cc,2,2,Pertamax,Hitam,2010,DKI Jakarta,Menteng
2011 smart fortwo 1.0 Passion Coupe,I am interested in your car on Mobil123.com - 2011 smart fortwo 1.0 Passion Coupe (Rp 260.000.000). https://www.mobil123.com/dijual/smart-fortwo-passion-jawa-timur-bratang-binangun/9688669.,https://www.mobil123.com/dijual/smart-fortwo-passion-jawa-timur-bratang-binangun/9688669,smart,fortwo,Passion,27500,Automatic,71,999 cc,2,2,Pertamax,Putih,2011,Jawa Timur,Bratang Binangun
2006 smart Roadster 0.7 Convertible,I am interested in your car on Mobil123.com - 2006 smart Roadster 0.7 Convertible (Rp 388.000.000). https://www.mobil123.com/dijual/smart-roadster-jawa-timur-bratang-binangun/9205872.,https://www.mobil123.com/dijual/smart-roadster-jawa-timur-bratang-binangun/9205872,smart,Roadster,,12500,Automatic,80,698 cc,2,2,Pertamax,Abu-abu,2006,Jawa Timur,Bratang Binangun
2011 smart fortwo 1.0 Passion Coupe,I am interested in your car on Mobil123.com - 2011 smart fortwo 1.0 Passion Coupe  Panoramic CBU AT Biru Muda - VERY LOW KM 15RIBU ASLI ANTIK - VERY GOOD CONDITION - RARE ITEM - READY TO USE (Rp 199.000.000). https://www.mobil123.com/dijual/smart-fortwo-passion-dki-jakarta-pademangan/9553774.,https://www.mobil123.com/dijual/smart-fortwo-passion-dki-jakarta-pademangan/9553774,smart,fortwo,Passion,12500,Automatic,71,999 cc,2,2,Pertamax,Biru,2011,DKI Jakarta,Pademangan
2011 smart fortwo 1.0 Passion Coupe,I am interested in your car on Mobil123.com - 2011 smart fortwo 1.0 Passion Coupe orange km27rban cash kredit bisa (Rp 225.000.000). https://www.mobil123.com/dijual/smart-fortwo-passion-dki-jakarta-mangga-dua/10286933.,https://www.mobil123.com/dijual/smart-fortwo-passion-dki-jakarta-mangga-dua/10286933,smart,fortwo,Passion,27500,Automatic,71,999 cc,2,2,Pertamax,Orange,2011,DKI Jakarta,Mangga Dua
