display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2017 Suzuki Ertiga 1.4 GL MPV,I am interested in your car on Mobil123.com - 2017 Suzuki Ertiga 1.4 GL MPV (Rp 129.900.000). https://www.mobil123.com/dijual/suzuki-ertiga-gl-jawa-barat-depok/10748505.,https://www.mobil123.com/dijual/suzuki-ertiga-gl-jawa-barat-depok/10748505,Suzuki,Ertiga,GL,142500,Automatic,91,1373 cc,5,7,Pertamax,Putih,2017,Jawa Barat,Depok
2020 Suzuki Jimny 1.5 Wagon,I am interested in your car on Mobil123.com - 2020 Suzuki Jimny 1.5 Wagon (Rp 485.000.000). https://www.mobil123.com/dijual/suzuki-jimny-dki-jakarta-menteng/10180062.,https://www.mobil123.com/dijual/suzuki-jimny-dki-jakarta-menteng/10180062,Suzuki,Jimny,,7500,Automatic,101,1462 cc,3,4,Pertamax,Biru,2020,DKI Jakarta,Menteng
2016 Suzuki Ertiga 1.4 GL MPV,I am interested in your car on Mobil123.com - 2016 Suzuki Ertiga 1.4 GL MPV (Rp 119.900.000). https://www.mobil123.com/dijual/suzuki-ertiga-gl-jawa-barat-depok/10748421.,https://www.mobil123.com/dijual/suzuki-ertiga-gl-jawa-barat-depok/10748421,Suzuki,Ertiga,GL,132500,Manual,91,1373 cc,5,7,Pertamax,Marun,2016,Jawa Barat,Depok
2019 Suzuki Ertiga 1.5 Sport MPV,I am interested in your car on Mobil123.com - 2019 Suzuki Ertiga 1.5 Sport MPV - Garansi Mesin & Transmisi 1 Tahun (Rp 215.000.000). https://www.mobil123.com/dijual/suzuki-ertiga-sport-jawa-timur-gresik/10748407.,https://www.mobil123.com/dijual/suzuki-ertiga-sport-jawa-timur-gresik/10748407,Suzuki,Ertiga,Sport,62500,Automatic,103,1462 cc,5,7,Pertamax,Putih,2019,Jawa Timur,Gresik
2019 Suzuki Baleno 1.4 Hatchback,I am interested in your car on Mobil123.com - 2019 Suzuki Baleno 1.4 Hatchback (Rp 209.000.000). https://www.mobil123.com/dijual/suzuki-baleno-dki-jakarta-bintaro/10748354.,https://www.mobil123.com/dijual/suzuki-baleno-dki-jakarta-bintaro/10748354,Suzuki,Baleno,,27500,Automatic,91,1373 cc,5,5,Pertamax,Hitam,2019,DKI Jakarta,Bintaro
2017 Suzuki Baleno 1.4 GL Hatchback,I am interested in your car on Mobil123.com - 2017 Suzuki Baleno 1.4 GL Hatchback GARANSI 1 TAHUN TIDAK BEKAS BANJIR ATAU TABTAKAN BESAR (Rp 167.000.000). https://www.mobil123.com/dijual/suzuki-baleno-gl-jawa-barat-sudirman/10748334.,https://www.mobil123.com/dijual/suzuki-baleno-gl-jawa-barat-sudirman/10748334,Suzuki,Baleno,GL,32500,Manual,91,1373 cc,5,5,Pertamax,Silver,2017,Jawa Barat,Sudirman
2017 Suzuki Baleno 1.4 GL Hatchback,I am interested in your car on Mobil123.com - 2017 Suzuki Baleno 1.4 GL Hatchback GARANSI 1 TAHUN TIDAK BEKAS BANJIR ATAU TABRAKAN BESAR (Rp 167.000.000). https://www.mobil123.com/dijual/suzuki-baleno-gl-jawa-barat-sukahaji/10748309.,https://www.mobil123.com/dijual/suzuki-baleno-gl-jawa-barat-sukahaji/10748309,Suzuki,Baleno,GL,32500,Manual,91,1373 cc,5,5,Pertamax,Silver,2017,Jawa Barat,Sukahaji
2009 Suzuki Swift 1.5 GT2 Hatchback,I am interested in your car on Mobil123.com - 2009 Suzuki Swift 1.5 GT2 Hatchback (Rp 89.900.000). https://www.mobil123.com/dijual/suzuki-swift-gt2-jawa-barat-depok/10748280.,https://www.mobil123.com/dijual/suzuki-swift-gt2-jawa-barat-depok/10748280,Suzuki,Swift,GT2,157500,Automatic,99,1490 cc,5,5,Pertamax,Silver,2009,Jawa Barat,Depok
2017 Suzuki Baleno 1.4 GL Hatchback,I am interested in your car on Mobil123.com - 2017 Suzuki Baleno 1.4 GL Hatchback GARANSI 1 TAHUN TIDAK BEKAS BANJIR ATAU TABRAKAN BESAR (Rp 167.000.000). https://www.mobil123.com/dijual/suzuki-baleno-gl-jawa-barat-sukajadi/10748247.,https://www.mobil123.com/dijual/suzuki-baleno-gl-jawa-barat-sukajadi/10748247,Suzuki,Baleno,GL,32500,Manual,91,1373 cc,5,5,Pertamax,Silver,2017,Jawa Barat,Sukajadi
2017 Suzuki Baleno 1.4 GL Hatchback,I am interested in your car on Mobil123.com - 2017 Suzuki Baleno 1.4 GL Hatchback GARANSI 1 TAHUN TIDAK BEKAS BANJIR ATAU TABRAKAN BESAR (Rp 167.000.000). https://www.mobil123.com/dijual/suzuki-baleno-gl-jawa-barat-sukasari/10748205.,https://www.mobil123.com/dijual/suzuki-baleno-gl-jawa-barat-sukasari/10748205,Suzuki,Baleno,GL,32500,Manual,91,1373 cc,5,5,Pertamax,Silver,2017,Jawa Barat,Sukasari
