display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2015 Tata Super Ace 1.4 DLS Pick-up,I am interested in your car on Mobil123.com - 2015 Tata Super Ace 1.4 DLS Pick-up Putih #Kondisi Baik (Rp 67.000.000). https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-gubeng/10078676.,https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-gubeng/10078676,Tata,Super Ace,DLS,37500,Manual,70,1405 cc,2,2,Solar,Putih,2015,Jawa Timur,Gubeng
2015 Tata Super Ace 1.4 DLS Pick-up,I am interested in your car on Mobil123.com - 2015 Tata Super Ace 1.4 DLS Pick-up Hitam #Kondisi Baik (Rp 63.000.000). https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-asemrowo/10078666.,https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-asemrowo/10078666,Tata,Super Ace,DLS,42500,Manual,70,1405 cc,2,2,Solar,Hitam,2015,Jawa Timur,Asemrowo
2016 Tata Super Ace 1.4 DLS Pick-up,I am interested in your car on Mobil123.com - 2016 Tata Super Ace 1.4 DLS Pick-up Hitam #Kondisi Baik (Rp 70.000.000). https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-jemur/10078628.,https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-jemur/10078628,Tata,Super Ace,DLS,47500,Manual,70,1405 cc,2,2,Solar,Hitam,2016,Jawa Timur,Jemur
2017 Tata Super Ace 1.4 DLS Pick-up,I am interested in your car on Mobil123.com - 2017 Tata Super Ace 1.4 DLS Pick-up Putih #Kondisi Baik (Rp 74.000.000). https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-wonoayu/10078602.,https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-wonoayu/10078602,Tata,Super Ace,DLS,32500,Manual,70,1405 cc,2,2,Solar,Putih,2017,Jawa Timur,Wonoayu
2017 Tata Super Ace 1.4 HT DLS Pick-up,I am interested in your car on Mobil123.com - 2017 Tata Super Ace 1.4 HT DLS Pick-up Putih #Kondisi Baik (Rp 82.000.000). https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-wadungasri/10078005.,https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-wadungasri/10078005,Tata,Super Ace,HT DLS,37500,Manual,70,1405 cc,2,2,Solar,Putih,2017,Jawa Timur,Wadungasri
2018 Tata Super Ace 1.4 HT DLS Pick-up,I am interested in your car on Mobil123.com - 2018 Tata Super Ace 1.4 HT DLS Pick-up Putih #Kondisi Baik (Rp 85.000.000). https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-sedati/10077958.,https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-sedati/10077958,Tata,Super Ace,HT DLS,32500,Manual,70,1405 cc,2,2,Solar,Putih,2018,Jawa Timur,Sedati
2018 Tata Super Ace 1.4 HT DLS Pick-up,I am interested in your car on Mobil123.com - 2018 Tata Super Ace 1.4 HT DLS Pick-up Hitam #Kondisi Baik (Rp 85.000.000). https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-pondok-tjandra/10077936.,https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-pondok-tjandra/10077936,Tata,Super Ace,HT DLS,22500,Manual,70,1405 cc,2,2,Solar,Hitam,2018,Jawa Timur,Pondok Tjandra
2018 Tata Super Ace 1.4 HT DLS Pick-up,I am interested in your car on Mobil123.com - 2018 Tata Super Ace 1.4 HT DLS Pick-up Putih #Kondisi Baik (Rp 85.000.000). https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-wiyung/10077909.,https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-wiyung/10077909,Tata,Super Ace,HT DLS,22500,Manual,70,1405 cc,2,2,Solar,Putih,2018,Jawa Timur,Wiyung
2018 Tata Super Ace 1.4 HT DLS Pick-up,I am interested in your car on Mobil123.com - 2018 Tata Super Ace 1.4 HT DLS Pick-up Abu #Kondisi Baik (Rp 87.000.000). https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-tambak-anakan/10077872.,https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-tambak-anakan/10077872,Tata,Super Ace,HT DLS,37500,Manual,70,1405 cc,2,2,Solar,Abu-abu,2018,Jawa Timur,Tambak Anakan
2018 Tata Super Ace 1.4 HT DLS Pick-up,I am interested in your car on Mobil123.com - 2018 Tata Super Ace 1.4 HT DLS Pick-up Hitam #Kondisi Baik (Rp 80.000.000). https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-kebomas/10071859.,https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-kebomas/10071859,Tata,Super Ace,HT DLS,27500,Manual,70,1405 cc,2,2,Solar,Hitam,2018,Jawa Timur,Kebomas
2019 Tata Super Ace 1.4 HT DLS Pick-up,I am interested in your car on Mobil123.com - 2019 Tata Super Ace 1.4 HT DLS Pick-up Putih #Kondisi Baik (Rp 87.000.000). https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-wringinanom/10071568.,https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-wringinanom/10071568,Tata,Super Ace,HT DLS,2500,Manual,70,1405 cc,2,2,Solar,Putih,2019,Jawa Timur,Wringinanom
2019 Tata Super Ace 1.4 HT DLS Pick-up,I am interested in your car on Mobil123.com - 2019 Tata Super Ace 1.4 HT DLS Pick-up Hitam #Kondisi Baik (Rp 85.000.000). https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-gedangan/10071439.,https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-timur-gedangan/10071439,Tata,Super Ace,HT DLS,2500,Manual,70,1405 cc,2,2,Solar,Hitam,2019,Jawa Timur,Gedangan
2015 Tata Super Ace 1.4 DLS Pick-up,I am interested in your car on Mobil123.com - 2015 Tata Super Ace 1.4 DLS Pick-up Putih #Kondisi Baik (Rp 74.000.000). https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-gedangan/10070384.,https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-gedangan/10070384,Tata,Super Ace,DLS,37500,Manual,70,1405 cc,2,2,Solar,Putih,2015,Jawa Timur,Gedangan
2015 Tata Super Ace 1.4 DLS Pick-up,I am interested in your car on Mobil123.com - 2015 Tata Super Ace 1.4 DLS Pick-up Putih #Kondisi Baik (Rp 72.000.000). https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-tambak-anakan/10068730.,https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-tambak-anakan/10068730,Tata,Super Ace,DLS,47500,Manual,70,1405 cc,2,2,Solar,Putih,2015,Jawa Timur,Tambak Anakan
2015 Tata Xenon 3.0 RX Pick-up,I am interested in your car on Mobil123.com - 2015 Tata Xenon 3.0 RX Pick-up Hitam #Kondisi Baik (Rp 85.000.000). https://www.mobil123.com/dijual/tata-xenon-rx-jawa-timur-waru/10068569.,https://www.mobil123.com/dijual/tata-xenon-rx-jawa-timur-waru/10068569,Tata,Xenon,RX,57500,Manual,72,2956 cc,2,2,Solar,Hitam,2015,Jawa Timur,Waru
2017 Tata Super Ace 1.4 DLS Pick-up,I am interested in your car on Mobil123.com - 2017 Tata Super Ace 1.4 DLS Pick-up Putih #Kondisi Baik (Rp 85.000.000). https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-perak/10068510.,https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-perak/10068510,Tata,Super Ace,DLS,37500,Manual,70,1405 cc,2,2,Solar,Putih,2017,Jawa Timur,Perak
2017 Tata Xenon 3.0 RX Pick-up,I am interested in your car on Mobil123.com - 2017 Tata Xenon 3.0 RX Pick-up Putih #Kondisi Baik (Rp 100.000.000). https://www.mobil123.com/dijual/tata-xenon-rx-jawa-timur-cerme/10068306.,https://www.mobil123.com/dijual/tata-xenon-rx-jawa-timur-cerme/10068306,Tata,Xenon,RX,32500,Manual,72,2956 cc,2,2,Solar,Putih,2017,Jawa Timur,Cerme
2019 Tata Ace 0.7 EX2 Pick-up,I am interested in your car on Mobil123.com - 2019 Tata Ace 0.7 EX2 Pick-up Putih #Kondisi Baik (Rp 64.000.000). https://www.mobil123.com/dijual/tata-ace-ex2-jawa-timur-buduran/10068247.,https://www.mobil123.com/dijual/tata-ace-ex2-jawa-timur-buduran/10068247,Tata,Ace,EX2,2500,Manual,16,702 cc,2,2,Solar,Putih,2019,Jawa Timur,Buduran
2014 Tata Safari 2.2 EX Storme SUV,I am interested in your car on Mobil123.com - 2014 Tata Safari 2.2 EX Storme SUV Coklat #Kondisi Baik (Rp 110.000.000). https://www.mobil123.com/dijual/tata-safari-ex-storme-jawa-timur-waru/10044531.,https://www.mobil123.com/dijual/tata-safari-ex-storme-jawa-timur-waru/10044531,Tata,Safari,EX Storme,62500,Manual,140,2179 cc,5,7,Solar,Coklat,2014,Jawa Timur,Waru
2014 Tata Super Ace 1.4 DLS Pick-up,"I am interested in your car on Mobil123.com - 2014 Tata Super Ace 1,4 DLS Pick-up BOX Dijual Di Malang (Rp 55.000.000). https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-malang-kota/10580011.",https://www.mobil123.com/dijual/tata-super-ace-dls-jawa-timur-malang-kota/10580011,Tata,Super Ace,DLS,170000,Manual,70,1405 cc,2,2,Solar,Putih,2014,Jawa Timur,Malang Kota
2015 Tata Super Ace 1.4 DLS Pick-up,I am interested in your car on Mobil123.com - JUAL CEPAT BU 2015 Tata Super Ace 1.4 DLS Box (Rp 79.000.000). https://www.mobil123.com/dijual/tata-super-ace-dls-dki-jakarta-kelapa-gading-pegangsaan-dua/10267116.,https://www.mobil123.com/dijual/tata-super-ace-dls-dki-jakarta-kelapa-gading-pegangsaan-dua/10267116,Tata,Super Ace,DLS,13015,Manual,70,1405 cc,2,2,Solar,Putih,2015,DKI Jakarta,Kelapa Gading Pegangsaan Dua
2018 Tata Super Ace 1.4 HT DLS Pick-up,"I am interested in your car on Mobil123.com - 2018 Tata Super Ace 1,4 HT DLS Pick-up Box Diesel Cash/Credit (Rp 95.000.000). https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-barat-soekarno-hatta/10075807.",https://www.mobil123.com/dijual/tata-super-ace-ht-dls-jawa-barat-soekarno-hatta/10075807,Tata,Super Ace,HT DLS,160000,Manual,70,1405 cc,2,2,Solar,Putih,2018,Jawa Barat,Soekarno Hatta
2018 Tata Ace 0.7 EX2 Pick-up,I am interested in your car on Mobil123.com - 2018 Tata Ace 0.7 EX2 Pick-up (Rp 89.000.000). https://www.mobil123.com/dijual/tata-ace-ex2-kalimantan-barat-pontianak-kota/9763446.,https://www.mobil123.com/dijual/tata-ace-ex2-kalimantan-barat-pontianak-kota/9763446,Tata,Ace,EX2,47500,Manual,16,702 cc,2,2,Solar,Hitam,2018,Kalimantan Barat,Pontianak Kota
