display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2007 Volvo XC90 2.9 T-6 SUV,I am interested in your car on Mobil123.com - 2007 Volvo XC90 2.9 T-6 SUV (Rp 195.000.000). https://www.mobil123.com/dijual/volvo-xc90-t-6-dki-jakarta-kemayoran/10554186.,https://www.mobil123.com/dijual/volvo-xc90-t-6-dki-jakarta-kemayoran/10554186,Volvo,XC90,T-6,107500,Automatic,280,2922 cc,5,7,Pertamax,Hitam,2007,DKI Jakarta,Kemayoran
2002 Volvo S80 2.9 Sedan,I am interested in your car on Mobil123.com - 2002 Volvo S80 2.9 Series 1 Sedan LIMOUSINE (Rp 395.000.000). https://www.mobil123.com/dijual/volvo-s80-dki-jakarta-kemayoran/7979006.,https://www.mobil123.com/dijual/volvo-s80-dki-jakarta-kemayoran/7979006,Volvo,S80,,52500,Automatic,200,2922 cc,4,5,Pertamax,Putih,2002,DKI Jakarta,Kemayoran
1976 Volvo 244 2.0 DL Sedan,I am interested in your car on Mobil123.com - 1976 Volvo 244 2.0 DL Sedan off 2012 Plat AG mujiono bisa tukar tambah sekoto (Rp 29.000.000). https://www.mobil123.com/dijual/volvo-244-dl-jawa-timur-kediri/10291431.,https://www.mobil123.com/dijual/volvo-244-dl-jawa-timur-kediri/10291431,Volvo,244,DL,297500,Manual,200,1986 cc,4,5,Pertamax,Biru,1976,Jawa Timur,Kediri
2004 Volvo S80 2.3 Sedan,I am interested in your car on Mobil123.com - 2004 Volvo S80 2.3 Series 1 Sedan (Rp 88.000.000). https://www.mobil123.com/dijual/volvo-s80-dki-jakarta-kebon-jeruk/9992389.,https://www.mobil123.com/dijual/volvo-s80-dki-jakarta-kebon-jeruk/9992389,Volvo,S80,,130000,Automatic,200,2319 cc,4,5,Pertamax,Silver,2004,DKI Jakarta,Kebon Jeruk
1996 Volvo 960 2.3 Sedan,I am interested in your car on Mobil123.com - 1996 Volvo 960 2.3 Sedan (Rp 38.000.000). https://www.mobil123.com/dijual/volvo-960-jawa-tengah-bawen/10051870.,https://www.mobil123.com/dijual/volvo-960-jawa-tengah-bawen/10051870,Volvo,960,,128700,Automatic,200,2316 cc,4,5,Pertamax,Abu-abu,1996,Jawa Tengah,Bawen
1996 Volvo 850 2.0 Sedan,I am interested in your car on Mobil123.com - Jual Mobil Bekas Volvo 850 tahun 1996 Cimanggis Di Jamin Harga Murah (Rp 33.000.100). https://www.mobil123.com/dijual/volvo-850-jawa-barat-cimanggis/10532894.,https://www.mobil123.com/dijual/volvo-850-jawa-barat-cimanggis/10532894,Volvo,850,,57500,Automatic,200,1984 cc,4,5,Pertamax,Hitam,1996,Jawa Barat,Cimanggis
1998 Volvo S90 2.9 Executive Sedan,I am interested in your car on Mobil123.com - 1998 Volvo S90 Executive Sedan (Rp 65.000.000). https://www.mobil123.com/dijual/volvo-s90-executive-dki-jakarta-pesanggarahan/10474257.,https://www.mobil123.com/dijual/volvo-s90-executive-dki-jakarta-pesanggarahan/10474257,Volvo,S90,Executive,297500,Automatic,200,2922 cc,4,5,Pertamax,Hitam,1998,DKI Jakarta,Pesanggarahan
2011 Volvo XC60 2.0 T5 SUV,I am interested in your car on Mobil123.com - 2011 Volvo XC60 2.0 T5 SUV (Rp 225.000.000). https://www.mobil123.com/dijual/volvo-xc60-t5-dki-jakarta-kebayoran-baru/10397408.,https://www.mobil123.com/dijual/volvo-xc60-t5-dki-jakarta-kebayoran-baru/10397408,Volvo,XC60,T5,97500,Automatic,240,1999 cc,5,5,Pertamax,Hitam,2011,DKI Jakarta,Kebayoran Baru
2004 Volvo XC90 2.9 T-6 SUV,I am interested in your car on Mobil123.com - 2004 Volvo XC90 2.9 T-6 SUV (Rp 169.000.000). https://www.mobil123.com/dijual/volvo-xc90-t-6-dki-jakarta-kebayoran-baru/9814880.,https://www.mobil123.com/dijual/volvo-xc90-t-6-dki-jakarta-kebayoran-baru/9814880,Volvo,XC90,T-6,132500,Automatic,280,2922 cc,5,7,Pertamax,Hitam,2004,DKI Jakarta,Kebayoran Baru
2011 Volvo XC60 2.0 T5 SUV,I am interested in your car on Mobil123.com - 2011 Volvo XC60 2.0 T5 SUV (Rp 225.000.000). https://www.mobil123.com/dijual/volvo-xc60-t5-dki-jakarta-kelapa-gading/10305477.,https://www.mobil123.com/dijual/volvo-xc60-t5-dki-jakarta-kelapa-gading/10305477,Volvo,XC60,T5,117500,Automatic,240,1999 cc,5,5,Pertamax,Hitam,2011,DKI Jakarta,Kelapa Gading
2001 Volvo S80 2.9 Sedan,I am interested in your car on Mobil123.com - 2001 Volvo S80 2.9 Sedan (Rp 60.000.000). https://www.mobil123.com/dijual/volvo-s80-jawa-barat-bandung-kidul/10305231.,https://www.mobil123.com/dijual/volvo-s80-jawa-barat-bandung-kidul/10305231,Volvo,S80,,72500,Automatic,200,2922 cc,4,5,Pertamax,Biru,2001,Jawa Barat,Bandung Kidul
2011 Volvo XC60 2.0 T5 SUV,I am interested in your car on Mobil123.com - 2011 Volvo XC60 2.0 T5 SUV (Rp 225.000.000). https://www.mobil123.com/dijual/volvo-xc60-t5-dki-jakarta-kelapa-gading/10230797.,https://www.mobil123.com/dijual/volvo-xc60-t5-dki-jakarta-kelapa-gading/10230797,Volvo,XC60,T5,122500,Automatic,240,1999 cc,5,5,Pertamax,Hitam,2011,DKI Jakarta,Kelapa Gading
1987 Volvo 240 2.3 GL Sedan,I am interested in your car on Mobil123.com - 1987 Volvo 240 GL Sedan (Rp 55.000.000). https://www.mobil123.com/dijual/volvo-240-gl-dki-jakarta-cilandak/10132354.,https://www.mobil123.com/dijual/volvo-240-gl-dki-jakarta-cilandak/10132354,Volvo,240,GL,107500,Manual,240,2316 cc,4,5,Pertamax,Abu-abu,1987,DKI Jakarta,Cilandak
2004 Volvo S60 2.3 Sedan,I am interested in your car on Mobil123.com - 2004 Volvo S60 Series 1 Sedan (Rp 85.000.000). https://www.mobil123.com/dijual/volvo-s60-dki-jakarta-cilandak/10131979.,https://www.mobil123.com/dijual/volvo-s60-dki-jakarta-cilandak/10131979,Volvo,S60,,132500,Automatic,200,2319 cc,4,5,Pertamax,Hitam,2004,DKI Jakarta,Cilandak
1996 Volvo 850 2.0 Sedan,I am interested in your car on Mobil123.com - 1996 Volvo 850 2.0 Sedan (Rp 39.999.999). https://www.mobil123.com/dijual/volvo-850-dki-jakarta-pancoran/10029389.,https://www.mobil123.com/dijual/volvo-850-dki-jakarta-pancoran/10029389,Volvo,850,,107500,Automatic,200,1984 cc,4,5,Pertamax,Silver,1996,DKI Jakarta,Pancoran
