display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2020 Wuling Almaz 1.5 LT Lux+ Exclusive Wagon,"I am interested in your car on Mobil123.com - Wuling Almaz 1,5 LT Lux+ Exclusive 7 Seater AT 2020 Putih TDP 62jt Kondisi Mobil Istimewa Bergaransi dan Dijamin Siap Pakai (Rp 262.000.000). https://www.mobil123.com/dijual/wuling-almaz-lt-lux-plus-exclusive-dki-jakarta-mangga-dua/10696856.",https://www.mobil123.com/dijual/wuling-almaz-lt-lux-plus-exclusive-dki-jakarta-mangga-dua/10696856,Wuling,Almaz,LT Lux+ Exclusive,24000,Automatic,141,1451 cc,5,7,Pertamax,Putih,2020,DKI Jakarta,Mangga Dua
2021 Wuling Almaz 1.5 RS Pro Wagon,I am interested in your car on Mobil123.com - Wuling Almaz 1.5 LT Lux+ CVT 2021 Abu-Abu TDP 13jt Kondisi mobil istimewa bergaransi dan dijamin siap pakai  (Rp 319.000.000). https://www.mobil123.com/dijual/wuling-almaz-rs-pro-dki-jakarta-mangga-dua/10696655.,https://www.mobil123.com/dijual/wuling-almaz-rs-pro-dki-jakarta-mangga-dua/10696655,Wuling,Almaz,RS Pro,4000,Automatic,141,1451 cc,5,7,Pertamax,Abu-abu,2021,DKI Jakarta,Mangga Dua
2019 Wuling Almaz 1.5 LT Lux Exclusive Wagon,I am interested in your car on Mobil123.com - Wuling Almaz 1.5 LT Lux+ CVT 2019 Hitam TDP 13jt Kondisi mobil istimewa bergaransi dan dijamin siap pakai  (Rp 241.000.000). https://www.mobil123.com/dijual/wuling-almaz-lt-lux-exclusive-dki-jakarta-mangga-dua/10696615.,https://www.mobil123.com/dijual/wuling-almaz-lt-lux-exclusive-dki-jakarta-mangga-dua/10696615,Wuling,Almaz,LT Lux Exclusive,28000,Automatic,141,1451 cc,5,5,Pertamax,Hitam,2019,DKI Jakarta,Mangga Dua
2018 Wuling Cortez 1.5 C Wagon,"I am interested in your car on Mobil123.com - 2018 Wuling Cortez 1,5 C Wagon (Rp 164.000.000). https://www.mobil123.com/dijual/wuling-cortez-c-jawa-timur-kediri/10696368.",https://www.mobil123.com/dijual/wuling-cortez-c-jawa-timur-kediri/10696368,Wuling,Cortez,C,12345,Manual,110,1485 cc,5,7,Pertamax,Putih,2018,Jawa Timur,Kediri
2019 Wuling Almaz 1.5 LT Lux Exclusive Wagon,I am interested in your car on Mobil123.com - 2019 Wuling Almaz 1.5 LT Lux Exclusive Wagon (Rp 241.000.000). https://www.mobil123.com/dijual/wuling-almaz-lt-lux-exclusive-dki-jakarta-kebayoran-lama/10695692?carsome=true.,https://www.mobil123.com/dijual/wuling-almaz-lt-lux-exclusive-dki-jakarta-kebayoran-lama/10695692?carsome=true,Wuling,Almaz,LT Lux Exclusive,32500,Automatic,141,1451 cc,5,5,Pertamax,Abu-abu,2019,DKI Jakarta,Kebayoran Lama
2021 Wuling Almaz 1.5 RS Pro Wagon,I am interested in your car on Mobil123.com - 2021 Wuling Almaz 1.5 RS Pro Wagon KM 27rb SUPER ANTIK (Rp 340.000.000). https://www.mobil123.com/dijual/wuling-almaz-rs-pro-jawa-timur-gununganyar/10695512.,https://www.mobil123.com/dijual/wuling-almaz-rs-pro-jawa-timur-gununganyar/10695512,Wuling,Almaz,RS Pro,17500,Automatic,141,1451 cc,5,7,Pertamax,Putih,2021,Jawa Timur,Gununganyar
2019 Wuling Confero 1.5 S C Lux+ Wagon,I am interested in your car on Mobil123.com - 2019 Wuling Confero 1.5 S C Lux+ Wagon (Rp 120.000.000). https://www.mobil123.com/dijual/wuling-confero-s-c-lux-plus-jawa-timur-surabaya/10646309.,https://www.mobil123.com/dijual/wuling-confero-s-c-lux-plus-jawa-timur-surabaya/10646309,Wuling,Confero,S C Lux+,52500,Manual,107,1485 cc,5,8,Pertamax,Hitam,2019,Jawa Timur,Surabaya
2019 Wuling Almaz 1.5 LT Lux Exclusive Wagon,I am interested in your car on Mobil123.com - 2019 Wuling Almaz 1.5 LT Lux Exclusive Wagon - Jual Mobil Bekas Pasuruan (Rp 240.000.000). https://www.mobil123.com/dijual/wuling-almaz-lt-lux-exclusive-jawa-timur-pandaan/10660396.,https://www.mobil123.com/dijual/wuling-almaz-lt-lux-exclusive-jawa-timur-pandaan/10660396,Wuling,Almaz,LT Lux Exclusive,42500,Automatic,141,1451 cc,5,5,Pertamax,Putih,2019,Jawa Timur,Pandaan
2019 Wuling Almaz 1.5 LT Lux Exclusive Wagon,I am interested in your car on Mobil123.com - 2019 Wuling Almaz 1.5 LT Lux Exclusive Wagon - Jual Mobil Bekas Mojokerto (Rp 240.000.000). https://www.mobil123.com/dijual/wuling-almaz-lt-lux-exclusive-jawa-timur-mojokerto/10660411.,https://www.mobil123.com/dijual/wuling-almaz-lt-lux-exclusive-jawa-timur-mojokerto/10660411,Wuling,Almaz,LT Lux Exclusive,42500,Automatic,141,1451 cc,5,5,Pertamax,Putih,2019,Jawa Timur,Mojokerto
2021 Wuling Almaz 1.5 RS Pro Wagon,I am interested in your car on Mobil123.com - 2021 Wuling Almaz 1.5 RS Pro Wagon (Rp 318.000.000). https://www.mobil123.com/dijual/wuling-almaz-rs-pro-dki-jakarta-bukit-duri/10693057.,https://www.mobil123.com/dijual/wuling-almaz-rs-pro-dki-jakarta-bukit-duri/10693057,Wuling,Almaz,RS Pro,17500,Automatic,141,1451 cc,5,7,Pertamax,Putih,2021,DKI Jakarta,Bukit Duri
