spec_id,brand,model,variant,transmisi,power,engine,door,seats,fuel_type,color
AM01S01,Aston Martin,DB9,,Automatic,510,5935 cc,2,4,Pertamax,Hitam
AM01S02,Aston Martin,DB9,,Automatic,510,5935 cc,2,4,Pertamax,Silver
AM02S01,Aston Martin,Rapide,,Automatic,469,5935 cc,5,4,Pertamax,Hitam
AM03S01,Aston Martin,V12,Vantage S,Automatic,565,5935 cc,2,2,Pertamax,Kuning
AM04S01,Aston Martin,Virage,,Automatic,490,5935 cc,2,4,Pertamax,Hitam
AU01S01,Audi,A3,TFSI,Automatic,104,1197 cc,5,5,Pertamax,Hitam
AU01S02,Audi,A3,TFSI,Automatic,104,1197 cc,5,5,Pertamax,Merah
AU02S01,Audi,A4,1.8 TFSI PI,Automatic,170,1798 cc,4,5,Pertamax,Hitam
AU02S02,Audi,A4,1.8 TFSI PI,Automatic,170,1798 cc,4,5,Pertamax,Putih
AU02S03,Audi,A4,1.8 TFSI PI,Automatic,170,1798 cc,4,5,Pertamax,Silver
AU02S04,Audi,A4,TFSI,Automatic,188,1984 cc,4,5,Pertamax,Putih
AU02S05,Audi,A4,,Automatic,158,1798 cc,4,5,Pertamax,Abu-abu
AU02S06,Audi,A4,,Automatic,158,1798 cc,4,5,Pertamax,Hitam
AU02S07,Audi,A4,,Automatic,158,1798 cc,4,5,Pertamax,Kuning
AU02S08,Audi,A4,,Automatic,158,1798 cc,4,5,Pertamax,Putih
AU03S01,Audi,A5,2.0 TFSI,Automatic,208,1984 cc,2,4,Pertamax,Hitam
AU03S02,Audi,A5,2.0 TFSI 2.0 TFSI,Automatic,208,1984 cc,5,5,Pertamax,Coklat
AU03S03,Audi,A5,2.0 TFSI 2.0 TFSI,Automatic,208,1984 cc,5,5,Pertamax,Hitam
AU03S04,Audi,A5,TFSI,Automatic,248,1984 cc,2,4,Pertamax,Hitam
AU04S01,Audi,A6,2.0 TFSI,Automatic,180,1984 cc,4,5,Petrol - Unleaded,Hitam
AU04S02,Audi,A6,FSI,Automatic,201,2773 cc,4,5,Pertamax,Biru
AU04S03,Audi,A6,FSI,Automatic,201,2773 cc,4,5,Pertamax,Hitam
AU04S04,Audi,A6,FSI,Automatic,201,2773 cc,4,5,Pertamax,Silver
AU04S05,Audi,A6,TFSI,Automatic,180,1984 cc,4,5,Pertamax,Putih
AU04S06,Audi,A6,TFSI Multitronic,Automatic,168,1984 cc,4,5,Pertamax,Abu-abu
AU04S07,Audi,A6,TFSI Multitronic,Automatic,168,1984 cc,4,5,Pertamax,Hitam
AU04S08,Audi,A6,TFSI Multitronic,Automatic,168,1984 cc,4,5,Pertamax,Silver
AU04S09,Audi,A6,TFSI Quattro,Automatic,286,2995 cc,4,5,Pertamax,Hitam
AU04S10,Audi,A6,TFSI Quattro S-Line Sport,Automatic,333,2995 cc,4,5,Pertamax,Hitam
AU05S01,Audi,A8,L TFSI Quattro,Automatic,286,2995 cc,4,4,Pertamax,Hitam
AU05S02,Audi,A8,L TFSI Quattro,Automatic,286,2995 cc,4,4,Pertamax,Putih
AU06S01,Audi,Q3,1.4 TFSI,Automatic,150,1395 cc,5,5,Pertamax,Coklat
AU06S02,Audi,Q3,2.0 TFSI,Automatic,208,1984 cc,5,5,Pertamax,Hitam
AU06S03,Audi,Q3,2.0 TFSI,Automatic,208,1984 cc,5,5,Pertamax,Putih
AU07S01,Audi,Q5,2.0 TFSI,Automatic,225,1984 cc,5,5,Pertamax,Abu-abu
AU07S02,Audi,Q5,2.0 TFSI,Automatic,225,1984 cc,5,5,Pertamax,Hitam
AU07S03,Audi,Q5,2.0 TFSI,Automatic,225,1984 cc,5,5,Pertamax,Putih
AU07S04,Audi,Q5,2.0 TFSI,Automatic,225,1984 cc,5,5,Pertamax,Silver
AU07S05,Audi,Q5,TFSI,Automatic,208,1984 cc,5,5,Pertamax,Abu-abu
AU07S06,Audi,Q5,TFSI,Automatic,208,1984 cc,5,5,Pertamax,Hitam
AU07S07,Audi,Q5,TFSI,Automatic,208,1984 cc,5,5,Pertamax,Putih
AU07S08,Audi,Q5,TFSI,Automatic,252,1984 cc,5,5,Pertamax,Hitam
AU08S01,Audi,Q7,3.0 TFSI,Automatic,272,2995 cc,5,7,Pertamax,Hitam
AU08S02,Audi,Q7,3.0 TFSI,Automatic,272,2995 cc,5,7,Pertamax,Putih
AU08S03,Audi,Q7,FSI,Automatic,345,4163 cc,5,5,Pertamax,Abu-abu
AU08S04,Audi,Q7,FSI,Automatic,345,4163 cc,5,5,Pertamax,Putih
AU08S05,Audi,Q7,TFSI Quattro,Automatic,333,2995 cc,5,7,Pertamax,Coklat
AU08S06,Audi,Q7,TFSI Quattro,Automatic,333,2995 cc,5,7,Pertamax,Hitam
AU09S01,Audi,Q8,TFSI quattro,Automatic,335,2995 cc,5,5,Pertamax,Hitam
AU10S01,Audi,RS5,FSI,Automatic,450,4163 cc,2,4,Pertamax,Merah
AU10S02,Audi,RS5,TFSI Quattro,Automatic,444,2894 cc,2,4,Pertamax,Biru
AU10S03,Audi,RS5,TFSI Quattro,Automatic,444,2894 cc,2,4,Pertamax,Ungu
AU11S01,Audi,S3,,Automatic,290,1984 cc,4,5,Pertamax,Merah
AU12S01,Audi,S5,,Automatic,329,2995 cc,2,4,Pertamax,Putih
AU13S01,Audi,TT,2.0 S TFSI,Automatic,268,1984 cc,2,4,Pertamax,Hitam
AU13S02,Audi,TT,2.0 TFSI,Automatic,211,1984 cc,2,4,Pertamax,Abu-abu
AU13S03,Audi,TT,2.0 TFSI,Automatic,211,1984 cc,2,4,Pertamax,Hitam
AU13S04,Audi,TT,RS,Automatic,335,2480 cc,2,4,Pertamax,Putih
AU13S05,Audi,TT,,Manual,148,1781 cc,2,4,Pertamax,Hitam
AU13S06,Audi,TT,,Automatic,148,1781 cc,2,4,Pertamax,Hitam
AU13S07,Audi,TT,,Manual,178,1781 cc,2,4,Pertamax,Silver
BY01S01,Bentley,Continental,Flying Spur,Automatic,552,5998 cc,4,5,Pertamax,Hitam
BY02S01,Bentley,Continental GT,V8,Automatic,500,3993 cc,2,4,Pertamax,Hitam
BY02S02,Bentley,Continental GT,V8,Automatic,500,3993 cc,2,4,Pertamax,Putih
BY02S03,Bentley,Continental GT,W12,Automatic,626,5998 cc,2,4,Pertamax,Abu-abu
BY02S04,Bentley,Continental GT,W12,Automatic,626,5998 cc,2,4,Pertamax,Hitam
BY02S05,Bentley,Continental GT,W12,Automatic,626,5998 cc,2,4,Pertamax,Putih
BY03S01,Bentley,Flying Spur,W12,Automatic,616,5998 cc,4,5,Pertamax,Lainnya
BW01S01,BMW,116i,Sport,Automatic,136,1598 cc,5,5,Pertamax,Putih
BW01S02,BMW,116i,Urban,Automatic,136,1598 cc,5,5,Pertamax,Biru
BW01S03,BMW,116i,Urban,Automatic,136,1598 cc,5,5,Pertamax,Putih
BW02S01,BMW,218i,Luxury,Automatic,136,1499 cc,5,7,Pertamax,Hitam
BW02S02,BMW,218i,Luxury,Automatic,136,1499 cc,5,7,Pertamax,Merah
BW02S03,BMW,218i,Luxury,Automatic,136,1499 cc,5,7,Pertamax,Putih
BW02S04,BMW,218i,Sport Line,Automatic,136,1499 cc,5,5,Pertamax,Abu-abu
BW02S05,BMW,218i,Sport Line,Automatic,136,1499 cc,5,5,Pertamax,Coklat
BW02S06,BMW,218i,Sport Line,Automatic,136,1499 cc,5,5,Pertamax,Hitam
BW02S07,BMW,218i,Sport Line,Automatic,136,1499 cc,5,5,Pertamax,Merah
BW02S08,BMW,218i,Sport Line,Automatic,136,1499 cc,5,5,Pertamax,Putih
BW02S09,BMW,218i,Sport Line,Automatic,136,1499 cc,5,5,Pertamax,Silver
BW02S10,BMW,218i,Sport Line,Automatic,140,1499 cc,4,5,Pertamax,Putih
BW03S01,BMW,318i,1.8 Automatic,Automatic,141,1800 cc,4,5,Pertamax,Merah
BW03S02,BMW,318i,1.8 Automatic,Automatic,150,1800 cc,4,5,Pertamax,Silver
BW03S03,BMW,318i,1.8 Manual,Manual,116,1766 cc,4,5,Premium,Merah
BW03S04,BMW,318i,1.8 Manual,Manual,116,1796 cc,4,5,Pertamax,Biru
BW03S05,BMW,318i,1.8 Manual,Manual,136,1766 cc,4,4,Pertamax,Biru
BW03S06,BMW,318i,1.8 Manual,Manual,136,1766 cc,4,4,Pertamax,Hitam
BW03S07,BMW,318i,1.8 Manual,Manual,136,1766 cc,4,5,Premium,Putih
BW03S08,BMW,318i,1.8 Manual,Manual,141,1766 cc,4,5,Premium,Hitam
BW03S09,BMW,318i,1.8 Manual,Manual,141,1796 cc,4,5,Pertamax,Merah
BW03S10,BMW,318i,1.8 Manual,Manual,147,1766 cc,4,4,Pertamax,Abu-abu
BW03S11,BMW,318i,1.8 Manual,Manual,147,1766 cc,4,4,Pertamax,Biru
BW03S12,BMW,318i,1.8 Manual,Manual,147,1796 cc,4,5,Pertamax,Putih
BW03S13,BMW,318i,1.8 Manual,Manual,150,1766 cc,4,4,Pertamax,Biru
BW03S14,BMW,318i,1.8 Manual,Manual,150,1796 cc,4,5,Pertamax,Silver
BW03S15,BMW,318i,1.8 Manual,Manual,150,1800 cc,4,4,Pertamax,Putih
BW03S16,BMW,318i,1.8 Manual,Manual,168,1766 cc,4,4,Pertamax,Hitam
BW03S17,BMW,318i,1.8 Manual,Manual,184,1766 cc,4,5,Premium,Hitam
BW03S18,BMW,318i,1.8 Manual,Manual,188,1800 cc,4,4,Pertamax,Merah
BW03S19,BMW,318i,1.8 Manual,Manual,242,1796 cc,4,5,Pertamax,Hitam
BW03S20,BMW,318i,1.8 Manual,Manual,252,1766 cc,4,5,Pertamax,Putih
BW03S21,BMW,318i,1.8 Manual,Manual,255,1766 cc,4,5,Premium,Putih
BW03S22,BMW,318i,1.8 Manual,Manual,258,1796 cc,4,5,Pertamax,Silver
BW03S23,BMW,318i,1.8 Manual,Manual,258,1800 cc,4,5,Pertamax,Biru
BW03S24,BMW,318i,1.8 Manual,Manual,302,1796 cc,4,5,Pertamax,Silver
BW03S25,BMW,318i,1.8 Manual,Manual,306,1766 cc,4,5,Pertamax,Biru
BW03S26,BMW,318i,1.8 Manual,Manual,306,1766 cc,4,5,Premium,Abu-abu
BW03S27,BMW,318i,1.8 Manual,Manual,306,1796 cc,4,5,Pertamax,Biru
BW03S28,BMW,318i,1.8 Manual,Manual,320,1766 cc,4,4,Pertamax,Silver
BW03S29,BMW,318i,1.8 Manual,Manual,335,1766 cc,4,5,Premium,Merah
BW03S30,BMW,318i,E36 1.8 Manual,Manual,141,1796 cc,4,5,Pertamax,Hitam
BW03S31,BMW,318i,E36 1.8 Manual,Manual,141,1796 cc,4,4,Pertamax,Hitam
BW03S32,BMW,318i,E36 1.8 Manual,Manual,147,1796 cc,4,4,Pertamax,Silver
BW03S33,BMW,318i,E36 1.8 Manual,Manual,168,1796 cc,4,4,Pertamax,Silver
BW03S34,BMW,318i,E36 1.8 Manual,Manual,184,1796 cc,4,5,Pertamax,Kuning
BW03S35,BMW,318i,E36 1.8 Manual,Manual,184,1796 cc,4,5,Pertamax,Silver
BW03S36,BMW,318i,E36 1.8 Manual,Manual,241,1796 cc,4,4,Pertamax,Hijau
BW03S37,BMW,318i,E36 1.8 Manual,Manual,242,1796 cc,4,5,Pertamax,Merah
BW03S38,BMW,318i,E36 1.8 Manual,Manual,255,1796 cc,4,4,Pertamax,Silver
BW03S39,BMW,318i,,Automatic,116,1895 cc,4,5,Pertamax,Abu-abu
BW03S40,BMW,318i,,Automatic,116,1895 cc,4,5,Pertamax,Biru
BW03S41,BMW,318i,,Automatic,116,1895 cc,4,5,Pertamax,Hitam
BW03S42,BMW,318i,,Automatic,116,1895 cc,4,5,Pertamax,Silver
BW03S43,BMW,318i,,Automatic,141,1995 cc,4,5,Pertamax,Abu-abu
BW03S44,BMW,318i,,Automatic,141,1995 cc,4,5,Pertamax,Biru
BW03S45,BMW,318i,,Automatic,141,1995 cc,4,5,Pertamax,Hijau
BW03S46,BMW,318i,,Automatic,141,1995 cc,4,5,Pertamax,Hitam
BW03S47,BMW,318i,,Automatic,141,1995 cc,4,5,Pertamax,Putih
BW03S48,BMW,318i,,Automatic,141,1995 cc,4,5,Pertamax,Silver
BW04S01,BMW,320d,Modern,Automatic,184,1995 cc,4,5,Solar,Hitam
BW04S02,BMW,320d,Modern,Automatic,184,1995 cc,4,5,Solar,Merah
BW04S03,BMW,320d,Sport,Automatic,184,1995 cc,4,5,Solar,Hitam
BW04S04,BMW,320d,Sport,Automatic,184,1995 cc,4,5,Solar,Putih
BW04S05,BMW,320d,Sport,Automatic,190,1995 cc,4,5,Solar,Coklat
BW04S06,BMW,320d,Sport,Automatic,190,1995 cc,4,5,Solar,Hitam
BW04S07,BMW,320d,Sport,Automatic,190,1995 cc,4,5,Solar,Putih
BW05S01,BMW,320i,2.0 Manual,Manual,140,1991 cc,4,4,Pertamax,Marun
BW05S02,BMW,320i,2.0 Manual,Manual,184,1991 cc,4,4,Pertamax,Marun
BW05S03,BMW,320i,2.0 Manual,Manual,184,1991 cc,4,4,Pertamax,Merah
BW05S04,BMW,320i,2.0 Manual,Manual,188,1991 cc,4,4,Pertamax,Silver
BW05S05,BMW,320i,2.0 Manual,Manual,255,1991 cc,4,4,Pertamax,Biru
BW05S06,BMW,320i,Business Edition,Automatic,147,1995 cc,4,5,Pertamax,Hitam
BW05S07,BMW,320i,Business Edition,Automatic,147,1995 cc,4,5,Pertamax,Putih
BW05S08,BMW,320i,Dynamic,Automatic,181,1998 cc,4,5,Pertamax,Biru
BW05S09,BMW,320i,Dynamic,Automatic,181,1998 cc,4,5,Pertamax,Merah
BW05S10,BMW,320i,Dynamic,Automatic,181,1998 cc,4,5,Pertamax,Putih
BW05S11,BMW,320i,E36 2.0 Automatic,Automatic,147,1991 cc,4,5,Pertamax,Biru
BW05S12,BMW,320i,E36 2.0 Automatic,Automatic,184,1991 cc,4,5,Pertamax,Abu-abu
BW05S13,BMW,320i,E36 2.0 Automatic,Automatic,184,1991 cc,4,5,Pertamax,Marun
BW05S14,BMW,320i,E36 2.0 Automatic,Automatic,204,1991 cc,4,5,Pertamax,Merah
BW05S15,BMW,320i,E36 2.0 Automatic,Automatic,242,1991 cc,4,5,Pertamax,Marun
BW05S16,BMW,320i,E36 2.0 Automatic,Automatic,255,1991 cc,4,5,Pertamax,Biru
BW05S17,BMW,320i,E36 2.0 Automatic,Automatic,258,1991 cc,4,5,Pertamax,Silver
BW05S18,BMW,320i,E36 2.0 Manual,Manual,116,1991 cc,4,5,Pertamax,Biru
BW05S19,BMW,320i,E36 2.0 Manual,Manual,141,1991 cc,4,5,Pertamax,Hitam
BW05S20,BMW,320i,E36 2.0 Manual,Manual,147,1991 cc,4,5,Pertamax,Merah
BW05S21,BMW,320i,E36 2.0 Manual,Manual,188,1991 cc,4,5,Pertamax,Hitam
BW05S22,BMW,320i,Executive Edition,Automatic,147,1995 cc,4,5,Pertamax,Abu-abu
BW05S23,BMW,320i,Executive Edition,Automatic,147,1995 cc,4,5,Pertamax,Hitam
BW05S24,BMW,320i,Executive Edition,Automatic,147,1995 cc,4,5,Pertamax,Silver
BW05S25,BMW,320i,Luxury,Automatic,184,1997 cc,4,5,Pertamax,Coklat
BW05S26,BMW,320i,Luxury,Automatic,184,1997 cc,4,5,Pertamax,Hitam
BW05S27,BMW,320i,Luxury,Automatic,184,1997 cc,4,5,Pertamax,Putih
BW05S28,BMW,320i,Luxury,Automatic,184,1997 cc,5,5,Pertamax,Coklat
BW05S29,BMW,320i,Luxury,Automatic,184,1997 cc,5,5,Pertamax,Putih
BW05S30,BMW,320i,Luxury,Automatic,184,1998 cc,4,5,Pertamax,Abu-abu
BW05S31,BMW,320i,Luxury,Automatic,184,1998 cc,4,5,Pertamax,Biru
BW05S32,BMW,320i,Luxury,Automatic,184,1998 cc,4,5,Pertamax,Hitam
BW05S33,BMW,320i,Luxury,Automatic,184,1998 cc,4,5,Pertamax,Merah
BW05S34,BMW,320i,Luxury,Automatic,184,1998 cc,4,5,Pertamax,Putih
BW05S35,BMW,320i,Luxury,Automatic,184,1998 cc,4,5,Pertamax,Silver
BW05S36,BMW,320i,M Sport,Automatic,184,1998 cc,4,5,Pertamax,Abu-abu
BW05S37,BMW,320i,M Sport,Automatic,184,1998 cc,4,5,Pertamax,Biru
BW05S38,BMW,320i,M Sport,Automatic,184,1998 cc,4,5,Pertamax,Hitam
BW05S39,BMW,320i,M Sport,Automatic,184,1998 cc,4,5,Pertamax,Kuning
BW05S40,BMW,320i,M Sport,Automatic,184,1998 cc,4,5,Pertamax,Putih
BW05S41,BMW,320i,Sport,Automatic,181,1998 cc,4,5,Pertamax,Abu-abu
BW05S42,BMW,320i,Sport,Automatic,181,1998 cc,4,5,Pertamax,Hitam
BW05S43,BMW,320i,Sport,Automatic,181,1998 cc,4,5,Pertamax,Merah
BW05S44,BMW,320i,Sport,Automatic,181,1998 cc,4,5,Pertamax,Putih
BW05S45,BMW,320i,Sport,Automatic,184,1997 cc,4,5,Pertamax,Abu-abu
BW05S46,BMW,320i,Sport,Automatic,184,1997 cc,4,5,Pertamax,Coklat
BW05S47,BMW,320i,Sport,Automatic,184,1997 cc,4,5,Pertamax,Hitam
BW05S48,BMW,320i,Sport,Automatic,184,1997 cc,4,5,Pertamax,Merah
BW05S49,BMW,320i,Sport,Automatic,184,1997 cc,4,5,Pertamax,Putih
BW05S50,BMW,320i,Sport,Automatic,184,1997 cc,4,5,Pertamax,Silver
BW05S51,BMW,320i,Sport,Automatic,184,1998 cc,4,5,Pertamax,Abu-abu
BW05S52,BMW,320i,Sport,Automatic,184,1998 cc,4,5,Pertamax,Biru
BW05S53,BMW,320i,Sport,Automatic,184,1998 cc,4,5,Pertamax,Coklat
BW05S54,BMW,320i,Sport,Automatic,184,1998 cc,4,5,Pertamax,Hitam
BW05S55,BMW,320i,Sport,Automatic,184,1998 cc,4,5,Pertamax,Kuning
BW05S56,BMW,320i,Sport,Automatic,184,1998 cc,4,5,Pertamax,Merah
BW05S57,BMW,320i,Sport,Automatic,184,1998 cc,4,5,Pertamax,Putih
BW05S58,BMW,320i,Sport,Automatic,184,1998 cc,4,5,Pertamax,Silver
BW05S59,BMW,320i,Sport Shadow Edition,Automatic,184,1998 cc,4,5,Pertamax,Abu-abu
BW05S60,BMW,320i,Sport Shadow Edition,Automatic,184,1998 cc,4,5,Pertamax,Coklat
BW05S61,BMW,320i,Sport Shadow Edition,Automatic,184,1998 cc,4,5,Pertamax,Hitam
BW05S62,BMW,320i,Sport Shadow Edition,Automatic,184,1998 cc,4,5,Pertamax,Putih
BW05S63,BMW,320i,Sport Shadow Edition,Automatic,184,1998 cc,4,5,Pertamax,Silver
BW05S64,BMW,320i,Touring M Sport,Automatic,181,1998 cc,5,5,Pertamax,Abu-abu
BW05S65,BMW,320i,Touring M Sport,Automatic,181,1998 cc,5,5,Pertamax,Biru
BW05S66,BMW,320i,,Automatic,147,1995 cc,4,5,Pertamax,Abu-abu
BW05S67,BMW,320i,,Automatic,147,1995 cc,4,5,Pertamax,Hitam
BW05S68,BMW,320i,,Automatic,147,1995 cc,4,5,Pertamax,Marun
BW05S69,BMW,320i,,Automatic,147,1995 cc,4,5,Pertamax,Putih
BW05S70,BMW,320i,,Automatic,147,1995 cc,4,5,Pertamax,Silver
BW06S01,BMW,323i,E36,Manual,184,2494 cc,4,5,Pertamax,Hijau
BW06S02,BMW,323i,E36,Manual,184,2494 cc,4,5,Pertamax,Hitam
BW06S03,BMW,323i,E36 2.5,Automatic,147,2494 cc,4,5,Pertamax,Hitam
BW06S04,BMW,323i,E36 2.5 Automatic,Automatic,136,2494 cc,4,5,Pertamax,Biru
BW06S05,BMW,323i,E36 2.5 Automatic,Automatic,184,2494 cc,4,5,Pertamax,Hijau
BW06S06,BMW,323i,E36 2.5 Automatic,Automatic,188,2494 cc,4,5,Pertamax,Silver
BW06S07,BMW,323i,E36 2.5 Automatic,Automatic,282,2494 cc,4,5,Pertamax,Silver
BW06S08,BMW,323i,E36 2.5 Automatic,Automatic,335,2494 cc,4,5,Pertamax,Merah
BW06S09,BMW,323i,E36 2.5 Manual,Manual,116,2494 cc,4,5,Pertamax,Hitam
BW06S10,BMW,323i,E36 2.5 Manual,Manual,140,2494 cc,4,5,Pertamax,Hitam
BW06S11,BMW,323i,E36 2.5 Manual,Manual,141,2494 cc,4,5,Pertamax,Orange
BW06S12,BMW,323i,E36 2.5 Manual,Manual,147,2494 cc,4,5,Pertamax,Merah
BW06S13,BMW,323i,E36 2.5 Manual,Manual,168,2494 cc,4,5,Pertamax,Hijau
BW06S14,BMW,323i,E36 2.5 Manual,Manual,184,2494 cc,4,5,Pertamax,Biru
BW06S15,BMW,323i,E36 2.5 Manual,Manual,184,2494 cc,4,5,Pertamax,Silver
BW06S16,BMW,323i,E36 2.5 Manual,Manual,252,2494 cc,4,5,Pertamax,Silver
BW06S17,BMW,323i,,Automatic,189,2494 cc,4,5,Pertamax,Merah
BW06S18,BMW,323i,,Automatic,402,2494 cc,4,5,Pertamax,Silver
BW07S01,BMW,325i,2.5 Automatic,Automatic,136,2494 cc,4,5,Pertamax,Merah
BW07S02,BMW,325i,Sport,Automatic,215,2497 cc,4,5,Pertamax,Hitam
BW07S03,BMW,325i,Sport,Automatic,215,2497 cc,4,5,Pertamax,Putih
BW07S04,BMW,325i,,Automatic,189,2494 cc,4,5,Pertamax,Biru
BW07S05,BMW,325i,,Automatic,189,2494 cc,4,5,Pertamax,Hitam
BW07S06,BMW,325i,,Automatic,189,2494 cc,4,5,Pertamax,Silver
BW07S07,BMW,325i,,Automatic,215,2497 cc,2,4,Pertamax,Putih
BW07S08,BMW,325i,,Automatic,215,2497 cc,4,5,Pertamax,Biru
BW07S09,BMW,325i,,Automatic,215,2497 cc,4,5,Pertamax,Hitam
BW07S10,BMW,325i,,Automatic,215,2497 cc,4,5,Pertamax,Silver
BW08S01,BMW,328Ci,,Automatic,190,2793 cc,2,5,Pertamax,Hitam
BW09S01,BMW,328i,E36 2.8 Manual,Manual,241,2798 cc,4,4,Pertamax,Silver
BW09S02,BMW,328i,Luxury,Automatic,241,1997 cc,4,5,Pertamax,Hitam
BW09S03,BMW,328i,Luxury,Automatic,241,1997 cc,4,5,Pertamax,Putih
BW09S04,BMW,328i,Sport,Automatic,241,1997 cc,4,5,Pertamax,Abu-abu
BW09S05,BMW,328i,Sport,Automatic,241,1997 cc,4,5,Pertamax,Hitam
BW09S06,BMW,328i,Sport,Automatic,241,1997 cc,4,5,Pertamax,Merah
BW09S07,BMW,328i,Sport,Automatic,241,1997 cc,4,5,Pertamax,Putih
BW09S08,BMW,328i,Sport,Automatic,241,1997 cc,4,5,Pertamax,Silver
